layer,uniprot,n_actives,n_decoys,ef1,ef5,bedroc,auroc,pr_auc
L1,P00918,245,12250,51.0000,19.4208,0.9706,0.9894,0.9504
L1,P00956,78,3900,51.0000,19.9899,0.9982,1.0000,1.0000
L1,P01116,51,2550,51.0000,18.6870,0.9709,0.9782,0.9462
L1,P03372,40,2000,51.0000,19.0000,0.9712,0.9954,0.9510
L1,P04049,17,850,39.6667,13.9091,0.7011,0.9491,0.5902
L1,P04626,96,4800,51.0000,19.1510,0.9755,0.9826,0.9541
L1,P04629,64,3200,47.9091,14.6159,0.8194,0.9086,0.7051
L1,P04798,63,3150,51.0000,19.3230,0.9865,0.9932,0.9727
L1,P05089,57,2850,51.0000,19.9110,0.9999,1.0000,1.0000
L1,P05177,42,2100,51.0000,19.3611,0.9898,0.9921,0.9775
L1,P05771,11,550,17.0000,7.0345,0.4462,0.7797,0.3131
L1,P05979,30,1500,51.0000,18.9870,0.9688,0.9972,0.9503
L1,P06213,13,650,29.1429,12.0000,0.6088,0.8233,0.4629
L1,P06239,68,3400,51.0000,16.7069,0.8796,0.9539,0.8035
L1,P06276,49,2450,51.0000,17.9520,0.9293,0.9615,0.8699
L1,P06493,37,1850,42.9474,13.4211,0.7235,0.8245,0.5797
L1,P07333,103,5150,51.0000,17.0646,0.9049,0.9659,0.8418
L1,P07550,12,600,51.0000,18.0968,0.9618,0.9288,0.9186
L1,P07711,41,2050,51.0000,19.4286,0.9482,0.9776,0.9188
L1,P07900,29,1450,51.0000,17.2297,0.9293,0.9339,0.8612
L1,P07947,44,2200,51.0000,16.6991,0.9088,0.9182,0.8354
L1,P07948,13,650,21.8571,9.0000,0.3959,0.7414,0.2522
L1,P07949,41,2050,48.5714,14.5714,0.8253,0.9058,0.7059
L1,P08069,40,2000,51.0000,17.0000,0.9242,0.9624,0.8607
L1,P08173,13,650,51.0000,18.0000,0.9654,0.9460,0.9252
L1,P08238,27,1350,51.0000,17.0000,0.9301,0.9201,0.8597
L1,P08246,29,1450,51.0000,17.9189,0.9537,0.9537,0.9055
L1,P08253,14,700,51.0000,17.0000,0.9091,0.9913,0.8643
L1,P08581,66,3300,49.5000,17.8047,0.9050,0.9557,0.8383
L1,P08908,47,2350,51.0000,18.7000,0.9539,0.9800,0.9223
L1,P08913,22,1100,46.7500,11.6316,0.7398,0.7957,0.5879
L1,P08922,20,1000,32.4545,16.0000,0.6395,0.9463,0.5388
L1,P09619,19,950,30.6000,11.4490,0.5770,0.8946,0.4444
L1,P09874,160,8000,51.0000,19.1250,0.9720,0.9878,0.9486
L1,P0C6U8,12,600,51.0000,19.7419,0.9983,1.0000,1.0000
L1,P0DMS8,69,3450,51.0000,19.1250,0.9812,0.9874,0.9605
L1,P0DTD1,420,21000,51.0000,19.3333,0.9797,0.9886,0.9617
L1,P10275,15,750,51.0000,14.3846,0.8337,0.9745,0.7469
L1,P10415,14,700,51.0000,11.3333,0.7477,0.7239,0.5842
L1,P10721,39,1950,51.0000,14.2800,0.8038,0.8947,0.6859
L1,P11275,13,650,51.0000,16.5000,0.8796,0.9672,0.8378
L1,P11309,55,2750,51.0000,14.1064,0.8344,0.8977,0.7167
L1,P11362,56,2800,51.0000,16.4056,0.8639,0.9456,0.7769
L1,P11511,14,700,51.0000,17.0000,0.9041,0.8963,0.8254
L1,P11802,71,3550,51.0000,18.2143,0.9470,0.9665,0.9001
L1,P12931,91,4550,51.0000,17.9485,0.9366,0.9666,0.8857
L1,P13569,20,1000,51.0000,19.0000,0.9781,0.9957,0.9593
L1,P14324,10,500,51.0000,19.6154,0.9961,1.0000,1.0000
L1,P14618,12,600,51.0000,16.4516,0.9180,0.8581,0.8371
L1,P14679,11,550,51.0000,17.5862,0.9465,0.9321,0.8963
L1,P14867,45,2250,51.0000,19.5130,0.9906,0.9918,0.9789
L1,P14902,50,2500,51.0000,18.7266,0.9623,0.9774,0.9308
L1,P14920,14,700,51.0000,18.4167,0.9682,0.9659,0.9314
L1,P15056,58,2900,51.0000,16.5405,0.8910,0.9654,0.8152
L1,P15121,18,900,51.0000,15.5217,0.8651,0.9328,0.7765
L1,P15538,15,750,51.0000,19.6154,0.9988,1.0000,1.0000
L1,P16050,39,1950,51.0000,19.3800,0.9890,0.9790,0.9750
L1,P16083,16,800,51.0000,17.4146,0.9425,0.9489,0.8839
L1,P16110,13,650,51.0000,19.5000,0.9987,1.0000,1.0000
L1,P16234,39,1950,43.3500,12.7500,0.7148,0.8634,0.5718
L1,P17252,22,1100,51.0000,16.1053,0.8924,0.9339,0.8133
L1,P17706,17,850,51.0000,15.0682,0.8695,0.9058,0.7598
L1,P17931,14,700,51.0000,19.8333,0.9988,1.0000,1.0000
L1,P18031,116,5800,51.0000,19.1250,0.9796,0.9815,0.9570
L1,P18089,16,800,45.3333,13.6829,0.7569,0.9082,0.6394
L1,P18825,20,1000,51.0000,15.0000,0.7978,0.9482,0.6883
L1,P19099,17,850,51.0000,18.5455,0.9751,0.9978,0.9616
L1,P19634,23,1150,51.0000,19.8814,0.9995,1.0000,1.0000
L1,P19793,16,800,51.0000,18.6585,0.9516,0.9387,0.9110
L1,P20272,11,550,51.0000,19.3448,0.9550,1.0000,1.0000
L1,P21397,21,1050,51.0000,16.0556,0.8235,0.9423,0.7317
L1,P21554,100,5000,51.0000,19.4000,0.9846,0.9894,0.9718
L1,P21589,24,1200,51.0000,18.0968,0.9423,0.9527,0.8931
L1,P21728,24,1200,51.0000,16.4516,0.9063,0.9375,0.8244
L1,P21802,18,900,40.8000,13.3043,0.6787,0.9090,0.5438
L1,P21918,12,600,51.0000,13.1613,0.8110,0.9135,0.6903
L1,P21964,30,1500,51.0000,19.8701,0.9998,1.0000,1.0000
L1,P22303,89,4450,51.0000,17.0749,0.9060,0.9396,0.8312
L1,P22413,189,9450,51.0000,19.3631,0.9817,0.9810,0.9654
L1,P22455,55,2750,49.2414,17.3617,0.9016,0.9562,0.8350
L1,P22607,20,1000,23.1818,11.0000,0.5388,0.8479,0.3912
L1,P22748,112,5600,51.0000,19.4371,0.9782,0.9979,0.9646
L1,P23458,197,9850,51.0000,18.9602,0.9671,0.9902,0.9421
L1,P23467,17,850,51.0000,19.7045,0.9988,1.0000,1.0000
L1,P24941,55,2750,49.2414,15.5532,0.8306,0.9096,0.7247
L1,P25440,13,650,51.0000,10.5000,0.7205,0.7622,0.5541
L1,P25774,13,650,51.0000,19.5000,0.9979,1.0000,1.0000
L1,P25779,11,550,51.0000,19.3448,0.9552,1.0000,1.0000
L1,P27338,155,7750,51.0000,19.1894,0.9779,0.9899,0.9599
L1,P27487,33,1650,51.0000,17.4000,0.9414,0.9436,0.8851
L1,P28062,14,700,51.0000,17.0000,0.8996,0.9922,0.8565
L1,P28074,37,1850,51.0000,19.3263,0.9882,0.9977,0.9781
L1,P28221,16,800,51.0000,17.4146,0.9248,0.9430,0.8628
L1,P28222,15,750,51.0000,17.0000,0.9383,0.9393,0.8754
L1,P28335,80,4000,51.0000,19.5000,0.9772,0.9823,0.9580
L1,P28482,15,750,25.5000,7.8462,0.4403,0.8100,0.3428
L1,P28566,10,500,51.0000,19.6154,0.9964,1.0000,1.0000
L1,P29274,14,700,51.0000,19.8333,0.9428,0.9978,0.9250
L1,P29466,17,850,51.0000,18.5455,0.9714,0.9497,0.9391
L1,P29597,187,9350,51.0000,19.2453,0.9805,0.9902,0.9629
L1,P30291,30,1500,51.0000,19.2078,0.9723,0.9832,0.9497
L1,P30530,50,2500,49.0385,16.3359,0.8704,0.9350,0.7840
L1,P30542,20,1000,51.0000,18.0000,0.9556,0.9840,0.9172
L1,P31153,63,3150,51.0000,19.3230,0.9867,0.9885,0.9732
L1,P31639,11,550,51.0000,19.3448,0.9987,1.0000,1.0000
L1,P31645,11,550,51.0000,15.8276,0.8700,0.9600,0.7931
L1,P31749,124,6200,51.0000,18.3407,0.9530,0.9659,0.9071
L1,P31751,35,1750,51.0000,17.0000,0.9307,0.9516,0.8654
L1,P33981,29,1450,51.0000,16.5405,0.8899,0.9415,0.8148
L1,P34913,124,6200,51.0000,19.4669,0.9892,0.9957,0.9785
L1,P34914,99,4950,51.0000,19.7549,0.9952,0.9962,0.9903
L1,P34972,67,3350,51.0000,19.3860,0.9657,0.9855,0.9605
L1,P35218,65,3250,51.0000,19.6627,0.9854,0.9982,0.9754
L1,P35354,44,2200,51.0000,18.5044,0.9575,0.9561,0.9168
L1,P35367,10,500,51.0000,11.7692,0.7729,0.8837,0.6612
L1,P35372,28,1400,51.0000,17.7083,0.9060,0.9602,0.8519
L1,P35439,11,550,51.0000,17.5862,0.9564,0.9510,0.9123
L1,P35916,21,1050,41.7273,15.1111,0.7494,0.8770,0.6268
L1,P35968,136,6800,51.0000,17.1960,0.9088,0.9687,0.8460
L1,P36776,20,1000,51.0000,20.0000,0.9992,1.0000,1.0000
L1,P36888,84,4200,47.4419,12.9279,0.7344,0.8844,0.6035
L1,P36897,18,900,45.9000,18.8478,0.8936,0.9680,0.8216
L1,P37231,17,850,51.0000,16.2273,0.8975,0.9731,0.8282
L1,P41143,14,700,51.0000,18.4167,0.9434,0.9328,0.9001
L1,P41145,193,9650,51.0000,19.7586,0.9913,0.9912,0.9843
L1,P41182,63,3150,51.0000,19.9565,0.9999,1.0000,1.0000
L1,P41240,18,900,51.0000,14.4130,0.8295,0.8364,0.7027
L1,P41595,91,4550,51.0000,18.8240,0.9653,0.9666,0.9307
L1,P42330,33,1650,51.0000,18.6000,0.9735,0.9762,0.9430
L1,P42336,89,4450,49.8913,17.2996,0.8955,0.9720,0.8269
L1,P42338,50,2500,51.0000,18.3281,0.9549,0.9745,0.9178
L1,P42345,33,1650,45.0000,17.4000,0.8504,0.9499,0.7645
L1,P43166,81,4050,51.0000,19.4638,0.9744,0.9912,0.9554
L1,P43405,11,550,51.0000,10.5517,0.7289,0.8583,0.6089
L1,P43490,17,850,51.0000,18.5455,0.9375,0.9936,0.9034
L1,P45983,34,1700,51.0000,16.4138,0.9025,0.9768,0.8344
L1,P45984,32,1600,51.0000,16.7927,0.8975,0.9242,0.8188
L1,P47746,17,850,51.0000,19.7045,0.9985,1.0000,1.0000
L1,P47989,55,2750,51.0000,18.0851,0.9566,0.9580,0.9114
L1,P48039,13,650,51.0000,19.5000,0.9870,0.9996,0.9838
L1,P48735,11,550,51.0000,19.3448,0.9985,1.0000,1.0000
L1,P48736,124,6200,51.0000,18.5016,0.9179,0.9713,0.8671
L1,P49137,10,500,25.5000,5.8846,0.4753,0.6014,0.3366
L1,P49286,18,900,51.0000,19.9565,0.9992,1.0000,1.0000
L1,P49327,665,33250,51.0000,19.9971,1.0000,1.0000,1.0000
L1,P49759,11,550,0.0000,0.0000,0.0003,0.4002,0.0223
L1,P49760,13,650,21.8571,4.5000,0.3846,0.5718,0.2554
L1,P49840,10,500,17.0000,7.8462,0.3599,0.7478,0.2734
L1,P49841,24,1200,31.3846,7.4032,0.5263,0.8143,0.3838
L1,P50053,25,1250,51.0000,19.9219,0.9805,1.0000,1.0000
L1,P50406,67,3350,51.0000,19.3860,0.9603,0.9808,0.9323
L1,P50613,22,1100,46.7500,10.7368,0.7260,0.8966,0.5911
L1,P50750,67,3350,51.0000,17.5965,0.9176,0.9654,0.8639
L1,P51449,40,2000,51.0000,18.0000,0.9554,0.9624,0.9075
L1,P51451,11,550,42.5000,14.0690,0.7342,0.8312,0.6072
L1,P51531,17,850,51.0000,17.3864,0.9462,0.9858,0.8996
L1,P51532,10,500,51.0000,17.6538,0.9535,0.9936,0.9233
L1,P51617,15,750,51.0000,17.0000,0.9381,0.9136,0.8713
L1,P51812,16,800,45.3333,9.9512,0.6881,0.7534,0.5344
L1,P51813,15,750,51.0000,13.0769,0.8051,0.8618,0.6767
L1,P51955,17,850,51.0000,16.2273,0.8891,0.9094,0.7983
L1,P52333,256,12800,51.0000,19.1348,0.9745,0.9878,0.9532
L1,P53350,24,1200,43.1538,16.4516,0.8361,0.8673,0.7340
L1,P53634,58,2900,51.0000,19.9865,0.9855,1.0000,1.0000
L1,P53779,32,1600,51.0000,14.9268,0.8403,0.8764,0.7274
L1,P54646,23,1150,51.0000,17.2881,0.9402,0.8870,0.8724
L1,P55055,13,650,51.0000,16.5000,0.9253,0.9780,0.8648
L1,P56524,28,1400,51.0000,17.7083,0.8677,0.9530,0.8001
L1,P56817,260,13000,51.0000,19.6923,0.9921,0.9915,0.9837
L1,P61964,17,850,51.0000,18.5455,0.9242,0.9839,0.8888
L1,P62937,18,900,51.0000,18.8478,0.9755,0.9452,0.9455
L1,P68400,14,700,19.1250,4.2500,0.3637,0.7128,0.2590
L1,P78527,10,500,17.0000,7.8462,0.4103,0.8781,0.3242
L1,P78540,16,800,51.0000,19.9024,0.9987,1.0000,1.0000
L1,P80457,32,1600,51.0000,19.9024,0.9992,1.0000,1.0000
L1,P81908,46,2300,51.0000,18.5847,0.9543,0.9591,0.9172
L1,Q00534,11,550,51.0000,14.0690,0.7855,0.8774,0.6613
L1,Q00535,19,950,51.0000,14.5714,0.8650,0.9023,0.7514
L1,Q01650,18,900,51.0000,19.9565,0.9994,1.0000,1.0000
L1,Q01827,30,1500,51.0000,19.8701,0.9985,1.0000,1.0000
L1,Q02127,74,3700,51.0000,19.1587,0.9828,0.9945,0.9661
L1,Q02750,14,700,44.6250,12.7500,0.7801,0.8328,0.6373
L1,Q03181,15,750,51.0000,19.6154,0.9985,1.0000,1.0000
L1,Q04609,36,1800,51.0000,19.4022,0.9653,0.9962,0.9494
L1,Q04759,19,950,51.0000,14.5714,0.8655,0.8892,0.7537
L1,Q05397,90,4500,51.0000,19.0696,0.9765,0.9899,0.9563
L1,Q05586,44,2200,51.0000,18.0531,0.9590,0.9711,0.9191
L1,Q06124,28,1400,51.0000,18.4167,0.9679,0.9823,0.9356
L1,Q06187,355,17750,51.0000,19.5894,0.9889,0.9901,0.9810
L1,Q06418,27,1350,47.3571,14.0435,0.7721,0.9313,0.6567
L1,Q07343,47,2350,51.0000,18.2750,0.9623,0.9450,0.9174
L1,Q07422,12,600,51.0000,14.8065,0.8707,0.9027,0.7814
L1,Q07817,14,700,44.6250,11.3333,0.7258,0.7727,0.5642
L1,Q07820,52,2600,51.0000,17.6391,0.9206,0.9434,0.8562
L1,Q07869,15,750,51.0000,18.3077,0.9705,0.9958,0.9495
L1,Q07889,21,1050,46.3636,19.8333,0.9527,0.9987,0.9390
L1,Q07912,10,500,17.0000,7.8462,0.3080,0.7114,0.1882
L1,Q08345,19,950,51.0000,16.6531,0.8903,0.9571,0.8157
L1,Q08499,18,900,51.0000,15.5217,0.8627,0.9120,0.7603
L1,Q08881,16,800,51.0000,14.9268,0.8734,0.8491,0.7634
L1,Q12866,45,2250,51.0000,16.8522,0.8873,0.9261,0.8049
L1,Q12879,17,850,51.0000,13.9091,0.8346,0.8652,0.7184
L1,Q12884,48,2400,51.0000,19.4878,0.9892,0.9978,0.9798
L1,Q13043,50,2500,51.0000,17.9297,0.9552,0.9549,0.9049
L1,Q13085,12,600,51.0000,19.7419,0.9893,1.0000,1.0000
L1,Q13131,26,1300,51.0000,19.0299,0.9833,0.9655,0.9624
L1,Q13133,16,800,51.0000,17.4146,0.9413,0.9785,0.8880
L1,Q13164,16,800,51.0000,18.6585,0.9529,0.9664,0.9145
L1,Q13188,50,2500,51.0000,18.7266,0.9737,0.9776,0.9456
L1,Q13224,34,1700,51.0000,17.0000,0.8707,0.9254,0.8640
L1,Q13315,14,700,51.0000,14.1667,0.8413,0.9251,0.7520
L1,Q13464,22,1100,34.0000,10.7368,0.6250,0.7371,0.4695
L1,Q13526,20,1000,51.0000,18.0000,0.9550,0.9013,0.9019
L1,Q13546,54,2700,51.0000,16.6304,0.9213,0.9468,0.8457
L1,Q13547,361,18050,50.7243,19.4919,0.9524,0.9928,0.9285
L1,Q13627,111,5550,51.0000,17.0599,0.9082,0.9406,0.8391
L1,Q13822,28,1400,51.0000,18.4167,0.9486,0.9610,0.9097
L1,Q13946,12,600,51.0000,16.4516,0.9052,0.8560,0.8178
L1,Q14145,13,650,51.0000,19.5000,0.9989,1.0000,1.0000
L1,Q14289,20,1000,51.0000,18.0000,0.9085,0.9547,0.8473
L1,Q15059,43,2150,51.0000,19.0091,0.9795,0.9754,0.9568
L1,Q15118,13,650,51.0000,10.5000,0.7224,0.8855,0.6027
L1,Q15303,14,700,44.6250,11.3333,0.7330,0.8920,0.6138
L1,Q15561,57,2850,51.0000,19.9110,0.9931,1.0000,1.0000
L1,Q15910,31,1550,51.0000,18.4875,0.9720,0.9585,0.9376
L1,Q16288,20,1000,51.0000,14.0000,0.8087,0.9178,0.6887
L1,Q16512,16,800,51.0000,14.9268,0.8435,0.8195,0.7228
L1,Q16539,14,700,38.2500,9.9167,0.6128,0.8819,0.4576
L1,Q16620,19,950,45.9000,9.3673,0.6495,0.8218,0.4870
L1,Q16678,107,5350,51.0000,19.8022,0.9956,0.9960,0.9904
L1,Q16769,27,1350,51.0000,19.9565,0.9796,0.9991,0.9716
L1,Q16790,205,10250,51.0000,18.6971,0.9599,0.9882,0.9289
L1,Q2KHZ8,26,1300,51.0000,19.7910,0.9034,1.0000,1.0000
L1,Q2M2I8,29,1450,51.0000,17.9189,0.9410,0.9764,0.8995
L1,Q5BJF2,38,1900,51.0000,16.8247,0.9046,0.9469,0.8409
L1,Q5S007,29,1450,51.0000,13.7838,0.8332,0.8733,0.7112
L1,Q5TCY1,16,800,51.0000,18.6585,0.9731,0.9977,0.9592
L1,Q6GI75,16,800,51.0000,18.6585,0.9697,0.9595,0.9394
L1,Q6P179,12,600,51.0000,18.0968,0.9583,0.9961,0.9354
L1,Q6ZQW0,96,4800,51.0000,19.9837,0.9998,1.0000,1.0000
L1,Q72547,35,1750,51.0000,18.1333,0.9618,0.9680,0.9220
L1,Q7ZJM1,10,500,51.0000,17.6538,0.9533,0.9134,0.9023
L1,Q86V86,25,1250,51.0000,15.9375,0.9029,0.9167,0.8170
L1,Q86W56,42,2100,51.0000,19.8333,0.9999,1.0000,1.0000
L1,Q86WV6,25,1250,51.0000,19.1250,0.9828,0.9984,0.9735
L1,Q86X55,48,2400,51.0000,19.0732,0.9628,0.9907,0.9397
L1,Q86YT5,16,800,51.0000,19.9024,0.9993,1.0000,1.0000
L1,Q8IXJ6,24,1200,51.0000,18.9194,0.9813,0.9871,0.9608
L1,Q8N1Q1,10,500,51.0000,15.6923,0.8539,0.9404,0.7584
L1,Q8N884,14,700,51.0000,18.4167,0.9682,0.9517,0.9306
L1,Q8NEB9,13,650,43.7143,13.5000,0.6781,0.9244,0.5649
L1,Q8NER1,10,500,51.0000,17.6538,0.8053,0.9629,0.7330
L1,Q8R4B8,20,1000,51.0000,15.0000,0.8742,0.8507,0.7668
L1,Q8TF76,13,650,14.5714,9.0000,0.3845,0.6744,0.2766
L1,Q8WUI4,17,850,51.0000,18.5455,0.9035,0.9384,0.8511
L1,Q92769,127,6350,49.4308,19.6759,0.9138,0.9885,0.8779
L1,Q92793,12,600,51.0000,19.7419,0.9525,0.9985,0.9371
L1,Q92918,161,8050,51.0000,19.4818,0.9801,0.9944,0.9749
L1,Q93009,16,800,51.0000,17.4146,0.9424,0.9174,0.8787
L1,Q969S8,38,1900,48.4500,18.4021,0.9036,0.9926,0.8606
L1,Q96EB6,11,550,51.0000,17.5862,0.9583,0.9831,0.9179
L1,Q96GD4,24,1200,23.5385,9.8710,0.4571,0.8468,0.3227
L1,Q96KQ7,30,1500,51.0000,18.5455,0.9564,0.9799,0.9191
L1,Q96LA8,12,600,51.0000,18.0968,0.9601,0.9424,0.9190
L1,Q96MU7,11,550,51.0000,19.3448,0.9980,1.0000,1.0000
L1,Q96P20,24,1200,51.0000,18.9194,0.9820,0.9973,0.9680
L1,Q96RI1,13,650,51.0000,16.5000,0.8594,0.9172,0.7871
L1,Q96S37,24,1200,51.0000,18.0968,0.9630,0.9817,0.9236
L1,Q99640,45,2250,48.7826,19.0696,0.9506,0.9968,0.9242
L1,Q99683,16,800,51.0000,12.4390,0.7458,0.8115,0.6046
L1,Q99685,11,550,51.0000,15.8276,0.9139,0.9856,0.8592
L1,Q99720,63,3150,51.0000,18.3727,0.9470,0.9641,0.9099
L1,Q99873,34,1700,51.0000,18.7586,0.9682,0.9891,0.9439
L1,Q9BUB5,13,650,43.7143,9.0000,0.6073,0.7720,0.4284
L1,Q9BV86,14,700,51.0000,19.8333,0.9991,1.0000,1.0000
L1,Q9BWU1,18,900,51.0000,18.8478,0.9722,0.9448,0.9455
L1,Q9BY41,104,5200,51.0000,18.0226,0.8858,0.9760,0.8262
L1,Q9C0B1,81,4050,51.0000,19.7101,0.9935,0.9984,0.9874
L1,Q9GZQ8,18,900,51.0000,18.8478,0.9743,0.9918,0.9510
L1,Q9H2K2,34,1700,51.0000,19.3448,0.9868,0.9871,0.9719
L1,Q9H999,28,1400,51.0000,19.8333,0.9990,1.0000,1.0000
L1,Q9H9B1,18,900,51.0000,18.8478,0.9754,0.9455,0.9456
L1,Q9HBH9,12,600,29.1429,6.5806,0.5143,0.7053,0.3578
L1,Q9NQS5,13,650,51.0000,19.5000,0.9978,1.0000,1.0000
L1,Q9NWZ3,91,4550,51.0000,17.9485,0.9560,0.9640,0.9096
L1,Q9NXA8,13,650,51.0000,19.5000,0.9960,1.0000,1.0000
L1,Q9NYV4,14,700,51.0000,12.7500,0.8026,0.8953,0.6715
L1,Q9NZQ7,85,4250,51.0000,19.2719,0.9844,0.9734,0.9651
L1,Q9P1W9,23,1150,42.5000,10.3729,0.6972,0.8266,0.5448
L1,Q9P2K8,17,850,51.0000,19.7045,0.9994,1.0000,1.0000
L1,Q9UBF8,43,2150,51.0000,19.4727,0.9880,0.9974,0.9773
L1,Q9UBN7,426,21300,49.8303,19.1426,0.9387,0.9903,0.9045
L1,Q9UDY8,13,650,51.0000,19.5000,0.9731,0.9986,0.9631
L1,Q9UGL1,10,500,51.0000,17.6538,0.9537,0.9230,0.9025
L1,Q9UGN5,40,2000,51.0000,18.0000,0.9090,0.9809,0.8535
L1,Q9UIQ6,23,1150,51.0000,17.2881,0.9400,0.9784,0.8858
L1,Q9UKE5,13,650,51.0000,12.0000,0.7798,0.8894,0.6422
L1,Q9UKV0,17,850,51.0000,18.5455,0.9478,0.9405,0.9058
L1,Q9ULX7,24,1200,51.0000,18.0968,0.9552,0.9929,0.9233
L1,Q9UM73,42,2100,51.0000,16.5278,0.8863,0.9385,0.8006
L1,Q9UQB9,10,500,17.0000,7.8462,0.3507,0.7361,0.2683
L1,Q9UQD0,15,750,51.0000,19.6154,0.9946,1.0000,1.0000
L1,Q9UQL6,21,1050,51.0000,18.8889,0.9058,0.9494,0.8569
L1,Q9WKE8,11,550,51.0000,19.3448,0.9986,1.0000,1.0000
L1,Q9Y233,42,2100,51.0000,17.9444,0.9369,0.9830,0.8908
L1,Q9Y243,10,500,17.0000,7.8462,0.4732,0.6715,0.3403
L1,Q9Y2D0,61,3050,51.0000,19.6154,0.9890,0.9985,0.9808
L1,Q9Y2K2,38,1900,51.0000,19.4536,0.9884,0.9745,0.9742
L1,Q9Y2R2,12,600,51.0000,18.0968,0.9623,0.9167,0.9183
L1,Q9Y463,24,1200,51.0000,13.9839,0.8282,0.8581,0.7024
L1,Q9Y5Y9,41,2050,51.0000,19.9143,0.9996,1.0000,1.0000
L1,Q9Y5Z0,227,11350,51.0000,19.9948,0.9999,1.0000,1.0000
L2,C7C422,73,3650,51.0000,19.0909,0.9766,0.9892,0.9532
L2,I6YFP0,11,550,51.0000,19.3448,0.9987,1.0000,1.0000
L2,O00141,34,1700,51.0000,19.9310,0.9998,1.0000,1.0000
L2,O00255,399,19950,51.0000,19.9892,0.9985,1.0000,0.9993
L2,O00329,819,40950,50.8780,19.9215,0.9910,0.9983,0.9856
L2,O00444,36,1800,51.0000,18.2935,0.9414,0.9899,0.9000
L2,O00519,244,12200,51.0000,19.8106,0.9919,0.9994,0.9937
L2,O00763,46,2300,51.0000,19.8814,0.9862,1.0000,1.0000
L2,O14684,125,6250,51.0000,19.8245,0.9966,0.9987,0.9928
L2,O14733,16,800,51.0000,19.9024,0.9977,1.0000,1.0000
L2,O14744,814,40700,50.8774,19.9725,0.9975,0.9998,0.9963
L2,O14757,190,9500,51.0000,19.8742,0.9976,0.9987,0.9951
L2,O14842,18,900,51.0000,19.9565,0.9934,0.9998,0.9899
L2,O14965,51,2550,51.0000,19.0763,0.9835,0.9832,0.9667
L2,O14976,33,1650,51.0000,19.2000,0.9705,0.9966,0.9568
L2,O15151,11,550,51.0000,17.5862,0.9574,0.9626,0.9133
L2,O15379,413,20650,50.7583,19.7419,0.9786,0.9956,0.9657
L2,O35678,10,500,51.0000,17.6538,0.8548,0.9468,0.7934
L2,O43318,15,750,51.0000,19.6154,0.9984,1.0000,1.0000
L2,O43353,297,14850,51.0000,19.7810,0.9957,0.9979,0.9908
L2,O43497,155,7750,51.0000,19.9621,1.0000,1.0000,1.0000
L2,O43570,239,11950,51.0000,19.6475,0.9872,0.9972,0.9812
