layer,uniprot,d_train,d_control,delta,nearest_train
L1,P31749,0.0585,0.1138,-0.0552,
L1,P31751,0.0585,0.1058,-0.0473,
L1,P33981,0.1222,0.1249,-0.0028,
L1,P34913,0.1167,0.1091,0.0076,
L1,P35218,0.1317,0.1542,-0.0224,
L1,P35354,0.1183,0.0955,0.0228,
L1,P35916,0.0903,0.1130,-0.0226,
L1,P35968,0.0903,0.1152,-0.0249,
L1,P36776,0.0840,0.0607,0.0233,
L1,P36888,0.1190,0.1212,-0.0021,
L1,P36897,0.1031,0.1132,-0.0102,
L1,P37231,0.0716,0.1158,-0.0442,
L1,P41182,0.1230,0.1106,0.0125,
L1,P41240,0.0548,0.0639,-0.0090,
L1,P42330,0.0601,0.1002,-0.0401,
L1,P42336,0.1162,0.1211,-0.0048,
L1,P42338,0.1149,0.1241,-0.0092,
L1,P42345,0.1071,0.1039,0.0032,
L1,P43166,0.1040,0.1241,-0.0201,
L1,P43405,0.1064,0.1158,-0.0094,
L1,P43490,0.1247,0.1148,0.0099,
L1,P45983,0.1044,0.1301,-0.0258,
L1,P45984,0.1156,0.1194,-0.0037,
L1,P47989,0.0484,0.0979,-0.0496,
L1,P48735,0.1080,0.1146,-0.0066,
L1,P48736,0.1187,0.1152,0.0035,
L1,P49137,0.1037,0.1078,-0.0041,
L1,P49327,0.1142,0.1005,0.0137,
L1,P49759,0.0487,0.1155,-0.0668,
L1,P49760,0.0421,0.1136,-0.0715,
L1,P49840,0.0572,0.1359,-0.0787,
L1,P49841,0.0572,0.1326,-0.0754,
L1,P50053,0.1258,0.1261,-0.0003,
L1,P50613,0.1144,0.1167,-0.0023,
L1,P50750,0.1044,0.1239,-0.0195,
L1,P51449,0.1166,0.0282,0.0884,
L1,P51451,0.0436,0.0622,-0.0186,
L1,P51531,0.0317,0.0926,-0.0609,
L1,P51532,0.0317,0.1020,-0.0703,
L1,P51617,0.0988,0.1109,-0.0121,
L1,P51812,0.0711,0.1242,-0.0531,
L1,P51813,0.0784,0.1071,-0.0287,
L1,P51955,0.1254,0.1394,-0.0139,
L1,P52333,0.0950,0.1102,-0.0152,
L1,P53350,0.1158,0.1317,-0.0158,
L1,P53634,0.1257,0.1298,-0.0041,
L1,P53779,0.1298,0.1216,0.0082,
L1,P54646,0.0701,0.1123,-0.0422,
L1,P55055,0.0770,0.1222,-0.0452,
L1,P56524,0.0739,0.1298,-0.0559,
L1,P62937,0.0738,0.0909,-0.0171,
L1,P68400,0.0254,0.1099,-0.0845,
L1,P78527,0.1409,0.1376,0.0033,
L1,P78540,0.0654,0.1140,-0.0486,
L1,Q00534,0.1187,0.1205,-0.0017,
L1,Q00535,0.1044,0.1247,-0.0203,
L1,Q02127,0.1173,0.1312,-0.0139,
L1,Q02750,0.0818,0.1299,-0.0481,
L1,Q03181,0.0716,0.1144,-0.0427,
L1,Q04609,0.0735,0.1049,-0.0314,
L1,Q04759,0.0361,0.1227,-0.0866,
L1,Q05397,0.1195,0.1124,0.0071,
L1,Q05586,0.0859,0.0823,0.0036,
L1,Q06124,0.0658,0.0724,-0.0065,
L1,Q06187,0.0401,0.0964,-0.0563,
L1,Q06418,0.1229,0.1042,0.0187,
L1,Q07343,0.0385,0.1252,-0.0867,
L1,Q07869,0.1285,0.1304,-0.0020,
L1,Q07889,0.1121,0.0641,0.0481,
L1,Q07912,0.1017,0.1131,-0.0114,
L1,Q08345,0.1237,0.1247,-0.0010,
L1,Q08499,0.0502,0.1199,-0.0697,
L1,Q08881,0.0793,0.1235,-0.0442,
L1,Q12866,0.0971,0.0985,-0.0014,
L1,Q12879,0.0627,0.0471,0.0156,
L1,Q12884,0.0984,0.1131,-0.0147,
L1,Q13043,0.0658,0.1259,-0.0601,
L1,Q13085,0.0772,0.1184,-0.0413,
L1,Q13131,0.0701,0.1144,-0.0443,
L1,Q13133,0.0770,0.0994,-0.0224,
L1,Q13164,0.1215,0.1234,-0.0019,
L1,Q13188,0.0658,0.1271,-0.0612,
L1,Q13224,0.0934,0.0960,-0.0026,
L1,Q13315,0.1032,0.1075,-0.0043,
L1,Q13464,0.0959,0.1283,-0.0324,
L1,Q13526,0.1001,0.1091,-0.0089,
L1,Q13546,0.1043,0.1006,0.0037,
L1,Q13547,0.0392,0.1062,-0.0670,
L1,Q13627,0.0686,0.1141,-0.0454,
L1,Q13822,0.1199,0.1014,0.0184,
L1,Q13946,0.1197,0.1130,0.0067,
L1,Q14145,0.0917,0.0928,-0.0012,
L1,Q14289,0.0983,0.1025,-0.0042,
L1,Q15059,0.0656,0.1098,-0.0442,
L1,Q15118,0.1347,0.1255,0.0092,
L1,Q15303,0.1034,0.1130,-0.0096,
L1,Q15561,0.1221,0.1214,0.0008,
L1,Q15910,0.1267,0.1232,0.0035,
L1,Q16288,0.1275,0.1197,0.0077,
L1,Q16512,0.1087,0.1129,-0.0043,
L1,Q16539,0.0913,0.0955,-0.0042,
L1,Q16620,0.1083,0.1132,-0.0049,
L1,Q16678,0.0894,0.1120,-0.0226,
L1,Q16790,0.1298,0.1258,0.0040,
L1,Q2M2I8,0.0720,0.1104,-0.0384,
L1,Q5S007,0.1229,0.1248,-0.0019,
L1,Q5TCY1,0.0894,0.1166,-0.0272,
L1,Q6P179,0.0740,0.1110,-0.0370,
L1,Q86V86,0.0897,0.1366,-0.0469,
L1,Q86X55,0.1319,0.1128,0.0190,
L1,Q8N1Q1,0.1245,0.1301,-0.0056,
L1,Q8NEB9,0.1298,0.1116,0.0182,
L1,Q8WUI4,0.0539,0.1306,-0.0767,
L1,Q92769,0.0392,0.1021,-0.0629,
L1,Q92793,0.0413,0.1009,-0.0596,
L1,Q92918,0.1126,0.1239,-0.0113,
L1,Q93009,0.1255,0.1246,0.0009,
L1,Q969S8,0.1203,0.1346,-0.0144,
L1,Q96GD4,0.0657,0.1139,-0.0482,
L1,Q96LA8,0.1125,0.1244,-0.0119,
L1,Q96MU7,0.1166,0.1082,0.0084,
L1,Q96P20,0.0840,0.0796,0.0044,
L1,Q96RI1,0.1152,0.1297,-0.0145,
L1,Q99640,0.1017,0.0993,0.0024,
L1,Q99683,0.0395,0.0828,-0.0433,
L1,Q99873,0.1127,0.1067,0.0061,
L1,Q9BUB5,0.1228,0.1204,0.0024,
L1,Q9BWU1,0.0658,0.1241,-0.0582,
L1,Q9BY41,0.0949,0.1077,-0.0128,
L1,Q9C0B1,0.1129,0.1186,-0.0057,
L1,Q9GZQ8,0.1285,0.1148,0.0137,
L1,Q9H2K2,0.1329,0.1218,0.0111,
L1,Q9HBH9,0.1077,0.1185,-0.0109,
L1,Q9NWZ3,0.0988,0.1007,-0.0019,
L1,Q9NYV4,0.0433,0.1189,-0.0756,
L1,Q9NZQ7,0.1087,0.1147,-0.0061,
L1,Q9P1W9,0.0898,0.0943,-0.0045,
L1,Q9P2K8,0.1084,0.1012,0.0072,
L1,Q9UBN7,0.1203,0.1087,0.0116,
L1,Q9UDY8,0.1205,0.1181,0.0024,
L1,Q9UGL1,0.0851,0.1128,-0.0277,
L1,Q9UGN5,0.0475,0.1075,-0.0600,
L1,Q9UIQ6,0.0947,0.1131,-0.0184,
L1,Q9UKE5,0.1160,0.1342,-0.0182,
L1,Q9UKV0,0.0278,0.1385,-0.1107,
L1,Q9ULX7,0.1110,0.1188,-0.0078,
L1,Q9UM73,0.0909,0.1159,-0.0249,
L1,Q9UQB9,0.0657,0.1245,-0.0588,
L1,Q9UQL6,0.0278,0.1329,-0.1051,
L1,Q9Y233,0.1249,0.1126,0.0124,
L1,Q9Y243,0.0709,0.1303,-0.0594,
L1,Q9Y2D0,0.1317,0.1418,-0.0100,
L1,Q9Y2K2,0.1146,0.1186,-0.0041,
L1,Q9Y2R2,0.0995,0.0950,0.0045,
L1,Q9Y463,0.0686,0.1220,-0.0534,
L2,O00141,0.1370,0.1405,-0.0035,
L2,O00329,0.1112,0.1112,-0.0000,
L2,O00444,0.0980,0.0973,0.0007,
L2,O00763,0.0772,0.1149,-0.0377,
L2,O14733,0.1225,0.1120,0.0106,
L2,O14744,0.0943,0.0893,0.0050,
L2,O14757,0.0947,0.1164,-0.0217,
L2,O14965,0.1160,0.1140,0.0020,
L2,O14976,0.1138,0.1180,-0.0042,
L2,O15151,0.1105,0.1080,0.0026,
L2,O15379,0.0938,0.1163,-0.0226,
L2,O43318,0.1244,0.1170,0.0074,
L2,O43353,0.1169,0.1270,-0.0101,
L2,O43570,0.1040,0.1240,-0.0200,
L2,O60341,0.1157,0.1187,-0.0029,
L2,O60674,0.0469,0.0952,-0.0483,
L2,O60760,0.0992,0.1016,-0.0023,
L2,O60885,0.0261,0.0801,-0.0541,
L2,O75116,0.0959,0.1263,-0.0304,
L2,O75173,0.0916,0.1164,-0.0248,
L2,O75385,0.1182,0.1273,-0.0091,
L2,O75417,0.1071,0.0943,0.0127,
L2,O75460,0.1251,0.1250,0.0000,
L2,O75874,0.1080,0.1300,-0.0220,
L2,O75936,0.1013,0.1022,-0.0009,
L2,O76074,0.1078,0.1123,-0.0044,
L2,O76083,0.1286,0.1246,0.0040,
L2,O95271,0.1201,0.1135,0.0066,
L2,O95497,0.1187,0.1239,-0.0052,
L2,O95819,0.0826,0.0912,-0.0086,
L2,O96013,0.0754,0.1150,-0.0396,
L2,O96017,0.1018,0.1015,0.0003,
L2,O96028,0.0644,0.1145,-0.0501,
L2,P00338,0.0421,0.0866,-0.0445,
L2,P00519,0.0518,0.0849,-0.0330,
L2,P00533,0.0856,0.1103,-0.0247,
L2,P00734,0.1028,0.0948,0.0080,
L2,P00742,0.1158,0.1153,0.0005,
L2,P00746,0.1170,0.1214,-0.0043,
L2,P00748,0.1236,0.1185,0.0051,
L2,P00751,0.1080,0.0936,0.0143,
L2,P00915,0.1079,0.1078,0.0002,
L2,P00918,0.1104,0.1170,-0.0067,
L2,P01116,0.0650,0.0897,-0.0247,
L2,P01375,0.1121,0.1141,-0.0019,
L2,P02753,0.1008,0.1069,-0.0060,
L2,P03372,0.0630,0.1154,-0.0524,
L2,P03951,0.1126,0.1046,0.0081,
L2,P03952,0.0871,0.1074,-0.0203,
L2,P04049,0.0954,0.1174,-0.0221,
L2,P04150,0.1281,0.1323,-0.0041,
L2,P04626,0.0856,0.0853,0.0003,
L2,P04629,0.1162,0.1186,-0.0024,
L2,P04798,0.0894,0.1165,-0.0271,
L2,P04818,0.1199,0.1215,-0.0015,
L2,P05089,0.0654,0.1117,-0.0463,
L2,P05177,0.0964,0.1286,-0.0322,
L2,P05981,0.1112,0.1201,-0.0090,
L2,P06239,0.0617,0.0700,-0.0083,
L2,P06241,0.0392,0.0754,-0.0362,
L2,P06276,0.1043,0.0929,0.0114,
L2,P06401,0.1160,0.1191,-0.0031,
L2,P06493,0.0811,0.1168,-0.0356,
L2,P06730,0.1225,0.1245,-0.0021,
L2,P07333,0.1052,0.1111,-0.0059,
L2,P07711,0.0916,0.1310,-0.0394,
L2,P07858,0.1229,0.1276,-0.0047,
L2,P07900,0.0871,0.1261,-0.0390,
L2,P07948,0.0394,0.0728,-0.0334,
L2,P07949,0.0891,0.0976,-0.0085,
L2,P08069,0.0658,0.1205,-0.0547,
L2,P08183,0.0684,0.0626,0.0058,
L2,P08238,0.0871,0.1274,-0.0402,
L2,P08246,0.1113,0.1113,0.0001,
L2,P08253,0.0545,0.1084,-0.0539,
L2,P08254,0.0561,0.0794,-0.0233,
L2,P08581,0.1129,0.1102,0.0028,
L2,P08684,0.1166,0.1285,-0.0118,
L2,P08922,0.0909,0.1033,-0.0124,
L2,P09237,0.0797,0.1133,-0.0336,
L2,P09238,0.0577,0.0914,-0.0337,
L2,P09382,0.1231,0.1270,-0.0038,
L2,P09619,0.1030,0.0895,0.0134,
L2,P09874,0.1068,0.1038,0.0029,
L2,P09917,0.1063,0.1120,-0.0057,
L2,P09960,0.1164,0.0912,0.0252,
L2,P0DUB6,0.0254,0.0163,0.0091,
L2,P10275,0.0975,0.1085,-0.0110,
L2,P10398,0.0957,0.1149,-0.0191,
L2,P10721,0.0950,0.1072,-0.0122,
L2,P11309,0.0897,0.1217,-0.0320,
L2,P11362,0.0572,0.1102,-0.0530,
L2,P11474,0.1008,0.0953,0.0054,
L2,P11511,0.1143,0.1113,0.0030,
L2,P11802,0.1124,0.1226,-0.0102,
L2,P12931,0.0424,0.0752,-0.0328,
L2,P13569,0.0832,0.0844,-0.0012,
L2,P13995,0.1197,0.1105,0.0093,
L2,P14207,0.1337,0.1375,-0.0038,
L2,P14555,0.1217,0.1194,0.0023,
L2,P14618,0.1031,0.0915,0.0116,
L2,P14780,0.0823,0.1051,-0.0228,
L2,P15056,0.0954,0.1117,-0.0163,
L2,P15428,0.1121,0.1354,-0.0233,
L2,P15559,0.1232,0.1145,0.0087,
L2,P16050,0.1160,0.1070,0.0090,
L2,P16234,0.1150,0.1006,0.0143,
L2,P16591,0.0555,0.1178,-0.0623,
L2,P17252,0.0274,0.1099,-0.0826,
L2,P17516,0.0601,0.1257,-0.0655,
L2,P17612,0.1000,0.1169,-0.0169,
L2,P17706,0.0406,0.1143,-0.0737,
L2,P17812,0.1082,0.1134,-0.0052,
L2,P17931,0.1124,0.1168,-0.0045,
L2,P18031,0.0406,0.0922,-0.0516,
L2,P18054,0.1160,0.1144,0.0017,
L2,P19099,0.0471,0.1115,-0.0644,
L2,P20618,0.1230,0.1153,0.0076,
L2,P21397,0.0187,0.0949,-0.0762,
L2,P21589,0.1162,0.0900,0.0262,
L2,P21802,0.0499,0.1104,-0.0605,
L2,P22303,0.1113,0.1155,-0.0041,
L2,P22413,0.1389,0.1386,0.0003,
L2,P22455,0.0572,0.0967,-0.0395,
L2,P22607,0.0499,0.1148,-0.0649,
L2,P22748,0.1174,0.1146,0.0027,
L2,P22894,0.0624,0.0977,-0.0353,
L2,P23458,0.0469,0.1122,-0.0653,
L2,P23467,0.0915,0.1029,-0.0114,
L2,P23921,0.1174,0.1206,-0.0031,
L2,P23946,0.1270,0.1204,0.0066,
L2,P24941,0.1168,0.1193,-0.0025,
L2,P25440,0.0261,0.0971,-0.0710,
L2,P25774,0.1052,0.1111,-0.0060,
L2,P27338,0.0187,0.0958,-0.0771,
L2,P27487,0.0984,0.1125,-0.0142,
L2,P28062,0.1331,0.1339,-0.0009,
L2,P28065,0.1331,0.1330,0.0000,
L2,P28074,0.1344,0.1311,0.0033,
L2,P28482,0.1152,0.1178,-0.0026,
L2,P28845,0.1349,0.1237,0.0112,
L2,P28907,0.1381,0.1363,0.0018,
L2,P29375,0.0851,0.1143,-0.0292,
L2,P29466,0.1254,0.1304,-0.0050,
L2,P29597,0.1029,0.0955,0.0074,
L2,P30291,0.0897,0.1201,-0.0304,
L2,P30530,0.1067,0.0980,0.0086,
L2,P31153,0.1173,0.0390,0.0783,
L2,P31749,0.0585,0.1138,-0.0552,
L2,P31751,0.0585,0.1058,-0.0473,
L2,P33981,0.1222,0.1249,-0.0028,
L2,P34913,0.1167,0.1091,0.0076,
L2,P34947,0.1030,0.1212,-0.0181,
L2,P35218,0.1317,0.1542,-0.0224,
L2,P35354,0.1183,0.0955,0.0228,
L2,P35916,0.0903,0.1130,-0.0226,
L2,P35968,0.0903,0.1152,-0.0249,
L2,P36776,0.0840,0.0607,0.0233,
L2,P36888,0.1190,0.1212,-0.0021,
L2,P36897,0.1031,0.1132,-0.0102,
L2,P37023,0.1046,0.1165,-0.0118,
L2,P39900,0.0352,0.0839,-0.0488,
L2,P40337,0.1139,0.1120,0.0019,
L2,P40763,0.0884,0.0983,-0.0098,
L2,P41182,0.1230,0.1106,0.0125,
L2,P41240,0.0548,0.0639,-0.0090,
L2,P41594,0.1295,0.1135,0.0161,
L2,P42330,0.0601,0.1002,-0.0401,
L2,P42336,0.1162,0.1211,-0.0048,
L2,P42338,0.1149,0.1241,-0.0092,
L2,P42345,0.1071,0.1039,0.0032,
L2,P43166,0.1040,0.1241,-0.0201,
L2,P43235,0.0916,0.1189,-0.0273,
L2,P43405,0.1064,0.1158,-0.0094,
L2,P43490,0.1247,0.1148,0.0099,
L2,P45452,0.0352,0.1202,-0.0850,
L2,P45983,0.1044,0.1301,-0.0258,
L2,P45984,0.1156,0.1194,-0.0037,
L2,P47989,0.0484,0.0979,-0.0496,
L2,P48729,0.0593,0.1219,-0.0626,
L2,P48730,0.0509,0.1330,-0.0821,
L2,P48735,0.1080,0.1146,-0.0066,
L2,P48736,0.1187,0.1152,0.0035,
L2,P49137,0.1037,0.1078,-0.0041,
L2,P49327,0.1142,0.1005,0.0137,
L2,P49336,0.0658,0.1198,-0.0539,
L2,P49674,0.0509,0.1377,-0.0869,
L2,P49759,0.0487,0.1155,-0.0668,
L2,P49760,0.0421,0.1136,-0.0715,
L2,P49761,0.0979,0.1345,-0.0365,
L2,P49840,0.0572,0.1359,-0.0787,
L2,P49841,0.0572,0.1326,-0.0754,
L2,P50053,0.1258,0.1261,-0.0003,
L2,P50613,0.1144,0.1167,-0.0023,
L2,P50750,0.1044,0.1239,-0.0195,
L2,P51449,0.1166,0.0282,0.0884,
L2,P51531,0.0317,0.0926,-0.0609,
L2,P51532,0.0317,0.1020,-0.0703,
L2,P51617,0.0988,0.1109,-0.0121,
L2,P51813,0.0784,0.1071,-0.0287,
L2,P52333,0.0950,0.1102,-0.0152,
L2,P52895,0.0523,0.1315,-0.0792,
L2,P53350,0.1158,0.1317,-0.0158,
L2,P53396,0.0907,0.0865,0.0042,
L2,P53634,0.1257,0.1298,-0.0041,
L2,P53667,0.1251,0.1227,0.0024,
L2,P53671,0.1088,0.1061,0.0027,
L2,P53779,0.1298,0.1216,0.0082,
L2,P54646,0.0701,0.1123,-0.0422,
L2,P55055,0.0770,0.1222,-0.0452,
L2,P56524,0.0739,0.1298,-0.0559,
L2,P62937,0.0738,0.0909,-0.0171,
L2,P68400,0.0254,0.1099,-0.0845,
L2,P78527,0.1409,0.1376,0.0033,
L2,P80192,0.0991,0.1067,-0.0076,
L2,P98170,0.1131,0.1072,0.0059,
L2,Q00534,0.1187,0.1205,-0.0017,
L2,Q00535,0.1044,0.1247,-0.0203,
L2,Q00536,0.1163,0.1220,-0.0057,
L2,Q00987,0.1120,0.1083,0.0037,
L2,Q01064,0.1290,0.1277,0.0013,
L2,Q02127,0.1173,0.1312,-0.0139,
L2,Q02750,0.0818,0.1299,-0.0481,
L2,Q03111,0.0435,0.1110,-0.0675,
L2,Q04609,0.0735,0.1049,-0.0314,
L2,Q04759,0.0361,0.1227,-0.0866,
L2,Q04771,0.0671,0.1130,-0.0459,
L2,Q04828,0.0523,0.1064,-0.0541,
L2,Q05397,0.1195,0.1124,0.0071,
L2,Q06124,0.0658,0.0724,-0.0065,
L2,Q06187,0.0401,0.0964,-0.0563,
L2,Q06418,0.1229,0.1042,0.0187,
L2,Q07343,0.0385,0.1252,-0.0867,
L2,Q07889,0.1121,0.0641,0.0481,
L2,Q08345,0.1237,0.1247,-0.0010,
L2,Q08499,0.0502,0.1199,-0.0697,
L2,Q09472,0.0413,0.1206,-0.0793,
L2,Q12851,0.1431,0.1301,0.0131,
L2,Q12866,0.0971,0.0985,-0.0014,
L2,Q12879,0.0627,0.0471,0.0156,
L2,Q12884,0.0984,0.1131,-0.0147,
L2,Q12931,0.0907,0.1057,-0.0150,
L2,Q13043,0.0658,0.1259,-0.0601,
L2,Q13085,0.0772,0.1184,-0.0413,
L2,Q13133,0.0770,0.0994,-0.0224,
L2,Q13153,0.0852,0.1063,-0.0210,
L2,Q13164,0.1215,0.1234,-0.0019,
L2,Q13224,0.0934,0.0960,-0.0026,
L2,Q13315,0.1032,0.1075,-0.0043,
L2,Q13451,0.0966,0.1121,-0.0155,
L2,Q13464,0.0959,0.1283,-0.0324,
L2,Q13489,0.0678,0.1118,-0.0441,
L2,Q13490,0.0678,0.1152,-0.0474,
L2,Q13526,0.1001,0.1091,-0.0089,
L2,Q13546,0.1043,0.1006,0.0037,
L2,Q13547,0.0392,0.1062,-0.0670,
L2,Q13627,0.0686,0.1141,-0.0454,
L2,Q13822,0.1199,0.1014,0.0184,
L2,Q13946,0.1197,0.1130,0.0067,
L2,Q14004,0.0433,0.1246,-0.0813,
L2,Q14145,0.0917,0.0928,-0.0012,
L2,Q14432,0.0438,0.1316,-0.0878,
L2,Q14833,0.1278,0.1288,-0.0009,
L2,Q14994,0.1228,0.1270,-0.0041,
L2,Q15059,0.0656,0.1098,-0.0442,
L2,Q15118,0.1347,0.1255,0.0092,
L2,Q15119,0.1167,0.1206,-0.0039,
L2,Q15561,0.1221,0.1214,0.0008,
L2,Q15910,0.1267,0.1232,0.0035,
L2,Q16288,0.1275,0.1197,0.0077,
L2,Q16539,0.0913,0.0955,-0.0042,
L2,Q16584,0.1203,0.1203,-0.0000,
L2,Q16620,0.1083,0.1132,-0.0049,
L2,Q16678,0.0894,0.1120,-0.0226,
L2,Q16740,0.1261,0.1239,0.0022,
L2,Q16790,0.1298,0.1258,0.0040,
L2,Q2M2I8,0.0720,0.1104,-0.0384,
L2,Q460N5,0.0911,0.0805,0.0106,
L2,Q58F21,0.0808,0.1095,-0.0287,
L2,Q5S007,0.1229,0.1248,-0.0019,
L2,Q6P179,0.0740,0.1110,-0.0370,
L2,Q6V1X1,0.1013,0.1066,-0.0053,
L2,Q86TI2,0.1110,0.1100,0.0010,
L2,Q86V86,0.0897,0.1366,-0.0469,
L2,Q86X55,0.1319,0.1128,0.0190,
L2,Q8IVH8,0.1066,0.1141,-0.0075,
L2,Q8IYT8,0.1125,0.1142,-0.0016,
L2,Q8NEB9,0.1298,0.1116,0.0182,
L2,Q8NI77,0.0917,0.0832,0.0085,
L2,Q92769,0.0392,0.1021,-0.0629,
L2,Q92793,0.0413,0.1009,-0.0596,
L2,Q92831,0.0982,0.1087,-0.0104,
L2,Q92918,0.1126,0.1239,-0.0113,
L2,Q92993,0.1290,0.1218,0.0072,
L2,Q93009,0.1255,0.1246,0.0009,
L2,Q969S8,0.1203,0.1346,-0.0144,
L2,Q96GG9,0.0733,0.1272,-0.0538,
L2,Q96P20,0.0840,0.0796,0.0044,
L2,Q96RI1,0.1152,0.1297,-0.0145,
L2,Q96SW2,0.1078,0.1241,-0.0162,
L2,Q99558,0.0990,0.1168,-0.0178,
L2,Q99640,0.1017,0.0993,0.0024,
L2,Q99683,0.0395,0.0828,-0.0433,
L2,Q99814,0.1089,0.1123,-0.0035,
L2,Q99873,0.1127,0.1067,0.0061,
L2,Q9BUB5,0.1228,0.1204,0.0024,
L2,Q9BWU1,0.0658,0.1241,-0.0582,
L2,Q9BY41,0.0949,0.1077,-0.0128,
