uniprot,n_actives,n_total,protein_class,structure_grade,best_model,best_ef1,median_ef1,median_auroc,ef1_ligunity_protein_ranking,ef1_ligunity_pocket_ranking,ef1_hypseek_rk,ef1_hypseek_official_vs,ef1_litenclip,ef1_litenclip_v2,ef1_drugclip,ef1_bindclip_randneg,ef1_bindclip_hardneg,ef1_conglude,ef1_conplex,ef1_sprint
Q13574,576,29346,其他酶,B 预测·置信达标,ligunity_pocket_ranking,16.6361,0.7802,0.6538,0.3466,16.6361,0.5199,0.0000,0.3466,0.8665,0.8665,1.5596,3.8124,0.6939,1.3878,0.0000
Q13724,529,26950,其他酶,B 预测·置信达标,conglude,26.0667,0.0000,0.6212,2.6416,0.0000,0.0000,0.0000,0.5661,0.0000,16.2270,0.0000,0.0000,26.0667,0.0000,1.1333
Q15078,52,2649,激酶,C 预测·置信不足,conplex,5.6667,0.0000,0.6156,3.7735,0.0000,0.0000,0.0000,0.0000,3.7735,0.0000,1.8868,0.0000,0.0000,5.6667,1.8889
Q16236,86,4381,其他/未分类,C 预测·置信不足,litenclip,23.1554,0.0000,0.6657,0.0000,0.0000,0.0000,2.3155,23.1554,0.0000,0.0000,0.0000,0.0000,10.4318,0.0000,0.0000
Q16739,309,15737,其他酶,B 预测·置信达标,hypseek_rk,36.7461,0.4837,0.7249,0.6447,3.8680,36.7461,9.3477,0.9670,0.0000,0.0000,0.0000,0.0000,0.3228,24.5316,0.0000
Q5JRX3,57,2905,其他酶,A 实验结构,ligunity_protein_ranking,25.4825,0.0000,0.5261,25.4825,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.2000
Q6SZW1,243,12377,其他酶,A 实验结构,bindclip_randneg,21.3595,0.6161,0.6032,0.0000,5.7506,1.2323,0.4108,0.8215,0.0000,16.4304,21.3595,0.4108,0.0000,1.6452,0.0000
Q7Z3E1,574,29244,其他酶,C 预测·置信不足,bindclip_hardneg,29.2993,17.3303,0.8414,0.0000,28.5168,18.0838,27.2996,21.7354,2.4344,16.5769,23.8220,29.2993,6.4403,2.7850,2.0887
Q7Z5P4,883,45534,其他酶,A 实验结构,litenclip_v2,3.8449,0.0000,0.4857,0.9047,0.0000,0.0000,0.0000,0.0000,3.8449,0.0000,0.0000,0.0000,0.0000,1.0066,0.6711
Q86SK9,54,2745,其他酶,B 预测·置信达标,conplex,7.2857,0.0000,0.7626,7.2619,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6310,0.0000,0.0000,7.2857,0.0000
Q86UE8,68,3463,激酶,A 实验结构,litenclip,33.4660,3.6429,0.8767,8.7303,23.2807,11.6403,2.9101,33.4660,2.9101,0.0000,0.0000,0.0000,2.9143,4.3714,4.3714
Q92551,192,9779,其他酶,B 预测·置信达标,bindclip_randneg,18.7098,0.0000,0.6828,0.0000,0.0000,0.0000,0.0000,0.0000,4.6775,8.5753,18.7098,5.1972,0.0000,0.0000,0.0000
Q96DB2,71,3617,表观,B 预测·置信达标,litenclip_v2,39.9288,8.9526,0.8788,31.6677,5.5074,0.0000,16.5223,1.3769,39.9288,0.0000,12.3917,34.4214,30.3243,0.0000,5.5135
Q9H0K1,109,5552,激酶,C 预测·置信不足,litenclip_v2,31.8349,6.8218,0.8891,18.1913,7.2765,20.0105,29.1062,6.3670,31.8349,3.6383,8.1861,5.9122,0.0000,1.8214,1.8214
Q9HCE5,193,9834,其他/未分类,C 预测·置信不足,ligunity_protein_ranking,2.3161,0.0000,0.4298,2.3161,0.0000,1.0294,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5455,0.0000,0.5152
Q9NPH5,96,4892,其他酶,B 预测·置信达标,ligunity_protein_ranking,0.0000,0.0000,0.4881,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q9NR19,142,7233,其他酶,B 预测·置信达标,litenclip,0.6978,0.0000,0.4953,0.0000,0.0000,0.0000,0.0000,0.6978,0.0000,0.6978,0.0000,0.6978,0.0000,0.0000,0.0000
