uniprot,layer,n_actives,n_decoys,protein_class,structure_grade,boltz_plddt,boltz_iptm
Q16620,L2,188,9400,激酶,A experimental,,
Q5S007,L2,760,38000,激酶,A experimental,,
Q8IVH8,L2,332,16600,激酶,A experimental,,
Q99640,L2,286,14300,激酶,A experimental,,
Q99683,L2,76,3800,激酶,A experimental,,
Q9HAZ1,L2,135,6750,激酶,A experimental,,
Q9HBH9,L2,104,5200,激酶,A experimental,,
Q9NSY1,L2,68,3400,激酶,A experimental,,
Q9NWZ3,L2,1458,72900,激酶,A experimental,,
Q9NYV4,L2,282,14100,激酶,A experimental,,
Q9P2K8,L2,86,4300,激酶,A experimental,,
P10415,L2,1007,50350,离子通道,A experimental,,
P47869,L2,184,9200,离子通道,C no confidence recorded,,
P62813,L2,86,4300,离子通道,C no confidence recorded,,
Q07817,L2,377,18850,离子通道,A experimental,,
Q15858,L2,660,33000,离子通道,A experimental,,
Q9Y5Y9,L2,632,31600,离子通道,A experimental,,
O75173,L2,83,4150,蛋白酶,A experimental,,
P00734,L2,72,3600,蛋白酶,A experimental,,
P00742,L2,66,3300,蛋白酶,A experimental,,
P00746,L2,364,18200,蛋白酶,A experimental,,
P00751,L2,146,7300,蛋白酶,A experimental,,
P03951,L2,101,5050,蛋白酶,A experimental,,
P03952,L2,130,6500,蛋白酶,A experimental,,
P07711,L2,113,5650,蛋白酶,A experimental,,
P14756,L2,71,3550,蛋白酶,A experimental,,
P20618,L2,73,3650,蛋白酶,A experimental,,
P23946,L2,71,3550,蛋白酶,A experimental,,
P27487,L2,116,5800,蛋白酶,A experimental,,
P28074,L2,325,16250,蛋白酶,A experimental,,
P34913,L2,62,3100,蛋白酶,A experimental,,
P34914,L2,198,9900,蛋白酶,A experimental,,
P39900,L2,83,4150,蛋白酶,A experimental,,
P53634,L2,415,20750,蛋白酶,A experimental,,
P56817,L2,352,17600,蛋白酶,A experimental,,
Q04609,L2,101,5050,蛋白酶,A experimental,,
Q12884,L2,122,6100,蛋白酶,A experimental,,
Q6V1X1,L2,69,3450,蛋白酶,A experimental,,
Q86TI2,L2,56,2800,蛋白酶,A experimental,,
Q93009,L2,293,14650,蛋白酶,A experimental,,
Q9UNA0,L2,80,4000,蛋白酶,A experimental,,
Q9Y5Z0,L2,317,15850,蛋白酶,A experimental,,
O14744,L2,814,40700,表观,A experimental,,
O15379,L2,413,20650,表观,A experimental,,
O60341,L2,807,40350,表观,A experimental,,
O60885,L2,576,28800,表观,A experimental,,
O96028,L2,77,3850,表观,A experimental,,
P51531,L2,92,4600,表观,A experimental,,
P51532,L2,82,4100,表观,A experimental,,
P61964,L2,51,2550,表观,A experimental,,
Q03111,L2,100,5000,表观,A experimental,,
Q09472,L2,112,5600,表观,A experimental,,
Q13547,L2,1044,52200,表观,A experimental,,
Q15910,L2,735,36750,表观,A experimental,,
Q92769,L2,338,16900,表观,A experimental,,
Q92793,L2,437,21850,表观,A experimental,,
Q92993,L2,93,4650,表观,A experimental,,
Q9BY41,L2,393,19650,表观,A experimental,,
Q9H8M2,L2,391,19550,表观,A experimental,,
Q9UBN7,L2,1401,70050,表观,A experimental,,
P31645,L2,109,5450,转运体,A experimental,,
P37288,L3,110,5500,GPCR,B predicted (confident),0.704,0.977
P43220,L3,129,6450,GPCR,A experimental,,
Q96LB1,L3,69,3450,GPCR,A experimental,,
P08519,L3,75,3750,其他/未分类,A experimental,,
P0DTC1,L3,855,42750,其他/未分类,A experimental,,
P28347,L3,238,11900,其他/未分类,A experimental,,
Q15562,L3,180,9000,其他/未分类,A experimental,,
Q99594,L3,102,5100,其他/未分类,A experimental,,
C7FF05,L3,92,4600,其他酶,B predicted (confident),0.861,0.933
O14638,L3,91,4550,其他酶,A experimental,,
P01111,L3,469,23450,其他酶,A experimental,,
P30405,L3,78,3900,其他酶,A experimental,,
P56528,L3,103,5150,其他酶,B predicted (confident),0.921,0.951
Q9NP56,L3,71,3550,其他酶,B predicted (confident),0.796,0.977
O94921,L3,100,5000,激酶,C predicted (low confidence),0.666,0.972
P05622,L3,378,18900,激酶,C predicted (low confidence),0.676,0.857
Q15878,L3,151,7550,离子通道,A experimental,,
P97821,L3,83,4150,蛋白酶,B predicted (confident),0.881,0.973
Q92830,L3,159,7950,表观,A experimental,,
O88634,L4,66,3300,GPCR,B predicted (confident),0.788,0.953
P14416,L4,320,16000,GPCR,A experimental,,
P21917,L4,65,3250,GPCR,A experimental,,
P25929,L4,102,5100,GPCR,A experimental,,
P28223,L4,1200,60000,GPCR,A experimental,,
P34969,L4,101,5050,GPCR,A experimental,,
P35462,L4,109,5450,GPCR,A experimental,,
P50052,L4,214,10700,GPCR,A experimental,,
J9SQF3,L4,650,32500,其他/未分类,A experimental,,
P09246,L4,80,4000,其他/未分类,C no confidence recorded,,
P17927,L4,69,3450,其他/未分类,C predicted (low confidence),0.806,0.481
P24864,L4,68,3400,其他/未分类,A experimental,,
P30990,L4,76,3800,其他/未分类,C predicted (low confidence),0.456,0.829
P37840,L4,115,5750,其他/未分类,A experimental,,
Q16236,L4,86,4300,其他/未分类,C predicted (low confidence),0.398,0.511
Q9HCE5,L4,193,9650,其他/未分类,C predicted (low confidence),0.642,0.506
O00187,L4,338,16900,其他酶,A experimental,,
O00411,L4,227,11350,其他酶,A experimental,,
O00443,L4,99,4950,其他酶,A experimental,,
O14874,L4,106,5300,其他酶,A experimental,,
O42275,L4,118,5900,其他酶,B predicted (confident),0.893,0.754
O60427,L4,236,11800,其他酶,B predicted (confident),0.928,0.915
O75747,L4,229,11450,其他酶,C predicted (low confidence),0.630,0.961
P08546,L4,82,4100,其他酶,C predicted (low confidence),0.425,0.739
P0AES4,L4,133,6650,其他酶,A experimental,,
P14060,L4,74,3700,其他酶,B predicted (confident),0.936,0.935
P16788,L4,454,22700,其他酶,C predicted (low confidence),0.650,0.925
P52429,L4,81,4050,其他酶,B predicted (confident),0.834,0.861
P54278,L4,85,4250,其他酶,A experimental,,
Q08211,L4,707,35350,其他酶,A experimental,,
Q08828,L4,68,3400,其他酶,B predicted (confident),0.769,0.655
Q10469,L4,171,8550,其他酶,A experimental,,
Q13191,L4,1232,61600,其他酶,A experimental,,
Q13574,L4,576,28800,其他酶,B predicted (confident),0.712,0.858
Q13724,L4,529,26450,其他酶,B predicted (confident),0.898,0.918
Q16739,L4,309,15450,其他酶,B predicted (confident),0.907,0.869
Q5JRX3,L4,57,2850,其他酶,A experimental,,
Q6SZW1,L4,243,12150,其他酶,A experimental,,
Q7Z3E1,L4,574,28700,其他酶,C predicted (low confidence),0.628,0.989
Q7Z5P4,L4,894,44700,其他酶,A experimental,,
Q86SK9,L4,54,2700,其他酶,B predicted (confident),0.899,0.974
Q8WYB5,L4,192,9600,其他酶,B predicted (confident),0.839,0.968
Q92551,L4,192,9600,其他酶,B predicted (confident),0.742,0.988
Q92794,L4,859,42950,其他酶,A experimental,,
Q96GX5,L4,258,12900,其他酶,A experimental,,
Q96KP4,L4,110,5500,其他酶,A experimental,,
Q9NPH5,L4,96,4800,其他酶,B predicted (confident),0.842,0.820
Q9NR19,L4,142,7100,其他酶,B predicted (confident),0.850,0.904
Q9UBM7,L4,299,14950,其他酶,C no confidence recorded,,
Q9UHH9,L4,91,4550,其他酶,C no confidence recorded,,
Q9UKP4,L4,289,14450,其他酶,C no confidence recorded,,
Q9ULC5,L4,179,8950,其他酶,C no confidence recorded,,
Q9ULV8,L4,569,28450,其他酶,A experimental,,
Q9Y2I7,L4,394,19700,其他酶,C predicted (low confidence),0.632,0.912
O14578,L4,152,7600,激酶,B predicted (confident),0.927,0.987
O75909,L4,169,8450,激酶,C predicted (low confidence),0.496,0.672
O95835,L4,73,3650,激酶,C predicted (low confidence),0.476,0.979
P17948,L4,94,4700,激酶,A experimental,,
P19525,L4,181,9050,激酶,A experimental,,
P57059,L4,84,4200,激酶,C predicted (low confidence),0.494,0.963
Q13233,L4,58,2900,激酶,B predicted (confident),0.853,0.955
Q13535,L4,477,23850,激酶,A experimental,,
Q15078,L4,52,2600,激酶,C predicted (low confidence),0.559,0.671
Q16832,L4,326,16300,激酶,A experimental,,
Q86UE8,L4,68,3400,激酶,A experimental,,
Q9H0K1,L4,109,5450,激酶,C predicted (low confidence),0.481,0.977
P22001,L4,351,17550,离子通道,C predicted (low confidence),0.649,0.655
Q8N1C3,L4,201,10050,离子通道,B predicted (confident),0.747,0.749
O94782,L4,406,20300,蛋白酶,A experimental,,
P09871,L4,421,21050,蛋白酶,A experimental,,
Q03164,L4,268,13400,表观,A experimental,,
Q96DB2,L4,71,3550,表观,B predicted (confident),0.906,0.808
Q9BQA1,L4,62,3100,表观,C no confidence recorded,,
P11166,L4,69,3450,转运体,A experimental,,
P20648,L4,112,5600,转运体,B predicted (confident),0.835,0.747
