uniprot,layer,n_actives,n_decoys,protein_class,structure_grade,boltz_plddt,boltz_iptm
P01116,L2,3262,142379,其他酶,A 实验结构,,
P01127,L4,206,10300,其他/未分类,C 预测·置信不足,0.555,0.779
P01375,L2,21,1050,其他/未分类,A 实验结构,,
P01584,L4,31,1550,其他/未分类,A 实验结构,,
P02753,L2,23,1150,其他/未分类,A 实验结构,,
P03372,L1,40,2000,核受体,A 实验结构,,
P03372,L2,218,10900,核受体,A 实验结构,,
P03421,L4,18,900,其他/未分类,C 无置信度记录,,
P03468,L2,51,2550,其他酶,C 无置信度记录,,
P03951,L2,101,5050,蛋白酶,A 实验结构,,
P03952,L2,130,6500,蛋白酶,A 实验结构,,
P04049,L1,17,850,激酶,A 实验结构,,
P04049,L2,656,32800,激酶,A 实验结构,,
P04150,L2,286,14300,核受体,A 实验结构,,
P04293,L2,355,17750,其他酶,A 实验结构,,
P04296,L4,190,9500,其他/未分类,C 预测·置信不足,0.833,0.596
P04585,L2,14,700,其他酶,A 实验结构,,
P04626,L1,96,4800,激酶,A 实验结构,,
P04626,L2,1004,50200,激酶,A 实验结构,,
P04629,L1,64,3200,激酶,A 实验结构,,
P04629,L2,598,29900,激酶,A 实验结构,,
P04798,L1,63,3150,P450,A 实验结构,,
P04798,L2,34,1700,P450,A 实验结构,,
P04818,L2,26,1300,其他酶,A 实验结构,,
P05067,L4,86,4300,其他/未分类,A 实验结构,,
P05089,L1,57,2850,其他酶,A 实验结构,,
P05089,L2,13,650,其他酶,A 实验结构,,
P05177,L1,42,2100,P450,A 实验结构,,
P05177,L2,36,1800,P450,A 实验结构,,
P05556,L3,27,1350,其他/未分类,A 实验结构,,
P05622,L3,378,18900,激酶,C 预测·置信不足,0.676,0.857
P05771,L1,11,550,激酶,A 实验结构,,
P05979,L1,30,1500,其他酶,A 实验结构,,
P05981,L2,14,700,蛋白酶,A 实验结构,,
P06213,L1,13,650,激酶,A 实验结构,,
P06239,L1,68,3400,激酶,A 实验结构,,
P06239,L2,715,35750,激酶,A 实验结构,,
P06241,L2,54,2700,激酶,A 实验结构,,
P06276,L1,49,2450,其他酶,A 实验结构,,
P06276,L2,139,6950,其他酶,A 实验结构,,
P06401,L2,20,1000,核受体,A 实验结构,,
P06493,L1,37,1850,激酶,A 实验结构,,
P06493,L2,186,9300,激酶,A 实验结构,,
P06730,L2,23,1150,其他/未分类,A 实验结构,,
P06802,L3,41,2050,其他酶,A 实验结构,,
P06935,L2,90,4500,其他酶,A 实验结构,,
P07333,L1,103,5150,激酶,A 实验结构,,
P07333,L2,773,38650,激酶,A 实验结构,,
P07550,L1,12,600,GPCR,A 实验结构,,
P07711,L1,41,2050,蛋白酶,A 实验结构,,
P07711,L2,113,5650,蛋白酶,A 实验结构,,
P07858,L2,29,1450,蛋白酶,A 实验结构,,
P07900,L1,29,1450,其他/未分类,A 实验结构,,
P07900,L2,35,1750,其他/未分类,A 实验结构,,
P07947,L1,44,2200,激酶,C 无置信度记录,,
P07948,L1,13,650,激酶,A 实验结构,,
P07948,L2,10,500,激酶,A 实验结构,,
P07949,L1,41,2050,激酶,A 实验结构,,
P07949,L2,263,13150,激酶,A 实验结构,,
P08069,L1,40,2000,激酶,A 实验结构,,
P08069,L2,359,17950,激酶,A 实验结构,,
P08172,L2,48,2400,GPCR,A 实验结构,,
P08173,L1,13,650,GPCR,A 实验结构,,
P08173,L2,78,3900,GPCR,A 实验结构,,
P08183,L2,26,1300,转运体,A 实验结构,,
P08238,L1,27,1350,其他/未分类,A 实验结构,,
P08238,L2,49,2450,其他/未分类,A 实验结构,,
P08246,L1,29,1450,蛋白酶,A 实验结构,,
P08246,L2,10,500,蛋白酶,A 实验结构,,
P08253,L1,14,700,蛋白酶,A 实验结构,,
P08253,L2,25,1250,蛋白酶,A 实验结构,,
P08254,L2,16,800,蛋白酶,A 实验结构,,
P08515,L3,23,1150,其他/未分类,A 实验结构,,
P08519,L3,75,3750,其他/未分类,A 实验结构,,
P08546,L4,82,4100,其他酶,C 预测·置信不足,0.425,0.739
P08581,L1,66,3300,激酶,A 实验结构,,
P08581,L2,831,41550,激酶,A 实验结构,,
P08648,L4,10,500,其他/未分类,C 预测·置信不足,0.826,0.482
P08684,L2,27,1350,P450,A 实验结构,,
P08908,L1,47,2350,GPCR,A 实验结构,,
P08908,L2,207,10350,GPCR,A 实验结构,,
P08912,L2,26,1300,GPCR,A 实验结构,,
P08913,L1,22,1100,GPCR,A 实验结构,,
P08922,L1,20,1000,激酶,A 实验结构,,
P08922,L2,51,2550,激酶,A 实验结构,,
P09237,L2,21,1050,蛋白酶,A 实验结构,,
P09238,L2,17,850,蛋白酶,A 实验结构,,
P09246,L4,80,4000,其他/未分类,C 无置信度记录,,
P09382,L2,505,25250,其他/未分类,A 实验结构,,
P09391,L4,11,550,其他酶,A 实验结构,,
P09487,L3,11,550,其他酶,B 预测·置信达标,0.925,0.877
P09619,L1,19,950,激酶,C 无置信度记录,,
P09619,L2,429,21450,激酶,C 无置信度记录,,
P09871,L4,421,21050,蛋白酶,A 实验结构,,
P09874,L1,160,8000,其他酶,A 实验结构,,
P09874,L2,922,46100,其他酶,A 实验结构,,
P09917,L2,14,700,其他酶,A 实验结构,,
P09936,L4,14,700,蛋白酶,A 实验结构,,
P09960,L2,15,750,蛋白酶,A 实验结构,,
P0A017,L2,20,1000,其他酶,A 实验结构,,
P0A0K8,L2,26,1300,其他酶,A 实验结构,,
P0A725,L2,22,1100,其他酶,A 实验结构,,
P0AES4,L4,133,6650,其他酶,A 实验结构,,
P0AES6,L2,25,1250,其他酶,A 实验结构,,
P0C1S7,L4,22,1100,其他酶,C 无置信度记录,,
P0C1U9,L4,22,1100,其他酶,C 无置信度记录,,
P0C6U8,L1,12,600,其他酶,A 实验结构,,
P0DMS8,L1,69,3450,GPCR,A 实验结构,,
P0DMS8,L2,50,2500,GPCR,A 实验结构,,
P0DTC1,L3,855,42750,其他/未分类,A 实验结构,,
P0DTD1,L1,420,21000,其他酶,A 实验结构,,
P0DTD1,L2,1923,96150,其他酶,A 实验结构,,
P0DUB6,L2,39,1950,其他酶,A 实验结构,,
P10275,L1,15,750,核受体,A 实验结构,,
P10275,L2,145,7250,核受体,A 实验结构,,
P10398,L2,103,5150,激酶,A 实验结构,,
P10415,L1,14,700,离子通道,A 实验结构,,
P10415,L2,1007,50350,离子通道,A 实验结构,,
P10636,L4,11,550,其他/未分类,A 实验结构,,
P10721,L1,39,1950,激酶,A 实验结构,,
P10721,L2,1122,56100,激酶,A 实验结构,,
P11166,L4,69,3450,转运体,A 实验结构,,
P11169,L4,13,650,转运体,A 实验结构,,
P11229,L2,24,1200,GPCR,A 实验结构,,
P11274,L4,20,1000,激酶,C 无置信度记录,,
P11275,L1,13,650,激酶,C 无置信度记录,,
P11309,L1,55,2750,激酶,A 实验结构,,
P11309,L2,66,3300,激酶,A 实验结构,,
P11362,L1,56,2800,激酶,A 实验结构,,
P11362,L2,501,25050,激酶,A 实验结构,,
P11474,L2,199,9950,核受体,A 实验结构,,
P11498,L3,23,1150,其他酶,A 实验结构,,
P11511,L1,14,700,P450,A 实验结构,,
P11511,L2,17,850,P450,A 实验结构,,
P11802,L1,71,3550,激酶,A 实验结构,,
P11802,L2,1402,70100,激酶,A 实验结构,,
P11926,L3,14,700,其他酶,A 实验结构,,
P12429,L4,34,1700,离子通道,C 无置信度记录,,
P12931,L1,91,4550,激酶,A 实验结构,,
P12931,L2,69,3450,激酶,A 实验结构,,
P12955,L4,13,650,蛋白酶,A 实验结构,,
P13569,L1,20,1000,离子通道,A 实验结构,,
P13569,L2,48,2400,离子通道,A 实验结构,,
P13612,L4,929,46450,其他/未分类,A 实验结构,,
P13866,L2,11,550,转运体,A 实验结构,,
P13995,L2,11,550,其他酶,A 实验结构,,
P14060,L4,74,3700,其他酶,B 预测·置信达标,0.936,0.935
P14207,L2,22,1100,其他/未分类,A 实验结构,,
P14324,L1,10,500,其他酶,A 实验结构,,
P14416,L4,320,16000,GPCR,A 实验结构,,
P14555,L2,15,750,其他酶,A 实验结构,,
P14618,L1,12,600,其他酶,A 实验结构,,
P14618,L2,40,2000,其他酶,A 实验结构,,
P14672,L4,39,1950,转运体,A 实验结构,,
P14679,L1,11,550,其他酶,C 无置信度记录,,
P14756,L2,71,3550,蛋白酶,A 实验结构,,
P14780,L2,32,1600,蛋白酶,A 实验结构,,
P14867,L1,45,2250,离子通道,A 实验结构,,
P14867,L2,124,6200,离子通道,A 实验结构,,
P14902,L1,50,2500,其他酶,A 实验结构,,
P14902,L2,35,1750,其他酶,A 实验结构,,
P14916,L4,11,550,其他酶,C 无置信度记录,,
P14920,L1,14,700,其他酶,A 实验结构,,
P15056,L1,58,2900,激酶,A 实验结构,,
P15056,L2,769,38450,激酶,A 实验结构,,
P15121,L1,18,900,其他酶,A 实验结构,,
P15428,L2,361,18050,其他酶,A 实验结构,,
P15538,L1,15,750,P450,A 实验结构,,
P15559,L2,84,4200,其他酶,A 实验结构,,
P15692,L4,59,2950,其他/未分类,C 预测·置信不足,0.500,0.393
P15823,L4,11,550,GPCR,C 预测·置信不足,0.637,0.968
P16050,L1,39,1950,其他酶,C 无置信度记录,,
P16050,L2,18,900,其他酶,C 无置信度记录,,
P16083,L1,16,800,其他酶,A 实验结构,,
P16101,L4,116,5800,其他/未分类,C 预测·置信不足,0.637,0.420
P16110,L1,13,650,其他/未分类,A 实验结构,,
P16234,L1,39,1950,激酶,A 实验结构,,
P16234,L2,396,19800,激酶,A 实验结构,,
P16406,L4,29,1450,其他酶,B 预测·置信达标,0.909,0.865
P16591,L2,14,700,激酶,C 无置信度记录,,
P16788,L4,454,22700,其他酶,C 预测·置信不足,0.650,0.925
P17252,L1,22,1100,激酶,A 实验结构,,
P17252,L2,30,1500,激酶,A 实验结构,,
P17516,L2,19,950,其他酶,A 实验结构,,
P17612,L2,15,750,激酶,A 实验结构,,
P17706,L1,17,850,其他酶,A 实验结构,,
P17706,L2,90,4500,其他酶,A 实验结构,,
P17787,L3,12,600,离子通道,A 实验结构,,
P17812,L2,272,13600,其他酶,A 实验结构,,
P17927,L4,69,3450,其他/未分类,C 预测·置信不足,0.806,0.481
P17931,L1,14,700,其他/未分类,A 实验结构,,
P17931,L2,899,44950,其他/未分类,A 实验结构,,
P17948,L4,94,4700,激酶,A 实验结构,,
P18031,L1,116,5800,其他酶,A 实验结构,,
P18031,L2,258,12900,其他酶,A 实验结构,,
P18054,L2,35,1750,其他酶,A 实验结构,,
P18089,L1,16,800,GPCR,A 实验结构,,
P18507,L3,13,650,离子通道,C 无置信度记录,,
P18510,L4,12,600,其他/未分类,B 预测·置信达标,0.791,0.826
P18564,L3,36,1800,其他/未分类,A 实验结构,,
P18825,L1,20,1000,GPCR,A 实验结构,,
P18825,L2,125,6250,GPCR,A 实验结构,,
P18848,L4,40,2000,其他/未分类,C 预测·置信不足,0.384,0.877
P19099,L1,17,850,P450,A 实验结构,,
P19099,L2,15,750,P450,A 实验结构,,
P19525,L4,181,9050,激酶,A 实验结构,,
P19634,L1,23,1150,转运体,A 实验结构,,
P19793,L1,16,800,核受体,A 实验结构,,
P20248,L4,45,2250,其他/未分类,C 无置信度记录,,
P20272,L1,11,550,GPCR,C 无置信度记录,,
P20309,L2,25,1250,GPCR,A 实验结构,,
P20618,L2,73,3650,蛋白酶,A 实验结构,,
P20648,L4,112,5600,转运体,B 预测·置信达标,0.835,0.747
P20831,L2,31,1550,其他酶,A 实验结构,,
P21397,L1,21,1050,其他酶,A 实验结构,,
P21397,L2,36,1800,其他酶,A 实验结构,,
P21554,L1,100,5000,GPCR,A 实验结构,,
P21554,L2,53,2650,GPCR,A 实验结构,,
P21589,L1,24,1200,其他酶,A 实验结构,,
P21589,L2,171,8550,其他酶,A 实验结构,,
P21728,L1,24,1200,GPCR,A 实验结构,,
P21728,L2,20,1000,GPCR,A 实验结构,,
P21802,L1,18,900,激酶,A 实验结构,,
P21802,L2,484,24200,激酶,A 实验结构,,
P21842,L4,49,2450,其他酶,B 预测·置信达标,0.931,0.983
P21917,L4,65,3250,GPCR,A 实验结构,,
P21918,L1,12,600,GPCR,A 实验结构,,
P21964,L1,30,1500,其他酶,A 实验结构,,
P22001,L4,351,17550,离子通道,C 预测·置信不足,0.649,0.655
P22303,L1,89,4450,其他酶,A 实验结构,,
P22303,L2,201,10050,其他酶,A 实验结构,,
P22413,L1,189,9450,其他酶,A 实验结构,,
P22413,L2,524,26200,其他酶,A 实验结构,,
P22455,L1,55,2750,激酶,A 实验结构,,
P22455,L2,116,5800,激酶,A 实验结构,,
P22518,L2,11,550,激酶,C 无置信度记录,,
P22607,L1,20,1000,激酶,A 实验结构,,
P22607,L2,384,19200,激酶,A 实验结构,,
P22629,L4,23,1150,其他/未分类,A 实验结构,,
P22681,L4,16,800,其他酶,C 预测·置信不足,0.523,0.680
P22748,L1,112,5600,其他酶,A 实验结构,,
P22748,L2,17,850,其他酶,A 实验结构,,
P22830,L4,17,850,其他酶,A 实验结构,,
P22894,L2,15,750,蛋白酶,A 实验结构,,
P23458,L1,197,9850,激酶,A 实验结构,,
P23458,L2,622,31100,激酶,A 实验结构,,
P23467,L1,17,850,其他酶,A 实验结构,,
P23467,L2,77,3850,其他酶,A 实验结构,,
P23743,L4,544,27200,其他酶,B 预测·置信达标,0.819,0.906
P23921,L2,10,500,其他酶,A 实验结构,,
P23944,L4,11,550,GPCR,C 无置信度记录,,
P23946,L2,71,3550,蛋白酶,A 实验结构,,
P23975,L2,18,900,转运体,A 实验结构,,
P23977,L2,20,1000,转运体,C 无置信度记录,,
P24385,L4,213,10650,其他/未分类,B 预测·置信达标,0.790,0.672
P24530,L4,10,500,GPCR,A 实验结构,,
P24863,L4,18,900,其他/未分类,B 预测·置信达标,0.847,0.821
P24864,L4,68,3400,其他/未分类,A 实验结构,,
P24941,L1,55,2750,激酶,A 实验结构,,
P24941,L2,1629,81450,激酶,A 实验结构,,
P25090,L3,12,600,GPCR,C 无置信度记录,,
P25101,L4,16,800,GPCR,A 实验结构,,
P25322,L4,31,1550,其他/未分类,B 预测·置信达标,0.787,0.662
P25440,L1,13,650,表观,A 实验结构,,
P25440,L2,32,1600,表观,A 实验结构,,
P25774,L1,13,650,蛋白酶,A 实验结构,,
P25774,L2,33,1650,蛋白酶,A 实验结构,,
P25779,L1,11,550,蛋白酶,A 实验结构,,
P25929,L4,102,5100,GPCR,A 实验结构,,
P26012,L4,25,1250,其他/未分类,B 预测·置信达标,0.741,0.717
P27338,L1,155,7750,其他酶,A 实验结构,,
P27338,L2,124,6200,其他酶,A 实验结构,,
P27487,L1,33,1650,蛋白酶,A 实验结构,,
P27487,L2,116,5800,蛋白酶,A 实验结构,,
P27986,L4,66,3300,其他酶,C 预测·置信不足,0.742,0.482
P28062,L1,14,700,蛋白酶,A 实验结构,,
P28062,L2,24,1200,蛋白酶,A 实验结构,,
P28065,L2,27,1350,蛋白酶,A 实验结构,,
P28074,L1,37,1850,蛋白酶,A 实验结构,,
P28074,L2,325,16250,蛋白酶,A 实验结构,,
P28221,L1,16,800,GPCR,A 实验结构,,
P28222,L1,15,750,GPCR,A 实验结构,,
P28223,L4,1200,60000,GPCR,A 实验结构,,
P28335,L1,80,4000,GPCR,A 实验结构,,
P28335,L2,296,14800,GPCR,A 实验结构,,
P28347,L3,238,11900,其他/未分类,A 实验结构,,
P28472,L4,12,600,离子通道,C 无置信度记录,,
P28482,L1,15,750,激酶,A 实验结构,,
P28482,L2,665,33250,激酶,A 实验结构,,
P28566,L1,10,500,GPCR,A 实验结构,,
P28647,L2,11,550,GPCR,C 无置信度记录,,
P28845,L2,15,750,其他酶,A 实验结构,,
P28907,L2,166,8300,其他酶,A 实验结构,,
P29274,L1,14,700,GPCR,A 实验结构,,
P29274,L2,777,38850,GPCR,A 实验结构,,
P29275,L2,358,17900,GPCR,A 实验结构,,
P29371,L4,26,1300,GPCR,C 预测·置信不足,0.696,0.973
P29375,L2,47,2350,表观,A 实验结构,,
P29466,L1,17,850,蛋白酶,A 实验结构,,
P29466,L2,21,1050,蛋白酶,A 实验结构,,
P29597,L1,187,9350,激酶,A 实验结构,,
P29597,L2,1372,68600,激酶,A 实验结构,,
P30281,L4,17,850,其他/未分类,C 无置信度记录,,
P30291,L1,30,1500,激酶,A 实验结构,,
P30291,L2,119,5950,激酶,A 实验结构,,
P30405,L3,78,3900,其他酶,A 实验结构,,
P30518,L3,38,1900,GPCR,A 实验结构,,
P30530,L1,50,2500,激酶,A 实验结构,,
P30530,L2,928,46400,激酶,A 实验结构,,
P30542,L1,20,1000,GPCR,A 实验结构,,
P30542,L2,114,5700,GPCR,A 实验结构,,
P30550,L4,13,650,GPCR,A 实验结构,,
P30559,L2,11,550,GPCR,A 实验结构,,
P30990,L4,76,3800,其他/未分类,C 预测·置信不足,0.456,0.829
P31153,L1,63,3150,其他酶,A 实验结构,,
P31153,L2,542,27100,其他酶,A 实验结构,,
P31350,L4,16,800,其他酶,B 预测·置信达标,0.780,0.835
P31391,L2,100,5000,GPCR,A 实验结构,,
P31639,L1,11,550,转运体,A 实验结构,,
P31639,L2,12,600,转运体,A 实验结构,,
P31644,L2,359,17950,离子通道,A 实验结构,,
P31645,L1,11,550,转运体,A 实验结构,,
P31645,L2,109,5450,转运体,A 实验结构,,
P31652,L2,49,2450,转运体,C 无置信度记录,,
P31749,L1,124,6200,激酶,A 实验结构,,
P31749,L2,213,10650,激酶,A 实验结构,,
P31751,L1,35,1750,激酶,A 实验结构,,
P31751,L2,118,5900,激酶,A 实验结构,,
P32245,L2,208,10400,GPCR,A 实验结构,,
P32297,L2,12,600,离子通道,A 实验结构,,
P33533,L2,27,1350,GPCR,C 无置信度记录,,
P33535,L2,42,2100,GPCR,C 无置信度记录,,
P33981,L1,29,1450,激酶,A 实验结构,,
P33981,L2,49,2450,激酶,A 实验结构,,
P34903,L2,65,3250,离子通道,C 无置信度记录,,
P34913,L1,124,6200,蛋白酶,A 实验结构,,
P34913,L2,62,3100,蛋白酶,A 实验结构,,
P34914,L1,99,4950,蛋白酶,A 实验结构,,
P34914,L2,198,9900,蛋白酶,A 实验结构,,
P34947,L2,44,2200,激酶,A 实验结构,,
P34969,L4,101,5050,GPCR,A 实验结构,,
P34972,L1,67,3350,GPCR,A 实验结构,,
P34972,L2,63,3150,GPCR,A 实验结构,,
P35218,L1,65,3250,其他酶,C 无置信度记录,,
P35218,L2,17,850,其他酶,C 无置信度记录,,
P35348,L4,15,750,GPCR,A 实验结构,,
P35354,L1,44,2200,其他酶,A 实验结构,,
P35354,L2,99,4950,其他酶,A 实验结构,,
P35367,L1,10,500,GPCR,A 实验结构,,
P35367,L2,34,1700,GPCR,A 实验结构,,
P35372,L1,28,1400,GPCR,A 实验结构,,
P35372,L2,197,9850,GPCR,A 实验结构,,
P35408,L2,48,2400,GPCR,A 实验结构,,
P35439,L1,11,550,离子通道,C 无置信度记录,,
P35462,L4,109,5450,GPCR,A 实验结构,,
P35869,L4,36,1800,其他/未分类,A 实验结构,,
P35916,L1,21,1050,激酶,C 无置信度记录,,
P35916,L2,71,3550,激酶,C 无置信度记录,,
P35968,L1,136,6800,激酶,A 实验结构,,
P35968,L2,927,46350,激酶,A 实验结构,,
P36222,L3,87,4350,其他/未分类,A 实验结构,,
P36544,L2,21,1050,离子通道,A 实验结构,,
P36776,L1,20,1000,其他酶,A 实验结构,,
P36776,L2,88,4400,其他酶,A 实验结构,,
P36888,L1,84,4200,激酶,A 实验结构,,
P36888,L2,506,25300,激酶,A 实验结构,,
P36897,L1,18,900,激酶,A 实验结构,,
P36897,L2,277,13850,激酶,A 实验结构,,
P37023,L2,16,800,激酶,A 实验结构,,
P37059,L4,47,2350,其他酶,B 预测·置信达标,0.877,0.685
P37231,L1,17,850,核受体,A 实验结构,,
P37288,L3,110,5500,GPCR,B 预测·置信达标,0.704,0.977
P37840,L4,115,5750,其他/未分类,A 实验结构,,
P38158,L4,11,550,其他酶,B 预测·置信达标,0.961,0.883
P39900,L2,83,4150,蛋白酶,A 实验结构,,
