uniprot,layers,best_train_hit,identity,qcov,tcov,alnlen,self_hit
P00338,L1|L2,V9HWB9,1.0000,1.000,1.000,332,1.000
P00352,L1,O94788,0.7320,0.984,0.952,493,1.000
P00491,L1,P55859,0.8800,0.983,0.983,284,1.000
P00519,L1|L2,P00520,0.8770,1.000,1.000,1130,1.000
P00533,L1|L2,Q01279,0.9030,1.000,1.000,1210,1.000
P00734,L1|L2,P00735,0.8100,0.998,0.998,624,1.000
P00742,L1|L2,O19045,0.7500,0.975,0.967,476,1.000
P00746,L2,Q92876,0.3900,0.980,0.984,248,1.000
P00748,L2,Q5SWW9,0.3450,0.701,0.907,431,1.000
P00751,L2,P04186,0.8410,0.993,0.997,759,1.000
P00797,L2,Q6DLS0,0.9920,1.000,1.000,406,1.000
P00915,L1|L2,P00917,0.8120,1.000,1.000,261,1.000
P00918,L1|L2,P00921,0.8120,0.985,0.985,256,1.000
P00956,L1,P41972,0.4270,0.983,0.990,922,1.000
P01111,L3,P01116,0.8680,1.000,1.000,189,0.000
P01116,L1|L2,P01112,0.8670,0.995,0.995,188,1.000
P01127,L4,,,,,,0.000
P01375,L2,,,,,,1.000
P01584,L4,,,,,,0.000
P02753,L2,P18902,0.9230,0.910,1.000,183,1.000
P03372,L1|L2,P19785,0.8890,1.000,1.000,599,1.000
P03421,L4,,,,,,0.000
P03468,L2,P03470,0.9400,1.000,1.000,454,1.000
P03951,L2,P03952,0.5850,0.998,0.983,627,1.000
P03952,L2,P03951,0.5850,0.983,0.998,627,1.000
P04049,L1|L2,P10398,0.6190,0.921,0.980,597,1.000
P04150,L2,P06536,0.8820,1.000,1.000,795,1.000
P04293,L2,P09252,0.5550,0.953,0.967,1177,1.000
P04296,L4,,,,,,0.000
P04585,L2,P0C6F2,0.9890,1.000,1.000,1435,1.000
P04626,L1|L2,P00533,0.5000,0.987,0.979,1239,1.000
P04629,L1|L2,Q16288,0.5150,0.920,0.909,763,1.000
P04798,L1|L2,P05177,0.7360,0.984,0.975,504,1.000
P04818,L2,Q53Y97,1.0000,1.000,1.000,313,1.000
P05067,L4,P12023,0.9660,1.000,1.000,770,1.000
P05089,L1|L2,Q2KJ64,0.9060,1.000,1.000,322,1.000
P05177,L1|L2,P04798,0.7320,0.981,0.990,507,1.000
P05556,L3,Q8R2H2,0.4410,0.971,0.967,775,0.000
P05622,L3,Q05030,0.9660,1.000,1.000,1098,0.000
P05771,L1,P68403,0.9880,1.000,1.000,671,1.000
P05979,L1,O62664,0.9760,1.000,1.000,600,1.000
P05981,L2,Q16651,0.4200,0.595,0.714,248,1.000
P06213,L1,P08069,0.5740,0.983,0.986,1359,1.000
P06239,L1|L2,P08631,0.7230,0.880,0.852,448,1.000
P06241,L2,Q3UKD6,0.7730,0.847,0.845,455,1.000
P06276,L1|L2,P81908,0.9070,0.949,0.995,571,1.000
P06401,L2,Q690N0,0.9520,0.514,0.996,480,1.000
P06493,L1|L2,P11440,0.9690,1.000,1.000,297,1.000
P06730,L2,P29338,0.9860,1.000,1.000,217,1.000
P06802,L3,P22413,0.7880,1.000,1.000,925,0.000
P06935,L2,Q9Q6P4,0.9370,1.000,1.000,3433,1.000
P07333,L1|L2,P10721,0.4180,0.937,0.939,916,1.000
P07550,L1,Q28044,0.8820,1.000,1.000,418,1.000
P07711,L1|L2,O60911,0.7750,1.000,1.000,334,1.000
P07858,L2,P07688,0.8350,0.988,1.000,335,1.000
P07900,L1|L2,Q2VPJ6,0.9960,0.799,1.000,585,1.000
P07947,L1,Q3UKD6,0.8370,0.838,0.850,455,1.000
P07948,L1|L2,P25911,0.9600,1.000,1.000,512,1.000
P07949,L1|L2,,,,,,1.000
P08069,L1|L2,P06213,0.5740,0.987,0.984,1360,1.000
P08172,L2,P10980,0.9630,1.000,1.000,466,1.000
P08173,L1|L2,P08485,0.9540,1.000,1.000,479,1.000
P08183,L2,P21447,0.8730,0.999,0.999,1279,1.000
P08238,L1|L2,P07900,0.8570,1.000,1.000,732,1.000
P08246,L1|L2,P00772,0.3920,0.820,0.898,239,1.000
P08253,L1|L2,P14780,0.4630,0.976,0.982,694,1.000
P08254,L2,P09238,0.7810,1.000,1.000,477,1.000
P08515,L3,P04905,0.4420,0.931,0.954,208,0.000
P08519,L3,,,,,,1.000
P08546,L4,P04293,0.3150,0.907,0.851,1126,0.000
P08581,L1|L2,A1L467,1.0000,1.000,1.000,1390,1.000
P08648,L4,P06756,0.4620,0.982,0.984,1031,1.000
P08684,L2,P11712,0.2840,0.903,0.924,454,1.000
P08908,L1|L2,P19327,0.8980,1.000,1.000,422,1.000
P08912,L2,P20309,0.5310,0.981,0.900,531,1.000
P08913,L1,Q28838,0.9160,1.000,1.000,468,1.000
P08922,L1|L2,,,,,,1.000
P09237,L2,P08254,0.4980,0.963,0.541,258,1.000
P09238,L2,P08254,0.7810,1.000,1.000,477,1.000
P09246,L4,,,,,,0.000
P09382,L2,P05162,0.4480,0.926,0.917,125,1.000
P09391,L4,,,,,,1.000
P09487,L3,P05186,0.9000,1.000,1.000,524,0.000
P09619,L1|L2,Q05030,0.8580,1.000,1.000,1106,1.000
P09871,L4,Q9Y5Y6,0.2550,0.730,0.598,511,0.000
P09874,L1|L2,P11103,0.9200,1.000,1.000,1014,1.000
P09917,L2,Q9BEG3,0.9300,0.638,1.000,430,1.000
P09936,L4,,,,,,0.000
P09960,L2,Q6IAT6,1.0000,1.000,1.000,611,1.000
P0A017,L2,Q81R22,0.4380,1.000,0.988,160,1.000
P0A0K8,L2,P66937,0.9980,1.000,1.000,644,1.000
P0A725,L2,D5CV28,1.0000,0.984,1.000,300,1.000
P0AES4,L4,P0AES5,1.0000,1.000,1.000,875,0.000
P0AES6,L2,P0AES7,1.0000,1.000,1.000,804,1.000
P0C1S7,L4,H7C794,0.7130,0.973,0.942,645,0.000
P0C1U9,L4,P20831,0.4080,0.936,0.849,755,0.000
P0C6U8,L1,A7J8L3,1.0000,1.000,1.000,4382,1.000
P0DMS8,L1|L2,P28647,0.7440,0.994,0.991,317,1.000
P0DTC1,L3,P0DTD1,1.0000,0.999,0.620,4401,0.000
P0DTD1,L1|L2,P0C6X7,0.8620,1.000,1.000,7096,1.000
P0DUB6,L2,P04746,0.9680,1.000,1.000,511,1.000
P10275,L1|L2,O97775,0.9860,1.000,1.000,920,1.000
P10398,L2,D7PBN4,0.7390,0.507,0.945,311,1.000
P10415,L1|L2,P10417,0.9030,1.000,1.000,239,1.000
P10636,L4,,,,,,1.000
P10721,L1|L2,P05532,0.8250,0.999,0.999,978,1.000
P11166,L4,P0AGF4,0.2880,0.904,0.933,458,0.000
P11169,L4,P0AGF4,0.3040,0.940,0.976,479,0.000
P11229,L2,P08482,0.9860,1.000,1.000,460,1.000
P11274,L4,,,,,,0.000
P11275,L1,Q9UQM7,0.9970,1.000,1.000,478,1.000
P11309,L1|L2,Q86V86,0.6920,0.987,0.960,313,1.000
P11362,L1|L2,P21802,0.7170,0.995,0.996,818,1.000
P11474,L2,P62508,0.6570,0.835,0.742,353,1.000
P11498,L3,W6G6F5,0.5020,0.969,0.994,1141,0.000
P11511,L1|L2,P15539,0.2460,0.706,0.730,365,1.000
P11802,L1|L2,Q00534,0.7100,0.967,0.893,293,1.000
P11926,L3,P09057,0.9150,1.000,1.000,461,1.000
P12429,L4,,,,,,0.000
P12931,L1|L2,Q9WUD9,0.9880,1.000,1.000,536,1.000
P12955,L4,P15034,0.3340,0.937,0.980,462,1.000
P13569,L1|L2,P26361,0.7840,1.000,1.000,1480,1.000
P13612,L4,P06756,0.2720,0.988,0.987,1034,1.000
P13866,L2,P53790,0.8780,1.000,1.000,665,1.000
P13995,L2,P24186,0.4770,0.831,0.958,291,1.000
P14060,L4,,,,,,0.000
P14207,L2,P15328,0.7420,0.969,0.965,248,1.000
P14324,L1,Q0GKD7,0.3860,0.737,0.903,327,1.000
P14416,L4,P22909,0.3590,0.907,0.867,403,0.000
P14555,L2,Q9NZK7,0.5600,0.868,0.873,125,1.000
P14618,L1|L2,P11980,0.9370,1.000,1.000,531,1.000
P14672,L4,P0AGF4,0.2750,0.929,0.967,475,0.000
P14679,L1,P11344,0.8570,1.000,1.000,533,1.000
P14756,L2,E3ULB4,1.0000,0.954,1.000,475,1.000
P14780,L2,P08253,0.4630,0.982,0.976,694,1.000
P14867,L1|L2,P62813,0.9840,1.000,1.000,456,1.000
P14902,L1|L2,P28776,0.6250,0.980,0.971,395,1.000
P14916,L4,,,,,,0.000
P14920,L1,P00371,0.8470,1.000,1.000,347,1.000
P15056,L1|L2,P28028,0.9310,0.993,0.968,761,1.000
P15121,L1,P80276,0.8670,1.000,1.000,316,1.000
P15428,L2,Q9BPX1,0.3310,0.714,0.693,190,1.000
P15538,L1,P19099,0.9320,1.000,1.000,503,1.000
P15559,L2,P16083,0.4840,0.807,0.957,221,1.000
P15692,L4,,,,,,1.000
P15823,L4,P26255,0.3930,0.654,0.873,349,0.000
P16050,L1|L2,P16469,0.8640,1.000,1.000,663,1.000
P16083,L1,P15559,0.4840,0.957,0.807,221,1.000
P16101,L4,,,,,,0.000
P16110,L1,P17931,0.7740,1.000,1.000,264,1.000
P16234,L1|L2,P09619,0.4580,0.924,0.906,1006,1.000
P16406,L4,Q07075,0.7780,0.999,0.996,953,0.000
P16591,L2,P07332,0.5070,0.998,0.998,820,1.000
P16788,L4,,,,,,0.000
P17252,L1|L2,P05696,0.9920,1.000,1.000,672,1.000
P17516,L2,P42330,0.8390,1.000,1.000,323,1.000
P17612,L2,P00517,0.9940,1.000,1.000,351,1.000
P17706,L1|L2,P18031,0.5370,0.986,0.993,432,1.000
P17787,L3,P12392,0.6340,0.912,0.937,464,0.000
P17812,L2,P0A7E5,0.4380,0.924,0.978,546,1.000
P17927,L4,,,,,,0.000
P17931,L1|L2,P16110,0.7740,1.000,1.000,264,1.000
P17948,L4,P35968,0.4520,0.960,0.954,1294,1.000
P18031,L1|L2,P35821,0.8330,0.993,1.000,432,1.000
P18054,L2,P16469,0.6560,1.000,1.000,663,1.000
P18089,L1,P19328,0.8420,1.000,0.989,450,1.000
P18507,L3,P48169,0.5180,0.724,0.630,349,0.000
P18510,L4,,,,,,0.000
P18564,L3,Q8R2H2,0.5000,0.956,0.961,756,0.000
P18825,L1|L2,Q28838,0.5610,0.868,0.878,411,1.000
P18848,L4,,,,,,0.000
P19099,L1|L2,P15538,0.9320,1.000,1.000,503,1.000
P19525,L4,Q6P0Y1,0.2760,0.519,0.606,286,0.000
P19634,L1,P26431,0.9320,1.000,1.000,820,1.000
P19793,L1,Q2NL52,1.0000,1.000,1.000,462,1.000
P20248,L4,,,,,,0.000
P20272,L1,P47746,0.9970,1.000,1.000,473,1.000
P20309,L2,P08912,0.5270,0.903,0.985,533,1.000
P20618,L2,P38624,0.2350,0.809,0.856,195,1.000
P20648,L4,P19156,0.9790,1.000,1.000,1035,0.000
P20831,L2,P0AES5,0.5070,0.906,0.954,835,1.000
P21397,L1|L2,P21398,0.8800,1.000,1.000,527,1.000
P21554,L1|L2,P20272,0.9720,1.000,1.000,473,1.000
P21589,L1|L2,P21588,0.8730,1.000,1.000,576,1.000
P21728,L1|L2,Q95136,0.9430,1.000,1.000,446,1.000
P21802,L1|L2,P11362,0.7170,0.996,0.995,818,1.000
P21842,L4,P23946,0.8230,0.980,0.988,244,0.000
P21917,L4,P08913,0.3710,0.871,0.843,392,0.000
P21918,L1,P18901,0.5840,0.918,0.948,438,1.000
P21964,L1,P22734,0.7910,0.956,0.977,259,1.000
P22001,L4,,,,,,0.000
P22303,L1|L2,P23795,0.9280,1.000,1.000,614,1.000
P22413,L1|L2,Q9R1E6,0.4580,0.884,0.934,818,1.000
P22455,L1|L2,Q03142,0.8970,1.000,1.000,802,1.000
P22518,L2,P49759,0.8980,0.996,0.996,482,1.000
P22607,L1|L2,P21802,0.6970,0.935,0.928,762,1.000
P22629,L4,B9A0T7,0.4880,0.716,0.908,131,1.000
P22681,L4,Q3TTA7,0.4940,0.962,0.964,947,1.000
P22748,L1|L2,Q95323,0.6900,1.000,1.000,312,1.000
P22830,L4,,,,,,0.000
P22894,L2,P03956,0.5790,0.981,0.985,462,1.000
P23458,L1|L2,Q59GQ2,1.0000,1.000,1.000,1154,1.000
P23467,L1|L2,Q3MIV7,1.0000,1.000,1.000,1997,1.000
P23743,L4,,,,,,0.000
P23921,L2,P21524,0.6700,0.958,0.858,762,1.000
P23944,L4,P26255,0.4090,0.553,0.780,312,0.000
P23946,L2,P10144,0.5410,0.964,0.968,239,1.000
P23975,L2,O55192,0.9430,1.000,1.000,617,1.000
P23977,L2,Q61327,0.9910,1.000,1.000,619,1.000
P24385,L4,Q01043,0.2570,0.810,0.925,239,0.000
P24530,L4,P41145,0.2820,0.692,0.768,306,0.000
P24863,L4,G3V5E1,0.3010,0.809,0.632,239,0.000
P24864,L4,,,,,,0.000
P24941,L1|L2,Q00526,0.7640,0.997,0.970,297,1.000
P25090,L3,P21462,0.6880,0.997,0.997,350,0.000
P25101,L4,B3DH72,0.2770,0.850,0.877,363,0.000
P25322,L4,Q01043,0.2530,0.810,0.925,239,0.000
P25440,L1|L2,Q658Y7,1.0000,1.000,1.000,801,1.000
P25774,L1|L2,Q02765,0.7690,0.937,0.942,311,1.000
P25779,L1,Q95PM0,0.6000,0.934,0.951,436,1.000
P25929,L4,P25103,0.2980,0.831,0.764,319,0.000
P26012,L4,Q8R2H2,0.3800,0.817,0.816,642,0.000
P27338,L1|L2,P56560,0.9150,1.000,1.000,520,1.000
P27487,L1|L2,Q53TN1,1.0000,1.000,1.000,766,1.000
P27986,L4,,,,,,1.000
P28062,L1|L2,P28063,0.8900,0.993,0.993,274,1.000
P28065,L2,P28076,0.8850,1.000,1.000,219,1.000
P28074,L1|L2,O55234,0.9450,0.985,0.981,259,1.000
P28221,L1,P28222,0.6700,0.902,0.877,342,1.000
P28222,L1,P28564,0.9300,0.997,0.997,389,1.000
P28223,L4,P08909,0.6230,0.732,0.763,351,0.000
P28335,L1|L2,P08909,0.9000,1.000,1.000,460,1.000
P28347,L3,Q15561,0.7540,0.988,0.972,422,0.000
P28472,L4,P47870,0.7380,1.000,1.000,512,0.000
P28482,L1|L2,P63086,0.9940,0.992,0.997,357,1.000
P28566,L1,P28221,0.4860,0.975,0.936,356,1.000
P28647,L2,Q61618,0.9210,1.000,1.000,320,1.000
P28845,L2,P50172,0.7860,0.997,0.997,291,1.000
P28907,L2,,,,,,1.000
P29274,L1|L2,P46616,0.8600,0.993,1.000,409,1.000
P29275,L2,P29274,0.6060,0.928,0.745,308,1.000
P29371,L4,P25103,0.6700,0.714,0.818,333,0.000
P29375,L2,P41229,0.5190,0.888,0.935,1500,1.000
P29466,L1|L2,P29452,0.6210,1.000,1.000,404,1.000
P29597,L1|L2,Q9R117,0.7970,0.991,0.986,1176,1.000
P30281,L4,Q01043,0.3280,0.668,0.764,195,0.000
P30291,L1|L2,P0C1S8,0.5080,0.738,0.825,477,1.000
P30405,L3,V9HWF5,0.7650,0.783,0.982,162,1.000
P30518,L3,P30559,0.4370,0.841,0.810,315,0.000
P30530,L1|L2,P55144,0.4480,0.905,0.891,809,1.000
P30542,L1|L2,P47745,0.9530,1.000,1.000,326,1.000
P30550,L4,P35377,0.2930,0.878,0.853,337,0.000
P30559,L2,P35346,0.3030,0.871,0.852,339,1.000
P30990,L4,,,,,,0.000
P31153,L1|L2,P18298,0.9840,1.000,1.000,395,1.000
P31350,L4,A3XHF9,0.1830,0.578,0.546,233,0.000
P31391,L2,P30872,0.6860,0.791,0.775,307,1.000
P31639,L1|L2,P53790,0.6060,0.972,0.967,653,1.000
P31644,L2,P47869,0.7700,0.903,0.922,417,1.000
P31645,L1|L2,Q60857,0.9250,1.000,1.000,630,1.000
P31652,L2,Q60857,0.9680,1.000,1.000,630,1.000
P31749,L1|L2,B2RAM5,1.0000,1.000,1.000,480,1.000
P31751,L1|L2,B2RAM5,0.8160,0.994,0.994,478,1.000
P32245,L2,P33032,0.6660,0.873,0.895,291,1.000
P32297,L2,Q15822,0.5790,0.931,0.890,471,1.000
P33533,L2,P32300,0.9700,1.000,1.000,372,1.000
P33535,L2,P42866,0.9770,1.000,1.000,398,1.000
P33981,L1|L2,,,,,,1.000
P34903,L2,P47869,0.7500,0.870,0.920,428,1.000
P34913,L1|L2,P34914,0.7300,1.000,1.000,555,1.000
P34914,L1|L2,P80299,0.9180,1.000,1.000,554,1.000
P34947,L2,P43249,0.9710,1.000,1.000,590,1.000
P34969,L4,P28221,0.3890,0.666,0.886,334,0.000
P34972,L1|L2,P47936,0.8270,0.964,1.000,347,1.000
P35218,L1|L2,Q9Y2D0,0.6410,0.915,0.880,279,1.000
P35348,L4,P26255,0.3940,0.642,0.767,307,0.000
P35354,L1|L2,Q8SPQ9,0.9000,1.000,1.000,604,1.000
P35367,L1|L2,P31390,0.7850,1.000,1.000,487,1.000
P35372,L1|L2,P79350,0.9450,1.000,1.000,401,1.000
P35408,L2,P32240,0.8770,1.000,0.951,488,1.000
P35439,L1,Q05586,0.9920,1.000,1.000,938,1.000
P35462,L4,P26255,0.3480,0.915,0.800,366,0.000
P35869,L4,,,,,,0.000
P35916,L1|L2,P35968,0.4470,0.957,0.951,1305,1.000
P35968,L1|L2,P35918,0.8570,1.000,1.000,1356,1.000
P36222,L3,Q13231,0.5310,0.974,0.811,378,0.000
P36544,L2,Q05941,0.9390,0.990,0.990,497,1.000
P36776,L1|L2,,,,,,1.000
P36888,L1|L2,P07333,0.3710,0.709,0.742,721,1.000
P36897,L1|L2,Q64729,0.9560,1.000,1.000,503,1.000
P37023,L2,Q61288,0.8860,0.998,0.998,502,1.000
P37059,L4,Q9BPX1,0.3040,0.509,0.689,197,0.000
P37231,L1,Q86U60,1.0000,1.000,1.000,505,1.000
P37288,L3,P30559,0.5370,0.789,0.833,330,0.000
P37840,L4,,,,,,0.000
P38158,L4,P07265,0.9960,1.000,1.000,584,0.000
P39900,L2,P34960,0.6190,1.000,0.977,470,1.000
P40261,L2,F7ERX8,0.9690,1.000,1.000,264,1.000
P40337,L2,,,,,,1.000
P40763,L2,,,,,,1.000
P40879,L3,Q9WVC8,0.8020,1.000,1.000,764,0.000
P41143,L1|L2,P33533,0.9350,1.000,1.000,372,1.000
P41144,L2,P41145,0.9470,0.958,0.958,364,1.000
P41145,L1|L2,P41144,0.9470,0.958,0.958,364,1.000
P41146,L2,C8TP59,0.9790,0.778,1.000,288,1.000
P41149,L3,P33032,0.8180,0.982,0.982,319,0.000
P41182,L1|L2,,,,,,1.000
P41235,L4,P49743,0.4280,0.688,0.714,327,0.000
P41240,L1|L2,Q61258,0.4450,0.564,0.934,255,1.000
P41594,L2,P31424,0.9520,1.000,1.000,1212,1.000
P41595,L1|L2,P28335,0.5140,0.726,0.738,349,1.000
P42226,L4,P40763,0.2720,0.746,0.896,690,0.000
P42330,L1|L2,Q04828,0.8790,1.000,1.000,323,1.000
P42336,L1|L2,P32871,0.9980,1.000,1.000,1068,1.000
P42338,L1|L2,Q9Z1L0,0.9580,1.000,1.000,1070,1.000
P42345,L1|L2,Q9JLN9,0.9890,1.000,1.000,2549,1.000
P43116,L2,Q62053,0.8690,1.000,0.989,358,1.000
P43140,L4,P26255,0.3900,0.642,0.767,307,0.000
P43166,L1|L2,P00918,0.5630,0.981,0.992,259,1.000
P43220,L3,P32301,0.9070,1.000,1.000,463,1.000
P43235,L2,P61277,0.9840,1.000,1.000,329,1.000
P43250,L3,P34947,0.7220,0.970,0.946,559,1.000
P43251,L4,O95497,0.4300,0.929,0.895,486,0.000
P43341,L4,,,,,,0.000
P43354,L4,P22736,0.5380,1.000,1.000,598,0.000
P43405,L1|L2,P43403,0.5410,0.992,0.973,630,1.000
P43490,L1|L2,Q99KQ4,0.9570,1.000,1.000,491,1.000
P43681,L2,O70174,0.8440,1.000,1.000,629,1.000
P45452,L2,O77656,0.8980,1.000,1.000,471,1.000
P45983,L1|L2,Q91Y86,1.0000,0.888,0.987,379,1.000
P45984,L1|L2,P53779,0.8400,1.000,0.918,426,1.000
P46976,L4,,,,,,0.000
P47205,L2,A1JJJ9,0.5900,0.987,0.965,300,1.000
P47746,L1,P20272,0.9970,1.000,1.000,473,1.000
P47869,L2,P23576,0.9710,1.000,1.000,451,1.000
P47989,L1|L2,P80457,0.8960,1.000,1.000,1333,1.000
P48025,L4,P43405,0.9210,1.000,1.000,635,0.000
P48039,L1|L2,P49286,0.6110,0.957,0.903,335,1.000
P48048,L4,,,,,,0.000
P48549,L4,,,,,,0.000
P48729,L2,P49674,0.7570,0.881,0.714,297,1.000
P48730,L2,Q06486,0.9970,1.000,1.000,415,1.000
P48735,L1|L2,O75874,0.6990,0.889,0.971,402,1.000
P48736,L1|L2,Q9Z1L0,0.3620,0.801,0.821,883,1.000
P49137,L1|L2,Q16644,0.7550,0.837,0.874,335,1.000
P49238,L4,P41597,0.4650,0.851,0.805,302,0.000
P49286,L1|L2,P48039,0.6530,0.837,0.866,303,1.000
P49327,L1|L2,,,,,,1.000
P49336,L2,Q9BWU1,0.7740,1.000,1.000,502,1.000
P49674,L2,Q06486,0.8520,0.976,0.961,406,1.000
P49721,L4,P28063,0.2540,0.756,0.533,152,0.000
P49759,L1|L2,P22518,0.8980,0.996,0.996,482,1.000
P49760,L1|L2,P49761,0.6320,0.878,0.900,441,1.000
P49761,L2,Q9HAZ1,0.6230,0.737,0.751,361,1.000
P49840,L1|L2,Q9WV60,0.8510,0.737,0.848,356,1.000
P49841,L1|L2,Q9WV60,0.9900,1.000,1.000,420,1.000
P49959,L4,,,,,,0.000
P50052,L4,P32745,0.3380,0.846,0.734,307,1.000
P50053,L1|L2,P50053-2KETOHEXOKINASE,1.0000,0.987,0.939,294,1.000
P50406,L1|L2,P34971,0.3790,0.832,0.809,377,1.000
P50613,L1|L2,Q00526,0.4610,0.853,0.961,295,1.000
P50750,L1|L2,P06493,0.4130,0.798,0.956,297,1.000
P51449,L1|L2,P51450,0.8880,1.000,1.000,518,1.000
P51451,L1,P16277,0.8610,1.000,1.000,505,1.000
P51531,L1|L2,P51532,0.7350,0.997,0.998,1644,1.000
P51532,L1|L2,P51531,0.7370,0.998,0.997,1644,1.000
P51617,L1|L2,,,,,,1.000
P51684,L3,P51686,0.3930,0.866,0.854,324,0.000
P51812,L1,P18654,0.9980,1.000,1.000,740,1.000
P51813,L1|L2,P42681,0.5620,0.566,0.725,382,1.000
P51946,L4,,,,,,0.000
P51955,L1,Q00534,0.3300,0.501,0.678,223,1.000
