layer,uniprot,in_P_structure_half,in_L_affinity_half,plain_self_hit,plain_identity,plain_best_train_hit,plain_bin,union_self_hit,union_identity,union_bin
L2,O43614,1,1,1.0,0.9430,P56719,>=60%,1.0,0.9430,>=60%
L2,P08173,0,1,1.0,0.9540,P08485,>=60%,1.0,0.9540,>=60%
L2,P08908,0,1,1.0,0.8980,P19327,>=60%,1.0,0.8980,>=60%
L2,P0DMS8,0,1,1.0,0.7440,P28647,>=60%,1.0,0.7440,>=60%
L2,P18825,0,1,1.0,0.5610,Q28838,20-60%,1.0,0.5610,20-60%
L2,P21554,0,1,1.0,0.9720,P20272,>=60%,1.0,0.9720,>=60%
L2,P28335,1,1,1.0,0.9000,P08909,>=60%,1.0,0.9000,>=60%
L2,P29274,1,1,1.0,0.8600,P46616,>=60%,1.0,0.8600,>=60%
L2,P29275,0,1,1.0,0.6060,P29274,>=60%,1.0,0.6060,>=60%
L2,P30542,0,1,1.0,0.9530,P47745,>=60%,1.0,0.9530,>=60%
L2,P31391,0,1,1.0,0.6860,P30872,>=60%,1.0,0.6860,>=60%
L2,P32245,0,1,1.0,0.6660,P33032,>=60%,1.0,0.6660,>=60%
L2,P34972,0,1,1.0,0.8270,P47936,>=60%,1.0,0.8270,>=60%
L2,P35372,0,1,1.0,0.9450,P79350,>=60%,1.0,0.9450,>=60%
L2,P41143,0,1,1.0,0.9350,P33533,>=60%,1.0,0.9350,>=60%
L2,P41145,1,1,1.0,0.9470,P41144,>=60%,1.0,0.9470,>=60%
L2,P41146,0,1,1.0,0.9400,P47748,>=60%,1.0,0.9790,>=60%
L2,P50406,0,1,1.0,0.3790,P34971,20-60%,1.0,0.3790,20-60%
L2,P61073,1,1,1.0,0.9140,O08565,>=60%,1.0,0.9140,>=60%
L2,Q14833,0,1,1.0,0.9710,P31423,>=60%,1.0,0.9710,>=60%
L2,Q92633,0,1,1.0,0.5730,Q9HBW0,20-60%,1.0,0.5730,20-60%
L2,Q9H3N8,0,1,1.0,0.6930,Q91ZY1,>=60%,1.0,0.6930,>=60%
L2,Q14145,1,1,1.0,,,no_hit,1.0,0.9400,>=60%
L2,Q16552,1,1,1.0,,,no_hit,1.0,,no_hit
L2,Q86WV6,1,1,1.0,0.6900,Q3TBT3,>=60%,1.0,0.6900,>=60%
L2,Q8R4B8,0,1,1.0,0.8270,Q96P20,>=60%,1.0,0.8270,>=60%
L2,Q99814,1,1,1.0,,,no_hit,1.0,0.4330,20-60%
L2,O14684,1,1,1.0,,,no_hit,1.0,,no_hit
L2,O43570,1,1,1.0,0.4340,Q9ULX7,20-60%,1.0,0.4340,20-60%
L2,O60502,1,1,1.0,0.9730,Q8VIJ5,>=60%,1.0,0.9730,>=60%
L2,O95497,0,1,1.0,0.7630,Q9Z0K8,>=60%,1.0,0.7630,>=60%
L2,P01116,1,1,1.0,0.3710,Q15382,20-60%,1.0,0.8670,>=60%
L2,P04293,0,1,1.0,0.5550,P09252,20-60%,1.0,0.5550,20-60%
L2,P06276,1,1,1.0,0.9070,P81908,>=60%,1.0,0.9070,>=60%
L2,P15428,0,1,1.0,0.3310,Q9BPX1,20-60%,1.0,0.3310,20-60%
L2,P22413,0,1,1.0,0.4580,Q9R1E6,20-60%,1.0,0.4580,20-60%
L2,P27338,1,1,1.0,0.9150,P56560,>=60%,1.0,0.9150,>=60%
L2,P42330,0,1,1.0,0.8790,Q04828,>=60%,1.0,0.8790,>=60%
L2,P43490,1,1,1.0,0.9570,Q99KQ4,>=60%,1.0,0.9570,>=60%
L2,P47205,1,1,1.0,0.5790,P0A725,20-60%,1.0,0.5900,20-60%
L2,P50053,1,1,1.0,,,no_hit,1.0,1.0000,>=60%
L2,P53396,1,1,1.0,0.9750,P16638,>=60%,1.0,0.9750,>=60%
L2,Q06124,1,1,1.0,,,no_hit,1.0,,no_hit
L2,Q13489,0,1,1.0,0.7290,Q13490,>=60%,1.0,0.7290,>=60%
L2,Q15125,0,1,1.0,,,no_hit,1.0,,no_hit
L2,Q16769,1,1,1.0,0.8230,Q9CYK2,>=60%,1.0,0.8230,>=60%
L2,Q32ZE1,1,1,1.0,0.5750,P06935,20-60%,1.0,0.9790,>=60%
L2,Q6ZQW0,0,1,1.0,0.7260,Q8R0V5,>=60%,1.0,0.7260,>=60%
L2,Q72547,1,1,1.0,0.6180,P88142,>=60%,1.0,0.9640,>=60%
L2,Q86W56,1,1,1.0,0.9040,O02776,>=60%,1.0,0.9040,>=60%
L2,Q8N884,1,1,1.0,0.5590,Q8C6L5,20-60%,1.0,0.5590,20-60%
L2,Q8NEB9,1,1,1.0,0.2400,P32871,20-60%,1.0,0.5520,20-60%
L2,Q9UGN5,1,1,1.0,0.8390,O88554,>=60%,1.0,0.8390,>=60%
L2,Q9Y251,0,1,1.0,,,no_hit,1.0,,no_hit
L2,P03372,1,1,1.0,0.8890,P19785,>=60%,1.0,0.8890,>=60%
L2,P04150,1,1,1.0,0.8820,P06536,>=60%,1.0,0.8820,>=60%
L2,P10275,1,1,1.0,0.8440,P15207,>=60%,1.0,0.9860,>=60%
L2,P11474,1,1,1.0,0.6570,P62508,>=60%,1.0,0.6570,>=60%
L2,Q96RI1,1,1,1.0,0.3850,Q13133,20-60%,1.0,1.0000,>=60%
L2,O14757,1,1,1.0,0.3400,Q14012,20-60%,1.0,0.3610,20-60%
L2,O75116,1,1,1.0,0.6580,Q13464,>=60%,1.0,0.6580,>=60%
L2,O75385,1,1,1.0,0.5180,Q8IYT8,20-60%,1.0,0.5180,20-60%
L2,O95819,1,1,1.0,0.6460,Q9UKE5,>=60%,1.0,0.6460,>=60%
L2,O96017,1,1,1.0,0.4470,Q96NX5,20-60%,1.0,1.0000,>=60%
L2,P00519,1,1,1.0,0.8770,P00520,>=60%,1.0,0.8770,>=60%
L2,P00533,1,1,1.0,0.9030,Q01279,>=60%,1.0,0.9030,>=60%
L2,P04049,0,1,1.0,0.6190,P10398,>=60%,1.0,0.6190,>=60%
L2,P04626,1,1,1.0,0.5000,P00533,20-60%,1.0,0.5000,20-60%
L2,P06239,1,1,1.0,0.7230,P08631,>=60%,1.0,0.7230,>=60%
L2,P06241,1,1,1.0,0.7590,P00523,>=60%,1.0,0.7730,>=60%
L2,P07333,1,1,1.0,0.4180,P10721,20-60%,1.0,0.4180,20-60%
L2,P07949,1,1,1.0,,,no_hit,1.0,,no_hit
L2,P08069,1,1,1.0,0.5740,P06213,20-60%,1.0,0.5740,20-60%
L2,P08581,1,1,1.0,,,no_hit,1.0,1.0000,>=60%
L2,P08922,1,1,1.0,,,no_hit,1.0,,no_hit
L2,P09619,0,1,1.0,0.8580,Q05030,>=60%,1.0,0.8580,>=60%
L2,P10398,0,1,1.0,0.6190,P04049,>=60%,1.0,0.7390,>=60%
L2,P11309,1,1,1.0,0.6920,Q86V86,>=60%,1.0,0.6920,>=60%
L2,P11362,1,1,1.0,0.7170,P21802,>=60%,1.0,0.7170,>=60%
L2,P11802,0,1,1.0,0.7100,Q00534,>=60%,1.0,0.7100,>=60%
L2,P21802,1,1,1.0,0.7170,P11362,>=60%,1.0,0.7170,>=60%
L2,P22455,1,1,1.0,0.8970,Q03142,>=60%,1.0,0.8970,>=60%
L2,P22607,0,1,1.0,0.6970,P21802,>=60%,1.0,0.6970,>=60%
L2,P23458,1,1,1.0,0.4690,P29597,20-60%,1.0,1.0000,>=60%
L2,P24941,1,1,1.0,0.7640,Q00526,>=60%,1.0,0.7640,>=60%
L2,P28482,1,1,1.0,0.9940,P63086,>=60%,1.0,0.9940,>=60%
L2,P29597,1,1,1.0,0.7970,Q9R117,>=60%,1.0,0.7970,>=60%
L2,P30530,1,1,1.0,0.4440,Q12866,20-60%,1.0,0.4480,20-60%
L2,P31749,1,1,1.0,0.8270,Q9Y243,>=60%,1.0,1.0000,>=60%
L2,P31751,1,1,1.0,0.8160,P31749,>=60%,1.0,0.8160,>=60%
L2,P35916,0,1,1.0,0.4470,P35968,20-60%,1.0,0.4470,20-60%
L2,P35968,1,1,1.0,0.8570,P35918,>=60%,1.0,0.8570,>=60%
L2,P36888,0,1,1.0,0.3710,P07333,20-60%,1.0,0.3710,20-60%
L2,P41240,0,1,1.0,0.4140,P00521,20-60%,1.0,0.4450,20-60%
L2,P42345,0,1,1.0,0.9890,Q9JLN9,>=60%,1.0,0.9890,>=60%
L2,P43405,1,1,1.0,0.5410,P43403,20-60%,1.0,0.5410,20-60%
L2,P48729,1,1,1.0,0.7570,P49674,>=60%,1.0,0.7570,>=60%
L2,P48730,1,1,1.0,0.9970,Q06486,>=60%,1.0,0.9970,>=60%
L2,P49759,1,1,1.0,0.8980,P22518,>=60%,1.0,0.8980,>=60%
L2,P49760,1,1,1.0,0.6320,P49761,>=60%,1.0,0.6320,>=60%
L2,P49841,1,1,1.0,0.9900,Q9WV60,>=60%,1.0,0.9900,>=60%
L2,P50750,1,1,1.0,0.4130,P06493,20-60%,1.0,0.4130,20-60%
L2,P53350,1,1,1.0,0.4140,Q9H4B4,20-60%,1.0,0.9500,>=60%
L2,P53667,0,1,1.0,0.5460,P53671,20-60%,1.0,0.5460,20-60%
L2,P53671,1,1,1.0,0.5460,P53667,20-60%,1.0,0.5460,20-60%
L2,P53779,1,1,1.0,0.9910,P49187,>=60%,1.0,0.9910,>=60%
L2,P78527,0,1,1.0,,,no_hit,1.0,,no_hit
L2,P80192,1,1,1.0,,,no_hit,1.0,,no_hit
L2,Q00534,1,1,1.0,0.7020,P11802,>=60%,1.0,0.7020,>=60%
L2,Q06187,1,1,1.0,0.9830,P35991,>=60%,1.0,0.9860,>=60%
L2,Q13315,0,1,1.0,,,no_hit,1.0,,no_hit
L2,Q13464,1,1,1.0,0.6580,O75116,>=60%,1.0,0.6580,>=60%
L2,Q13546,1,1,1.0,,,no_hit,1.0,,no_hit
L2,Q15119,1,1,1.0,0.6950,Q15118,>=60%,1.0,0.6950,>=60%
L2,Q16288,1,1,1.0,0.5390,Q16620,20-60%,1.0,0.5390,20-60%
L2,Q16584,0,1,1.0,,,no_hit,1.0,,no_hit
L2,Q16620,1,1,1.0,0.5390,Q16288,20-60%,1.0,0.5390,20-60%
L2,Q5S007,0,1,1.0,0.8650,Q5S006,>=60%,1.0,0.8650,>=60%
L2,Q8IVH8,1,1,1.0,0.5230,Q12851,20-60%,1.0,0.5230,20-60%
L2,Q99640,1,1,1.0,0.2950,Q9JI10,20-60%,1.0,0.2950,20-60%
L2,Q99683,1,1,1.0,0.5830,Q6ZN16,20-60%,1.0,0.5830,20-60%
L2,Q9HAZ1,1,1,1.0,0.7910,P49759,>=60%,1.0,0.7910,>=60%
L2,Q9HBH9,1,1,1.0,0.6580,Q9BUB5,>=60%,1.0,0.7240,>=60%
L2,Q9NSY1,1,1,1.0,,,no_hit,1.0,,no_hit
L2,Q9NWZ3,1,1,1.0,0.3230,P51617,20-60%,1.0,0.3230,20-60%
L2,Q9NYV4,1,1,1.0,0.4820,Q14004,20-60%,1.0,0.4820,20-60%
L2,Q9P2K8,0,1,1.0,,,no_hit,1.0,,no_hit
L2,P10415,1,1,1.0,0.9030,P10417,>=60%,1.0,0.9030,>=60%
L2,P47869,0,1,1.0,0.9710,P23576,>=60%,1.0,0.9710,>=60%
L2,P62813,0,1,1.0,0.9840,P14867,>=60%,1.0,0.9840,>=60%
L2,Q07817,1,1,1.0,0.9780,Q64373,>=60%,1.0,0.9780,>=60%
L2,Q15858,0,1,1.0,0.9310,O08562,>=60%,1.0,0.9310,>=60%
L2,Q9Y5Y9,0,1,1.0,0.8290,Q62968,>=60%,1.0,0.8290,>=60%
L2,O75173,1,1,1.0,0.5030,Q9UHI8,20-60%,1.0,0.5030,20-60%
L2,P00734,1,1,1.0,0.8100,P00735,>=60%,1.0,0.8100,>=60%
L2,P00742,1,1,1.0,0.7500,O19045,>=60%,1.0,0.7500,>=60%
L2,P00746,1,1,1.0,0.3900,Q92876,20-60%,1.0,0.3900,20-60%
L2,P00751,0,1,1.0,0.8410,P04186,>=60%,1.0,0.8410,>=60%
L2,P03951,1,1,1.0,0.5850,P03952,20-60%,1.0,0.5850,20-60%
L2,P03952,1,1,1.0,0.5850,P03951,20-60%,1.0,0.5850,20-60%
L2,P07711,1,1,1.0,0.7750,O60911,>=60%,1.0,0.7750,>=60%
L2,P14756,0,1,1.0,0.2860,P00800,20-60%,1.0,1.0000,>=60%
L2,P20618,0,1,1.0,0.2350,P38624,20-60%,1.0,0.2350,20-60%
L2,P23946,1,1,1.0,0.5320,P08311,20-60%,1.0,0.5410,20-60%
L2,P27487,1,1,1.0,0.8470,P14740,>=60%,1.0,1.0000,>=60%
L2,P28074,0,1,1.0,0.9450,O55234,>=60%,1.0,0.9450,>=60%
L2,P34913,1,1,1.0,0.7300,P34914,>=60%,1.0,0.7300,>=60%
L2,P34914,1,1,1.0,0.9180,P80299,>=60%,1.0,0.9180,>=60%
L2,P39900,1,1,1.0,0.6190,P34960,>=60%,1.0,0.6190,>=60%
L2,P53634,1,1,1.0,0.3520,Q02765,20-60%,1.0,0.3520,20-60%
L2,P56817,1,1,1.0,0.9640,P56818,>=60%,1.0,0.9640,>=60%
L2,Q04609,1,1,1.0,0.8480,P70627,>=60%,1.0,0.8480,>=60%
L2,Q12884,0,1,1.0,0.9390,A5D7B7,>=60%,1.0,0.9390,>=60%
L2,Q6V1X1,0,1,1.0,0.6150,Q86TI2,>=60%,1.0,0.6150,>=60%
L2,Q86TI2,0,1,1.0,0.6150,Q6V1X1,>=60%,1.0,0.6150,>=60%
L2,Q93009,1,1,1.0,,,no_hit,1.0,,no_hit
L2,Q9UNA0,1,1,1.0,0.4420,Q9UHI8,20-60%,1.0,0.4420,20-60%
L2,Q9Y5Z0,1,1,1.0,0.8890,Q6IE75,>=60%,1.0,0.8890,>=60%
L2,O14744,1,1,1.0,,,no_hit,1.0,,no_hit
L2,O15379,0,1,1.0,0.6230,Q13547,>=60%,1.0,0.6230,>=60%
L2,O60341,1,1,1.0,0.2420,O64411,20-60%,1.0,0.2420,20-60%
L2,O60885,1,1,1.0,0.5590,P25440,20-60%,1.0,0.9310,>=60%
L2,O96028,0,1,1.0,,,no_hit,1.0,0.4720,20-60%
L2,P51531,0,1,1.0,0.7350,P51532,>=60%,1.0,0.7350,>=60%
L2,P51532,0,1,1.0,0.7370,P51531,>=60%,1.0,0.7370,>=60%
L2,P61964,1,1,1.0,0.2320,O75530,20-60%,1.0,1.0000,>=60%
L2,Q03111,1,1,1.0,,,no_hit,1.0,0.5420,20-60%
L2,Q09472,1,1,1.0,0.6050,Q92793,>=60%,1.0,0.6050,>=60%
L2,Q13547,0,1,1.0,0.9930,O09106,>=60%,1.0,0.9930,>=60%
L2,Q15910,1,1,1.0,,,no_hit,1.0,0.9520,>=60%
L2,Q92769,1,1,1.0,0.8610,O09106,>=60%,1.0,0.8610,>=60%
L2,Q92793,1,1,1.0,0.6050,Q09472,>=60%,1.0,0.9520,>=60%
L2,Q92993,0,1,1.0,,,no_hit,1.0,,no_hit
L2,Q9BY41,1,1,1.0,0.4340,Q92769,20-60%,1.0,0.4340,20-60%
L2,Q9H8M2,1,1,1.0,0.3560,Q9NPI1,20-60%,1.0,1.0000,>=60%
L2,Q9UBN7,0,1,1.0,0.7470,Q9Z2V5,>=60%,1.0,0.7470,>=60%
L2,P31645,1,1,1.0,0.9250,Q60857,>=60%,1.0,0.9250,>=60%
L3,P37288,0,0,0.0,0.5370,P30559,20-60%,0.0,0.5370,20-60%
L3,P43220,1,0,0.0,0.9070,P32301,>=60%,1.0,0.9070,>=60%
L3,Q96LB1,0,0,0.0,0.6470,Q96LB2,>=60%,0.0,0.6470,>=60%
L3,P08519,1,0,0.0,,,no_hit,1.0,,no_hit
L3,P0DTC1,0,0,0.0,1.0000,P0DTD1,>=60%,0.0,1.0000,>=60%
L3,P28347,0,0,0.0,0.7540,Q15561,>=60%,0.0,0.7540,>=60%
L3,Q15562,1,0,0.0,0.6650,Q15561,>=60%,1.0,0.6650,>=60%
L3,Q99594,0,0,0.0,0.6990,Q15561,>=60%,0.0,0.6990,>=60%
L3,C7FF05,0,0,0.0,0.6350,O42713,>=60%,0.0,0.6350,>=60%
L3,O14638,0,0,0.0,0.5290,P22413,20-60%,0.0,0.5290,20-60%
L3,P01111,0,0,0.0,0.8680,P01116,>=60%,0.0,0.8680,>=60%
L3,P30405,1,0,0.0,0.7650,P62937,>=60%,1.0,0.7650,>=60%
L3,P56528,0,0,0.0,0.5900,P28907,20-60%,0.0,0.5900,20-60%
L3,Q9NP56,0,0,0.0,0.6280,Q13946,>=60%,0.0,0.6280,>=60%
L3,O94921,0,0,0.0,0.6010,Q00536,>=60%,0.0,0.6010,>=60%
L3,P05622,0,0,0.0,0.9660,Q05030,>=60%,0.0,0.9660,>=60%
L3,Q15878,0,0,0.0,0.5570,Q00975,20-60%,0.0,0.5570,20-60%
L3,P97821,0,0,0.0,0.7770,P53634,>=60%,0.0,0.7770,>=60%
L3,Q92830,0,0,0.0,0.7280,Q92831,>=60%,0.0,0.7380,>=60%
L4,O88634,0,0,0.0,0.3260,P31391,20-60%,0.0,0.7550,>=60%
L4,P14416,0,0,0.0,0.3590,P22909,20-60%,0.0,0.3590,20-60%
L4,P21917,0,0,0.0,0.3710,P08913,20-60%,0.0,0.3710,20-60%
L4,P25929,0,0,0.0,0.2930,P32300,20-60%,0.0,0.2980,20-60%
L4,P28223,0,0,0.0,0.6230,P08909,>=60%,0.0,0.6230,>=60%
L4,P34969,0,0,0.0,0.3890,P28221,20-60%,0.0,0.3890,20-60%
L4,P35462,0,0,0.0,0.3480,P26255,20-60%,0.0,0.3480,20-60%
L4,P50052,1,0,0.0,0.3380,P32745,20-60%,1.0,0.3380,20-60%
L4,J9SQF3,0,0,0.0,0.3220,O94759,20-60%,0.0,0.3220,20-60%
L4,P09246,0,0,0.0,,,no_hit,0.0,,no_hit
L4,P17927,0,0,0.0,,,no_hit,0.0,,no_hit
L4,P24864,0,0,0.0,,,no_hit,0.0,,no_hit
L4,P30990,0,0,0.0,,,no_hit,0.0,,no_hit
L4,P37840,0,0,0.0,,,no_hit,0.0,,no_hit
L4,Q16236,0,0,0.0,,,no_hit,0.0,,no_hit
L4,Q9HCE5,0,0,0.0,,,no_hit,0.0,,no_hit
L4,O00187,0,0,0.0,0.2520,Q9Y5Y6,20-60%,0.0,0.2520,20-60%
L4,O00411,0,0,0.0,,,no_hit,0.0,,no_hit
L4,O00443,1,0,0.0,,,no_hit,1.0,,no_hit
L4,O14874,0,0,0.0,0.3340,Q15118,20-60%,0.0,0.9560,>=60%
L4,O42275,0,0,0.0,0.6470,P04058,>=60%,0.0,0.6470,>=60%
L4,O60427,0,0,0.0,,,no_hit,0.0,,no_hit
L4,O75747,0,0,0.0,,,no_hit,0.0,0.3590,20-60%
L4,P08546,0,0,0.0,0.3150,P04293,20-60%,0.0,0.3150,20-60%
L4,P0AES4,0,0,0.0,0.5070,P20831,20-60%,0.0,1.0000,>=60%
L4,P14060,0,0,0.0,,,no_hit,0.0,,no_hit
L4,P16788,0,0,0.0,,,no_hit,0.0,,no_hit
L4,P52429,0,0,0.0,,,no_hit,0.0,,no_hit
L4,P54278,0,0,0.0,,,no_hit,0.0,,no_hit
L4,Q08211,1,0,0.0,,,no_hit,1.0,0.2880,20-60%
L4,Q08828,0,0,0.0,,,no_hit,0.0,0.4180,20-60%
L4,Q10469,0,0,0.0,,,no_hit,0.0,,no_hit
L4,Q13191,0,0,0.0,,,no_hit,0.0,0.9510,>=60%
L4,Q13574,0,0,0.0,,,no_hit,0.0,,no_hit
L4,Q13724,0,0,0.0,,,no_hit,0.0,,no_hit
L4,Q16739,0,0,0.0,,,no_hit,0.0,,no_hit
L4,Q5JRX3,0,0,0.0,,,no_hit,0.0,,no_hit
L4,Q6SZW1,0,0,0.0,,,no_hit,0.0,,no_hit
L4,Q7Z3E1,0,0,0.0,,,no_hit,0.0,,no_hit
L4,Q7Z5P4,0,0,0.0,0.2930,P28845,20-60%,0.0,0.2930,20-60%
L4,Q86SK9,0,0,0.0,,,no_hit,0.0,,no_hit
L4,Q8WYB5,0,0,0.0,,,no_hit,0.0,0.4850,20-60%
L4,Q92551,0,0,0.0,0.2760,Q8NFU5,20-60%,0.0,0.2760,20-60%
L4,Q92794,1,0,0.0,,,no_hit,1.0,,no_hit
L4,Q96GX5,1,0,0.0,,,no_hit,1.0,,no_hit
L4,Q96KP4,0,0,0.0,0.2350,P44514,20-60%,0.0,0.9110,>=60%
L4,Q9NPH5,0,0,0.0,,,no_hit,0.0,,no_hit
L4,Q9NR19,0,0,0.0,0.2550,P08659,20-60%,0.0,0.2550,20-60%
L4,Q9UBM7,0,0,0.0,,,no_hit,0.0,,no_hit
L4,Q9UHH9,0,0,0.0,,,no_hit,0.0,,no_hit
L4,Q9UKP4,0,0,0.0,,,no_hit,0.0,,no_hit
L4,Q9ULC5,0,0,0.0,0.2500,Q27757,20-60%,0.0,0.2500,20-60%
L4,Q9ULV8,0,0,0.0,,,no_hit,0.0,,no_hit
L4,Q9Y2I7,0,0,0.0,,,no_hit,0.0,,no_hit
L4,O14578,0,0,0.0,0.2540,Q5VT25,20-60%,0.0,0.2540,20-60%
L4,O75909,0,0,0.0,,,no_hit,0.0,1.0000,>=60%
L4,O95835,0,0,0.0,,,no_hit,0.0,,no_hit
L4,P17948,1,0,0.0,0.4520,P35968,20-60%,1.0,0.4520,20-60%
L4,P19525,0,0,0.0,0.2720,Q9P289,20-60%,0.0,0.2760,20-60%
L4,P57059,0,0,0.0,,,no_hit,0.0,,no_hit
L4,Q13233,0,0,0.0,,,no_hit,0.0,,no_hit
L4,Q13535,0,0,0.0,0.2410,Q13315,20-60%,0.0,0.2410,20-60%
L4,Q15078,0,0,0.0,,,no_hit,0.0,,no_hit
L4,Q16832,1,0,0.0,0.5320,Q08345,20-60%,1.0,0.5320,20-60%
L4,Q86UE8,0,0,0.0,,,no_hit,0.0,,no_hit
L4,Q9H0K1,0,0,0.0,,,no_hit,0.0,,no_hit
L4,P22001,0,0,0.0,,,no_hit,0.0,,no_hit
L4,Q8N1C3,0,0,0.0,0.5190,P48169,20-60%,0.0,0.5190,20-60%
L4,O94782,0,0,0.0,,,no_hit,0.0,,no_hit
L4,P09871,0,0,0.0,0.2550,Q9Y5Y6,20-60%,0.0,0.2550,20-60%
L4,Q03164,1,0,0.0,,,no_hit,1.0,,no_hit
L4,Q96DB2,0,0,0.0,0.2590,Q9BY41,20-60%,0.0,0.2660,20-60%
L4,Q9BQA1,0,0,0.0,,,no_hit,0.0,,no_hit
L4,P11166,0,0,0.0,0.2790,O97467,20-60%,0.0,0.2880,20-60%
