uniprot_a,layer_a,class_a,uniprot_b,layer_b,class_b,identity
P29274,L2,GPCR,P30542,L2,GPCR,0.4877
P0DMS8,L2,GPCR,P30542,L2,GPCR,0.4843
Q8IVH8,L2,激酶,Q92918,L1,激酶,0.4742
P23458,L2,激酶,P29597,L2,激酶,0.4593
P29275,L2,GPCR,P30542,L2,GPCR,0.4509
P17948,L4,激酶,P35968,L1,激酶,0.4507
P62813,L2,离子通道,Q8N1C3,L4,离子通道,0.4505
P11802,L1,激酶,P24941,L2,激酶,0.4497
P35916,L2,激酶,P35968,L1,激酶,0.4469
O60674,L1,激酶,P23458,L2,激酶,0.4443
P56817,L2,蛋白酶,Q9Y5Z0,L2,蛋白酶,0.4431
P24941,L2,激酶,P50750,L2,激酶,0.4094
O94921,L3,激酶,P11802,L1,激酶,0.4059
P31391,L2,GPCR,P41143,L2,GPCR,0.4059
P28335,L2,GPCR,P41595,L1,GPCR,0.4039
O60674,L1,激酶,P29597,L2,激酶,0.4002
P21917,L4,GPCR,P35462,L4,GPCR,0.4000
P0DMS8,L2,GPCR,P29274,L2,GPCR,0.3994
P17948,L4,激酶,P35916,L2,激酶,0.3976
P21554,L2,GPCR,P34972,L2,GPCR,0.3972
P28223,L4,GPCR,P41595,L1,GPCR,0.3949
P04798,L1,P450,Q16678,L1,P450,0.3945
P24941,L2,激酶,P53779,L2,激酶,0.3926
Q92769,L1,表观,Q9BY41,L2,表观,0.3926
P18825,L2,GPCR,P21917,L4,GPCR,0.3914
Q13547,L1,表观,Q9BY41,L2,表观,0.3899
P00519,L2,激酶,P06239,L2,激酶,0.3890
P0DMS8,L2,GPCR,P29275,L2,GPCR,0.3836
P14416,L4,GPCR,P21917,L4,GPCR,0.3819
P00734,L2,蛋白酶,P00742,L2,蛋白酶,0.3811
O75173,L2,蛋白酶,Q9UNA0,L2,蛋白酶,0.3799
P00746,L2,蛋白酶,P23946,L2,蛋白酶,0.3765
P11802,L1,激酶,P50750,L2,激酶,0.3762
P00519,L2,激酶,P12931,L1,激酶,0.3750
P03372,L2,核受体,P11474,L2,核受体,0.3712
P11802,L1,激酶,P53779,L2,激酶,0.3696
P05622,L3,激酶,P07333,L2,激酶,0.3683
P00519,L2,激酶,P06241,L2,激酶,0.3669
P07333,L2,激酶,P09619,L2,激酶,0.3632
P18825,L2,GPCR,P35462,L4,GPCR,0.3625
P31391,L2,GPCR,P41145,L2,GPCR,0.3526
P08908,L2,GPCR,P18825,L2,GPCR,0.3483
P11802,L1,激酶,Q13627,L1,激酶,0.3465
O00443,L4,其他酶,O75747,L4,其他酶,0.3419
P31391,L2,GPCR,P41146,L2,GPCR,0.3405
P24941,L2,激酶,Q99683,L2,激酶,0.3356
P08908,L2,GPCR,P35462,L4,GPCR,0.3350
P08519,L3,其他/未分类,P23946,L2,蛋白酶,0.3320
O94921,L3,激酶,P50750,L2,激酶,0.3306
P24941,L2,激酶,P49759,L2,激酶,0.3289
P34969,L4,GPCR,P35462,L4,GPCR,0.3275
P08908,L2,GPCR,P14416,L4,GPCR,0.3270
P08908,L2,GPCR,P34969,L4,GPCR,0.3270
P08908,L2,GPCR,P21917,L4,GPCR,0.3270
P00746,L2,蛋白酶,P08519,L3,其他/未分类,0.3241
P24941,L2,激酶,Q13627,L1,激酶,0.3221
P00742,L2,蛋白酶,P00746,L2,蛋白酶,0.3162
P08908,L2,GPCR,P30542,L2,GPCR,0.3160
P05622,L3,激酶,P17948,L4,激酶,0.3142
P14416,L4,GPCR,P18825,L2,GPCR,0.3138
P08908,L2,GPCR,P29275,L2,GPCR,0.3133
P00734,L2,蛋白酶,P00746,L2,蛋白酶,0.3123
P31391,L2,GPCR,P35372,L2,GPCR,0.3119
O95819,L2,激酶,Q13188,L1,激酶,0.3096
P24941,L2,激酶,P49760,L2,激酶,0.3087
P00746,L2,蛋白酶,P03952,L2,蛋白酶,0.3083
P03952,L2,蛋白酶,P23946,L2,蛋白酶,0.3077
P09619,L2,激酶,P35916,L2,激酶,0.3074
P29275,L2,GPCR,P34969,L4,GPCR,0.3072
P14416,L4,GPCR,P34969,L4,GPCR,0.3070
P09619,L2,激酶,P17948,L4,激酶,0.3056
P24941,L2,激酶,Q13188,L1,激酶,0.3054
P24941,L2,激酶,Q9HAZ1,L2,激酶,0.3054
P08908,L2,GPCR,P0DMS8,L2,GPCR,0.3050
P08173,L2,GPCR,P14416,L4,GPCR,0.3047
P05622,L3,激酶,P35916,L2,激酶,0.3042
O43613,L2,GPCR,P30542,L2,GPCR,0.3037
P04293,L2,其他酶,P08546,L4,其他酶,0.3036
P08173,L2,GPCR,P08908,L2,GPCR,0.3033
P08173,L2,GPCR,P35462,L4,GPCR,0.3025
P21554,L2,GPCR,Q92633,L2,GPCR,0.3022
P07711,L2,蛋白酶,P97821,L3,蛋白酶,0.3003
P14416,L4,GPCR,P28335,L2,GPCR,0.3002
P28223,L4,GPCR,P35462,L4,GPCR,0.3000
P03951,L2,蛋白酶,P23946,L2,蛋白酶,0.2996
P24941,L2,激酶,P57059,L4,激酶,0.2987
P29275,L2,GPCR,P35462,L4,GPCR,0.2982
P00746,L2,蛋白酶,P03951,L2,蛋白酶,0.2964
P21917,L4,GPCR,P50406,L2,GPCR,0.2959
P0DMS8,L2,GPCR,Q9H3N8,L2,GPCR,0.2956
P21917,L4,GPCR,P29275,L2,GPCR,0.2952
P11362,L1,激酶,P35968,L1,激酶,0.2944
P08908,L2,GPCR,P41595,L1,GPCR,0.2938
P11802,L1,激酶,P49759,L2,激酶,0.2937
P37288,L3,GPCR,P41143,L2,GPCR,0.2930
P28335,L2,GPCR,P35462,L4,GPCR,0.2925
P24941,L2,激酶,Q9NWZ3,L2,激酶,0.2919
P30542,L2,GPCR,Q9H3N8,L2,GPCR,0.2914
P35462,L4,GPCR,P50406,L2,GPCR,0.2900
P29274,L2,GPCR,P34969,L4,GPCR,0.2888
P21917,L4,GPCR,P31391,L2,GPCR,0.2887
O96017,L2,激酶,P24941,L2,激酶,0.2886
P00519,L2,激酶,P24941,L2,激酶,0.2886
P09619,L2,激酶,P35968,L1,激酶,0.2884
O43614,L2,GPCR,P30542,L2,GPCR,0.2883
P07711,L2,蛋白酶,P53634,L2,蛋白酶,0.2883
P52429,L4,其他酶,Q13574,L4,其他酶,0.2875
P11802,L1,激酶,Q16584,L2,激酶,0.2871
P11802,L1,激酶,Q9HAZ1,L2,激酶,0.2871
P05622,L3,激酶,P35968,L1,激酶,0.2869
P21917,L4,GPCR,P41146,L2,GPCR,0.2865
P0DMS8,L2,GPCR,P41595,L1,GPCR,0.2862
P29275,L2,GPCR,P50406,L2,GPCR,0.2861
P29275,L2,GPCR,Q9H3N8,L2,GPCR,0.2861
O75469,L1,核受体,Q96RI1,L2,核受体,0.2857
O95819,L2,激酶,P24941,L2,激酶,0.2852
P00746,L2,蛋白酶,P09871,L4,蛋白酶,0.2846
P00734,L2,蛋白酶,P08519,L3,其他/未分类,0.2846
P18825,L2,GPCR,P50406,L2,GPCR,0.2841
P11802,L1,激酶,P49760,L2,激酶,0.2838
P00734,L2,蛋白酶,P23946,L2,蛋白酶,0.2834
P29275,L2,GPCR,P41595,L1,GPCR,0.2831
O43613,L2,GPCR,P0DMS8,L2,GPCR,0.2830
P0DMS8,L2,GPCR,P28223,L4,GPCR,0.2830
P21917,L4,GPCR,P41143,L2,GPCR,0.2823
P11362,L1,激酶,P30530,L2,激酶,0.2822
P30542,L2,GPCR,P41595,L1,GPCR,0.2822
P14416,L4,GPCR,P28223,L4,GPCR,0.2822
O14578,L4,激酶,P24941,L2,激酶,0.2819
P08173,L2,GPCR,P21917,L4,GPCR,0.2816
P21917,L4,GPCR,P34969,L4,GPCR,0.2816
O43613,L2,GPCR,P41143,L2,GPCR,0.2796
P34969,L4,GPCR,P50406,L2,GPCR,0.2795
P14416,L4,GPCR,Q9H3N8,L2,GPCR,0.2795
P21917,L4,GPCR,P30542,L2,GPCR,0.2791
P30542,L2,GPCR,P35462,L4,GPCR,0.2791
P08908,L2,GPCR,P29274,L2,GPCR,0.2791
P24941,L2,激酶,Q8IVH8,L2,激酶,0.2785
P35372,L2,GPCR,P50052,L4,GPCR,0.2782
P11802,L1,激酶,Q8IVH8,L2,激酶,0.2772
O43614,L2,GPCR,P29275,L2,GPCR,0.2771
P08173,L2,GPCR,Q9H3N8,L2,GPCR,0.2769
P21917,L4,GPCR,P28335,L2,GPCR,0.2768
P24941,L2,激酶,Q86UE8,L4,激酶,0.2752
P21917,L4,GPCR,P28223,L4,GPCR,0.2745
P08908,L2,GPCR,P32245,L2,GPCR,0.2741
P18825,L2,GPCR,P41145,L2,GPCR,0.2737
P0DMS8,L2,GPCR,P34969,L4,GPCR,0.2736
P0DMS8,L2,GPCR,P41143,L2,GPCR,0.2736
P28335,L2,GPCR,P30542,L2,GPCR,0.2730
P08173,L2,GPCR,P18825,L2,GPCR,0.2727
P41145,L2,GPCR,P50052,L4,GPCR,0.2727
P24941,L2,激酶,P31751,L2,激酶,0.2718
P24941,L2,激酶,Q9H0K1,L4,激酶,0.2718
P00742,L2,蛋白酶,P23946,L2,蛋白酶,0.2713
O43613,L2,GPCR,P41145,L2,GPCR,0.2711
P14416,L4,GPCR,P41595,L1,GPCR,0.2709
P0DMS8,L2,GPCR,P28335,L2,GPCR,0.2704
O43614,L2,GPCR,P41146,L2,GPCR,0.2703
P08908,L2,GPCR,P50406,L2,GPCR,0.2701
P11362,L1,激酶,P35916,L2,激酶,0.2701
P35462,L4,GPCR,P41595,L1,GPCR,0.2700
P30542,L2,GPCR,P50406,L2,GPCR,0.2699
P41145,L2,GPCR,Q96LB1,L3,GPCR,0.2697
O95835,L4,激酶,P50750,L2,激酶,0.2688
P24941,L2,激酶,Q16584,L2,激酶,0.2685
P21554,L2,GPCR,P29275,L2,GPCR,0.2681
P28223,L4,GPCR,P29275,L2,GPCR,0.2681
P11362,L1,激酶,P17948,L4,激酶,0.2676
O43613,L2,GPCR,P41146,L2,GPCR,0.2676
P21917,L4,GPCR,P41595,L1,GPCR,0.2673
O43614,L2,GPCR,P0DMS8,L2,GPCR,0.2673
P41143,L2,GPCR,P50052,L4,GPCR,0.2672
P00751,L2,蛋白酶,P23946,L2,蛋白酶,0.2672
P07333,L2,激酶,P17948,L4,激酶,0.2665
O96017,L2,激酶,P50750,L2,激酶,0.2661
P50750,L2,激酶,Q8IVH8,L2,激酶,0.2661
O43614,L2,GPCR,P41145,L2,GPCR,0.2658
P08908,L2,GPCR,P28335,L2,GPCR,0.2654
O14874,L4,其他酶,Q15119,L2,激酶,0.2654
P24941,L2,激酶,P31749,L2,激酶,0.2651
O43613,L2,GPCR,P29275,L2,GPCR,0.2651
O43613,L2,GPCR,P29274,L2,GPCR,0.2646
P35462,L4,GPCR,Q9H3N8,L2,GPCR,0.2641
P05622,L3,激酶,P11362,L1,激酶,0.2640
P28335,L2,GPCR,P50406,L2,GPCR,0.2636
Q13188,L1,激酶,Q92918,L1,激酶,0.2627
O43614,L2,GPCR,P35372,L2,GPCR,0.2625
P29274,L2,GPCR,P35462,L4,GPCR,0.2625
P07333,L2,激酶,P35968,L1,激酶,0.2623
P21554,L2,GPCR,P32245,L2,GPCR,0.2620
P28335,L2,GPCR,P29275,L2,GPCR,0.2620
P24941,L2,激酶,Q13233,L4,激酶,0.2617
P25929,L4,GPCR,P50052,L4,GPCR,0.2617
O43613,L2,GPCR,P61073,L2,GPCR,0.2614
O88634,L4,GPCR,P0DMS8,L2,GPCR,0.2610
Q13188,L1,激酶,Q8IVH8,L2,激酶,0.2607
O95835,L4,激酶,P31749,L2,激酶,0.2604
P18825,L2,GPCR,P28335,L2,GPCR,0.2598
P09871,L4,蛋白酶,P23946,L2,蛋白酶,0.2591
P29275,L2,GPCR,P41146,L2,GPCR,0.2590
P32245,L2,GPCR,P34969,L4,GPCR,0.2590
O43614,L2,GPCR,P61073,L2,GPCR,0.2585
P08908,L2,GPCR,P28223,L4,GPCR,0.2583
P30542,L2,GPCR,P32245,L2,GPCR,0.2577
O96017,L2,激酶,P11802,L1,激酶,0.2574
P28223,L4,GPCR,P34969,L4,GPCR,0.2569
P31391,L2,GPCR,P61073,L2,GPCR,0.2557
P18825,L2,GPCR,P28223,L4,GPCR,0.2554
P41143,L2,GPCR,Q9H3N8,L2,GPCR,0.2554
P24941,L2,激酶,Q16832,L4,激酶,0.2550
P14416,L4,GPCR,P29274,L2,GPCR,0.2549
P0DMS8,L2,GPCR,P25929,L4,GPCR,0.2547
P30542,L2,GPCR,P34969,L4,GPCR,0.2546
P30542,L2,GPCR,Q92633,L2,GPCR,0.2546
O43613,L2,GPCR,P18825,L2,GPCR,0.2541
O94921,L3,激酶,O95835,L4,激酶,0.2537
O14578,L4,激酶,P31751,L2,激酶,0.2536
P41146,L2,GPCR,P50052,L4,GPCR,0.2534
Q15878,L3,离子通道,Q9Y5Y9,L2,离子通道,0.2531
P29274,L2,GPCR,P32245,L2,GPCR,0.2530
P41143,L2,GPCR,Q92633,L2,GPCR,0.2527
P37288,L3,GPCR,P41145,L2,GPCR,0.2526
P25929,L4,GPCR,P41595,L1,GPCR,0.2526
Q13188,L1,激酶,Q13464,L2,激酶,0.2525
P0DMS8,L2,GPCR,P31391,L2,GPCR,0.2516
P0DMS8,L2,GPCR,P35372,L2,GPCR,0.2516
P28223,L4,GPCR,P30542,L2,GPCR,0.2515
P07333,L2,激酶,P35916,L2,激酶,0.2510
O14578,L4,激酶,P31749,L2,激酶,0.2500
O43613,L2,GPCR,P34972,L2,GPCR,0.2500
O43614,L2,GPCR,P32245,L2,GPCR,0.2500
O43614,L2,GPCR,P41143,L2,GPCR,0.2500
P32245,L2,GPCR,Q92633,L2,GPCR,0.2500
P34969,L4,GPCR,P41145,L2,GPCR,0.2500
P35372,L2,GPCR,P35462,L4,GPCR,0.2500
P35462,L4,GPCR,P41143,L2,GPCR,0.2500
P50052,L4,GPCR,P61073,L2,GPCR,0.2500
P50750,L2,激酶,P53779,L2,激酶,0.2500
O14578,L4,激酶,Q13464,L2,激酶,0.2496
P30542,L2,GPCR,P50052,L4,GPCR,0.2485
P41595,L1,GPCR,P50406,L2,GPCR,0.2477
P11802,L1,激酶,Q13188,L1,激酶,0.2475
P28335,L2,GPCR,P41143,L2,GPCR,0.2473
P34972,L2,GPCR,P41143,L2,GPCR,0.2472
P34969,L4,GPCR,P61073,L2,GPCR,0.2472
P04150,L2,核受体,P10275,L2,核受体,0.2471
O43613,L2,GPCR,P32245,L2,GPCR,0.2470
P32245,L2,GPCR,Q9H3N8,L2,GPCR,0.2470
P08173,L2,GPCR,P34969,L4,GPCR,0.2463
P18825,L2,GPCR,Q9H3N8,L2,GPCR,0.2462
O43613,L2,GPCR,P21917,L4,GPCR,0.2458
P21554,L2,GPCR,P30542,L2,GPCR,0.2454
P31391,L2,GPCR,P50052,L4,GPCR,0.2452
P21917,L4,GPCR,P29274,L2,GPCR,0.2451
P24941,L2,激酶,P30530,L2,激酶,0.2450
O88634,L4,GPCR,P31391,L2,GPCR,0.2448
O43613,L2,GPCR,P14416,L4,GPCR,0.2447
P18825,L2,GPCR,P41595,L1,GPCR,0.2446
P41146,L2,GPCR,P61073,L2,GPCR,0.2443
O75469,L1,核受体,P03372,L2,核受体,0.2442
P18825,L2,GPCR,P32245,L2,GPCR,0.2440
P29275,L2,GPCR,P41143,L2,GPCR,0.2440
O75116,L2,激酶,P31751,L2,激酶,0.2432
O95835,L4,激酶,P31751,L2,激酶,0.2432
P31751,L2,激酶,Q13464,L2,激酶,0.2432
P14416,L4,GPCR,P50406,L2,GPCR,0.2432
P35372,L2,GPCR,Q96LB1,L3,GPCR,0.2424
P30542,L2,GPCR,P35372,L2,GPCR,0.2423
P30542,L2,GPCR,P41145,L2,GPCR,0.2423
O43614,L2,GPCR,P25929,L4,GPCR,0.2422
P0DMS8,L2,GPCR,P21554,L2,GPCR,0.2421
P0DMS8,L2,GPCR,P32245,L2,GPCR,0.2421
P0DMS8,L2,GPCR,P34972,L2,GPCR,0.2421
P0DMS8,L2,GPCR,P50406,L2,GPCR,0.2421
P35462,L4,GPCR,Q92633,L2,GPCR,0.2418
Q92633,L2,GPCR,Q9H3N8,L2,GPCR,0.2418
P06239,L2,激酶,P11362,L1,激酶,0.2417
P35372,L2,GPCR,P61073,L2,GPCR,0.2415
Q13627,L1,激酶,Q9HAZ1,L2,激酶,0.2412
P11474,L2,核受体,Q96RI1,L2,核受体,0.2411
P00746,L2,蛋白酶,P00751,L2,蛋白酶,0.2411
P28335,L2,GPCR,P32245,L2,GPCR,0.2410
P29275,L2,GPCR,Q92633,L2,GPCR,0.2410
P08922,L2,激酶,P11802,L1,激酶,0.2409
P28223,L4,GPCR,P50406,L2,GPCR,0.2409
P28335,L2,GPCR,P41146,L2,GPCR,0.2405
P28223,L4,GPCR,P29274,L2,GPCR,0.2403
O43614,L2,GPCR,P35462,L4,GPCR,0.2400
O14578,L4,激酶,O75116,L2,激酶,0.2399
P08908,L2,GPCR,P50052,L4,GPCR,0.2397
P49759,L2,激酶,Q13627,L1,激酶,0.2397
O88634,L4,GPCR,P41143,L2,GPCR,0.2392
P28223,L4,GPCR,P41143,L2,GPCR,0.2392
P34969,L4,GPCR,P41143,L2,GPCR,0.2392
P34969,L4,GPCR,P37288,L3,GPCR,0.2392
P53779,L2,激酶,Q9HAZ1,L2,激酶,0.2392
P34972,L2,GPCR,P50406,L2,GPCR,0.2389
P41143,L2,GPCR,P61073,L2,GPCR,0.2386
P05622,L3,激酶,Q16620,L2,激酶,0.2384
P07333,L2,激酶,P11362,L1,激酶,0.2384
P24941,L2,激酶,Q92918,L1,激酶,0.2383
P18825,L2,GPCR,P34969,L4,GPCR,0.2381
P08173,L2,GPCR,P41595,L1,GPCR,0.2380
P25929,L4,GPCR,P29275,L2,GPCR,0.2380
P29275,L2,GPCR,P32245,L2,GPCR,0.2380
P29275,L2,GPCR,P34972,L2,GPCR,0.2380
O43614,L2,GPCR,P29274,L2,GPCR,0.2379
O88634,L4,GPCR,P41146,L2,GPCR,0.2378
P11802,L1,激酶,Q86UE8,L4,激酶,0.2376
O43613,L2,GPCR,P35462,L4,GPCR,0.2375
P31749,L2,激酶,Q13464,L2,激酶,0.2375
P09619,L2,激酶,Q16620,L2,激酶,0.2372
P03372,L2,核受体,P10275,L2,核受体,0.2370
P37288,L3,GPCR,P50052,L4,GPCR,0.2369
P25929,L4,GPCR,P41143,L2,GPCR,0.2366
P29274,L2,GPCR,P41143,L2,GPCR,0.2366
P50750,L2,激酶,Q13188,L1,激酶,0.2366
P50750,L2,激酶,Q13627,L1,激酶,0.2366
O60341,L2,表观,P27338,L2,其他酶,0.2365
P49760,L2,激酶,Q13627,L1,激酶,0.2365
O75469,L1,核受体,P11474,L2,核受体,0.2364
P04150,L2,核受体,P11474,L2,核受体,0.2364
P28335,L2,GPCR,Q92633,L2,GPCR,0.2363
P30542,L2,GPCR,P31391,L2,GPCR,0.2362
P34969,L4,GPCR,P34972,L2,GPCR,0.2361
P34972,L2,GPCR,Q9H3N8,L2,GPCR,0.2361
P08908,L2,GPCR,Q9H3N8,L2,GPCR,0.2359
P28223,L4,GPCR,Q9H3N8,L2,GPCR,0.2359
P41145,L2,GPCR,P61073,L2,GPCR,0.2358
P25929,L4,GPCR,P41146,L2,GPCR,0.2351
P25929,L4,GPCR,P32245,L2,GPCR,0.2349
P32245,L2,GPCR,P35462,L4,GPCR,0.2349
O43613,L2,GPCR,P08908,L2,GPCR,0.2346
O43614,L2,GPCR,P31391,L2,GPCR,0.2345
O95835,L4,激酶,P11802,L1,激酶,0.2343
P41595,L1,GPCR,P50052,L4,GPCR,0.2342
O14757,L2,激酶,P50750,L2,激酶,0.2339
O95819,L2,激酶,P50750,L2,激酶,0.2339
P06239,L2,激酶,P08922,L2,激酶,0.2338
P41146,L2,GPCR,Q92633,L2,GPCR,0.2335
P34972,L2,GPCR,P41145,L2,GPCR,0.2333
P34972,L2,GPCR,Q96LB1,L3,GPCR,0.2333
P41146,L2,GPCR,Q96LB1,L3,GPCR,0.2333
P41595,L1,GPCR,Q9H3N8,L2,GPCR,0.2333
O14757,L2,激酶,Q9H0K1,L4,激酶,0.2332
P0DMS8,L2,GPCR,P41145,L2,GPCR,0.2327
P0DMS8,L2,GPCR,Q92633,L2,GPCR,0.2327
P41146,L2,GPCR,Q9H3N8,L2,GPCR,0.2324
P27487,L2,蛋白酶,Q6V1X1,L2,蛋白酶,0.2324
P07949,L2,激酶,P11362,L1,激酶,0.2324
O43614,L2,GPCR,P37288,L3,GPCR,0.2321
P31391,L2,GPCR,P35462,L4,GPCR,0.2320
P31391,L2,GPCR,P50406,L2,GPCR,0.2320
P32245,L2,GPCR,P41595,L1,GPCR,0.2319
P06239,L2,激酶,P09619,L2,激酶,0.2318
P24941,L2,激酶,Q13464,L2,激酶,0.2315
O43614,L2,GPCR,P21917,L4,GPCR,0.2315
P28335,L2,GPCR,P34969,L4,GPCR,0.2314
P00519,L2,激酶,Q16584,L2,激酶,0.2314
P11802,L1,激酶,Q13233,L4,激酶,0.2310
P28335,L2,GPCR,Q9H3N8,L2,GPCR,0.2308
P50406,L2,GPCR,Q9H3N8,L2,GPCR,0.2308
Q96DB2,L4,表观,Q9BY41,L2,表观,0.2305
P11362,L1,激酶,Q9NWZ3,L2,激酶,0.2304
P30542,L2,GPCR,P41143,L2,GPCR,0.2301
P30542,L2,GPCR,P41146,L2,GPCR,0.2301
P34969,L4,GPCR,P35372,L2,GPCR,0.2300
P05622,L3,激酶,P06239,L2,激酶,0.2299
P28223,L4,GPCR,P41146,L2,GPCR,0.2297
P0DMS8,L2,GPCR,P50052,L4,GPCR,0.2296
P31391,L2,GPCR,P37288,L3,GPCR,0.2294
P53779,L2,激酶,Q13627,L1,激酶,0.2284
O43613,L2,GPCR,P50406,L2,GPCR,0.2282
Q96DB2,L4,表观,Q9UBN7,L2,表观,0.2277
P08908,L2,GPCR,P35372,L2,GPCR,0.2275
P31391,L2,GPCR,Q96LB1,L3,GPCR,0.2273
P50052,L4,GPCR,Q96LB1,L3,GPCR,0.2273
P61073,L2,GPCR,Q96LB1,L3,GPCR,0.2273
O75116,L2,激酶,P31749,L2,激酶,0.2271
P30542,L2,GPCR,P61073,L2,GPCR,0.2270
O14578,L4,激酶,O14757,L2,激酶,0.2269
P31391,L2,GPCR,P34969,L4,GPCR,0.2268
O43613,L2,GPCR,P25929,L4,GPCR,0.2266
P21554,L2,GPCR,P25929,L4,GPCR,0.2266
P25929,L4,GPCR,P50406,L2,GPCR,0.2266
P21917,L4,GPCR,P41145,L2,GPCR,0.2263
P41145,L2,GPCR,Q9H3N8,L2,GPCR,0.2263
P32245,L2,GPCR,P34972,L2,GPCR,0.2259
P08908,L2,GPCR,P41143,L2,GPCR,0.2258
P49759,L2,激酶,P50750,L2,激酶,0.2258
O43614,L2,GPCR,P14416,L4,GPCR,0.2257
P28335,L2,GPCR,P29274,L2,GPCR,0.2257
P29274,L2,GPCR,Q9H3N8,L2,GPCR,0.2256
P34969,L4,GPCR,P41595,L1,GPCR,0.2255
O43613,L2,GPCR,P35372,L2,GPCR,0.2250
P31391,L2,GPCR,P34972,L2,GPCR,0.2250
P34972,L2,GPCR,P37288,L3,GPCR,0.2250
P35462,L4,GPCR,P37288,L3,GPCR,0.2250
P06239,L2,激酶,P24941,L2,激酶,0.2248
P24941,L2,激酶,P29597,L2,激酶,0.2248
P24941,L2,激酶,P53671,L2,激酶,0.2248
P11802,L1,激酶,P23458,L2,激酶,0.2244
P35462,L4,GPCR,P41146,L2,GPCR,0.2243
O88634,L4,GPCR,Q96LB1,L3,GPCR,0.2242
O43613,L2,GPCR,P31391,L2,GPCR,0.2242
P31391,L2,GPCR,P41595,L1,GPCR,0.2242
P06239,L2,激酶,P07949,L2,激酶,0.2240
P06239,L2,激酶,P35968,L1,激酶,0.2240
P25929,L4,GPCR,P35372,L2,GPCR,0.2240
P07949,L2,激酶,Q9NWZ3,L2,激酶,0.2239
O88634,L4,GPCR,P41145,L2,GPCR,0.2237
P28335,L2,GPCR,P41145,L2,GPCR,0.2237
P35462,L4,GPCR,P41145,L2,GPCR,0.2237
P41145,L2,GPCR,P41595,L1,GPCR,0.2237
Q12884,L2,蛋白酶,Q6V1X1,L2,蛋白酶,0.2237
O75469,L1,核受体,P04150,L2,核受体,0.2235
P27487,L2,蛋白酶,Q86TI2,L2,蛋白酶,0.2232
P31751,L2,激酶,P50750,L2,激酶,0.2231
P29275,L2,GPCR,P31391,L2,GPCR,0.2229
Q9BY41,L2,表观,Q9UBN7,L2,表观,0.2228
P08173,L2,GPCR,P50406,L2,GPCR,0.2227
P21917,L4,GPCR,Q92633,L2,GPCR,0.2225
P35372,L2,GPCR,P37288,L3,GPCR,0.2225
P31751,L2,激酶,Q9H0K1,L4,激酶,0.2225
P29274,L2,GPCR,P34972,L2,GPCR,0.2222
P08922,L2,激酶,P12931,L1,激酶,0.2220
P06239,L2,激酶,P07333,L2,激酶,0.2220
P06239,L2,激酶,P17948,L4,激酶,0.2220
P06239,L2,激酶,P35916,L2,激酶,0.2220
Q92769,L1,表观,Q96DB2,L4,表观,0.2219
P08908,L2,GPCR,P31391,L2,GPCR,0.2216
P34969,L4,GPCR,P41146,L2,GPCR,0.2216
P41146,L2,GPCR,P41595,L1,GPCR,0.2216
P06241,L2,激酶,P08922,L2,激酶,0.2216
O14757,L2,激酶,P24941,L2,激酶,0.2215
O60674,L1,激酶,P24941,L2,激酶,0.2215
P08922,L2,激酶,P24941,L2,激酶,0.2215
P24941,L2,激酶,Q9NSY1,L2,激酶,0.2215
