uniprot,best_identity_conplex_bindingdb,in_dude_57
O76083,0.0000,0
O76094,0.0000,0
O77963,0.0000,0
O78750,0.0000,0
O84106,0.2110,0
O84875,0.0000,0
O88634,0.3430,0
O88673,0.0000,0
O94759,0.2850,0
O94768,0.9590,0
O94782,0.0000,0
O94788,0.0000,0
O94804,0.8980,0
O94806,0.9800,0
O94826,0.0000,0
O94842,0.0000,0
O94903,0.0000,0
O94906,0.0000,0
O94921,0.9690,0
O94953,0.0000,0
O94956,0.0000,0
O94966,0.0000,0
O95069,0.0000,0
O95218,0.0000,0
O95239,0.0000,0
O95251,0.0000,0
O95271,0.8290,0
O95278,0.0000,0
O95336,0.0000,0
O95342,0.5300,0
O95372,0.0000,0
O95382,0.9580,0
O95433,0.0000,0
O95436,0.0000,0
O95466,0.0000,0
O95497,0.0000,0
O95551,0.0000,0
O95602,0.0000,0
O95619,0.0000,0
O95639,0.0000,0
O95665,0.9450,0
O95696,0.5090,0
O95747,0.9370,0
O95749,0.0000,0
O95816,0.0000,0
O95817,0.0000,0
O95819,0.9120,0
O95835,0.9530,0
O95838,0.4800,0
O95848,0.0000,0
O95870,0.0000,0
O95931,0.9500,0
O96013,0.9390,0
O96017,0.9450,0
O96019,0.0000,0
O96028,0.0000,0
P00338,0.9600,0
P00352,0.0000,0
P00371,0.8940,0
P00374,0.9820,0
P00390,0.0000,0
P00395,0.0000,0
P00403,0.0000,0
P00491,0.9820,0
P00492,0.0000,0
P00519,0.9500,1
P00523,0.9860,1
P00533,0.9970,1
P00690,0.0000,0
P00734,1.0000,1
P00740,0.4140,0
P00742,0.3630,1
P00746,0.9860,0
P00747,1.0000,0
P00748,0.3650,0
P00749,1.0000,1
P00750,0.3880,0
P00751,0.0000,0
P00766,0.4120,0
P00797,0.9840,1
P00803,0.0000,0
P00915,0.9860,0
P00918,1.0000,0
P00956,0.1370,0
P01109,0.0000,0
P01111,0.8550,0
P01112,0.9740,0
P01116,0.8490,0
P01127,0.0000,0
P01375,0.9630,0
P01583,0.0000,0
P01584,0.0000,0
P01730,0.0000,0
P02545,0.0000,0
P02550,0.9760,0
P02708,0.3890,0
P02753,0.0000,0
P02766,0.9720,0
P02768,0.9740,0
P02769,0.7990,0
P02776,0.9530,0
P02794,0.0000,0
P03366,0.0000,0
P03372,0.9650,1
P03421,0.0000,0
P03431,0.0000,0
P03433,0.0000,0
P03468,0.0000,0
P03951,1.0000,0
P03952,0.6520,0
P03956,0.5780,0
P04035,0.0000,0
P04040,0.0000,0
P04049,0.9750,0
P04062,0.0000,0
P04075,0.0000,0
P04083,0.0000,0
P04150,0.5140,1
P04183,0.0000,0
P04271,0.9530,0
P04293,0.0000,0
P04296,0.0000,0
P04350,0.9440,0
P04406,0.0000,0
P04441,0.0000,0
P04585,0.0000,0
P04618,0.9660,0
P04626,0.9980,0
P04629,0.9860,0
P04637,0.0000,0
P04746,0.0000,0
P04757,0.3930,0
P04798,0.3070,0
P04818,0.9990,0
P04839,0.0000,0
P04843,0.0000,0
P04844,0.0000,0
P04899,0.0000,0
P05067,0.9400,0
P05089,0.9760,0
P05091,0.0000,0
P05106,0.0000,0
P05109,0.3770,0
P05129,1.0000,0
P05141,0.0000,0
P05164,0.9830,0
P05177,0.3070,0
P05181,0.9920,0
P05413,0.9590,0
P05455,0.0000,0
P05556,0.0000,0
P05622,0.8420,0
P05771,0.9970,1
P05961,0.0000,0
P05979,0.7070,0
P05981,0.3970,0
P06213,0.9910,0
P06239,1.0000,1
P06241,1.0000,0
P06276,1.0000,0
P06401,0.9390,1
P06493,0.7040,0
P06702,0.4220,0
P06730,0.9970,0
P06733,0.0000,0
P06746,0.0000,0
P06748,0.0000,0
P06753,0.0000,0
P06756,0.0000,0
P06766,0.0000,0
P06802,0.0000,0
P06821,0.0000,0
P06870,0.4660,0
P06935,0.0000,0
P07118,0.1390,0
P07148,0.2630,0
P07195,0.7790,0
P07202,0.4790,0
P07203,0.0000,0
P07237,0.0000,0
P07265,0.0000,0
P07288,0.4690,0
P07332,0.9470,0
P07333,0.9810,0
P07339,0.9710,0
P07355,0.0000,0
P07384,0.0000,0
P07437,0.9490,0
P07451,0.6530,0
P07477,1.0000,0
P07478,0.9090,0
P07550,0.9700,1
P07711,0.5370,0
P07813,0.0000,0
P07858,0.3260,0
P07900,0.9190,0
P07943,0.8890,0
P07947,0.9880,0
P07948,0.9890,0
P07949,0.9840,0
P08047,0.0000,0
P08069,0.9900,1
P08170,0.0000,0
P08172,0.9370,0
P08173,0.9320,0
P08183,0.9280,0
P08219,0.9680,0
P08220,0.4240,0
P08235,0.9440,1
P08236,0.0000,0
P08238,0.9220,0
P08246,0.9680,0
P08253,1.0000,0
P08254,0.9880,0
P08311,0.3690,0
P08413,0.7860,0
P08473,0.0000,0
P08482,0.9490,0
P08483,0.9370,0
P08515,0.2560,0
P08519,0.0000,0
P08546,0.0000,0
P08575,0.0000,0
P08579,0.0000,0
P08581,0.9810,1
P08588,0.9320,0
P08631,0.9890,0
P08648,0.1900,0
P08684,0.9640,0
P08709,0.3730,1
P08754,0.0000,0
P08842,0.0000,0
P08865,0.0000,0
P08908,0.9450,0
P08909,0.5590,0
P08912,0.5070,0
P08913,0.9480,0
P08922,0.9800,0
P09086,0.0000,0
P09237,0.5180,0
P09238,0.8160,0
P09246,0.0000,0
P09382,1.0000,0
P09391,0.0000,0
P09429,0.8630,0
P09455,0.4170,0
P09467,0.0000,0
P09487,0.0000,0
P09581,0.7490,0
P09619,0.9600,0
P09661,0.0000,0
P09759,0.9640,0
P09769,0.9970,0
P09871,0.0000,0
P09874,0.9470,0
P09884,0.0000,0
P09917,0.0000,0
P09936,0.0000,0
P09958,0.0000,0
P09960,0.9810,1
P0A017,0.3340,0
P0A0H5,0.0000,0
P0A0K8,0.4410,0
P0A6G7,0.0000,0
P0A725,0.6260,0
P0A749,0.0000,0
P0A8V2,0.0000,0
P0A9M5,0.0000,0
P0AES4,0.0000,0
P0AES6,0.9550,0
P0AFI2,0.0000,0
P0C0S5,0.0000,0
P0C1S7,0.3890,0
P0C1S8,0.9490,0
P0C1T4,0.0000,0
P0C1U9,0.0000,0
P0C264,0.9640,0
P0C6U8,0.0000,0
P0C6X1,0.0000,0
P0C6X4,0.0000,0
P0C6X5,0.0000,0
P0C6X6,0.0000,0
P0C6X7,0.0000,0
P0C7A3,0.0000,0
P0DMS8,0.9220,0
P0DMV8,0.8270,0
P0DOF8,0.0000,0
P0DPH7,0.9640,0
P0DPI0,0.0000,0
P0DTC1,0.0000,0
P0DTC2,0.0000,0
P0DTD1,0.0000,0
P0DUB6,0.0000,0
P10144,0.3880,0
P10242,0.0000,0
P10253,0.0000,0
P10275,0.9300,1
P10276,0.9590,0
P10398,0.6210,0
P10415,0.9800,0
P10586,0.0000,0
P10613,0.3730,0
P10632,0.6150,0
P10635,0.4120,0
P10636,0.0000,0
P10721,0.9790,1
P10826,0.9640,0
P10827,0.9570,0
P10828,0.9940,1
P10980,0.9400,0
P11021,0.6530,0
P11142,0.9380,0
P11166,0.9360,0
P11168,0.5330,0
P11169,0.6720,0
P11172,0.0000,0
P11229,0.9510,0
P11274,0.0000,0
P11275,0.9820,0
P11309,0.9990,0
P11362,0.9750,1
P11387,0.9280,0
P11388,0.0000,0
P11413,0.0000,0
P11473,0.9630,0
P11474,0.3710,0
P11497,0.0000,0
P11498,0.0000,0
P11509,0.5220,0
P11511,0.2050,0
P11586,0.0000,0
P11712,0.6250,0
P11802,0.9820,0
P11926,0.0000,0
P12004,0.0000,0
P12236,0.0000,0
P12270,0.0000,0
P12314,0.0000,0
P12390,0.3840,0
P12392,0.4070,0
P12429,0.0000,0
P12504,0.0000,0
P12544,0.4470,0
P12821,0.0000,1
P12931,0.9790,0
P12955,0.0000,0
P13010,0.0000,0
P13569,0.7560,0
P13612,0.2110,0
P13631,0.9610,0
P13639,0.0000,0
P13796,0.0000,0
P13866,0.0000,0
P13922,0.0000,0
P13945,0.9470,0
P13984,0.0000,0
P13987,0.0000,0
P13995,0.0000,0
P14060,0.0000,0
P14091,0.5520,0
P14174,0.0000,0
P14207,0.3720,0
P14324,0.0000,0
P14373,0.0000,0
P14403,0.0000,0
P14410,0.0000,0
P14416,0.9500,0
P14555,0.4490,0
P14616,0.9940,0
P14618,0.0000,0
P14625,0.9210,0
P14635,0.3820,0
P14672,0.6470,0
P14679,0.0000,0
P14756,0.0000,0
P14780,0.4940,0
P14842,0.9350,0
P14859,0.0000,0
P14866,0.0000,0
P14867,0.9770,0
P14902,0.0000,0
P14916,0.0000,0
P14920,1.0000,0
P15056,0.9500,1
P15090,0.9660,0
P15121,0.9940,0
P15144,0.0000,0
P15145,0.0000,0
P15170,0.4160,0
P15382,0.0000,0
P15389,0.2080,0
P15428,0.1900,0
P15531,0.9020,0
P15538,0.1830,0
P15539,0.2190,0
P15559,0.0000,0
P15692,0.9210,0
P15735,0.9830,0
P15823,0.9610,0
P15907,0.0000,0
P16050,0.0000,0
P16056,0.8990,0
P16070,0.9550,0
P16083,0.0000,0
P16092,0.9650,0
P16101,0.0000,0
P16109,0.0000,0
P16110,0.9430,0
P16234,0.9560,0
P16257,0.8680,0
P16389,0.7280,0
P16403,0.0000,0
P16406,0.0000,0
P16581,0.0000,0
P16591,0.9300,0
P16671,0.0000,0
P16788,0.0000,0
P16885,0.0000,0
P17010,0.0000,0
P17096,0.0000,0
P17252,1.0000,0
P17405,0.0000,0
P17480,0.0000,0
P17516,0.5400,0
P17612,0.9780,0
P17706,0.5570,0
P17787,0.3800,0
P17812,0.0000,0
P17844,0.0000,0
P17927,0.0000,0
P17931,0.9520,0
P17948,0.9680,0
P17980,0.0000,0
P17987,0.0000,0
P18031,0.9840,0
P18054,0.0000,0
P18089,0.9510,0
P18090,0.9330,0
P18405,0.0000,0
P18433,0.0000,0
P18505,0.4200,0
P18507,0.4600,0
P18508,0.4610,0
P18510,0.0000,0
P18564,0.0000,0
P18583,0.0000,0
P18825,0.5270,0
P18848,0.0000,0
P18886,0.0000,0
P19099,0.1830,0
P19105,0.4640,0
P19111,0.0000,0
P19327,0.9470,0
P19438,0.0000,0
P19493,0.7740,0
P19525,0.9380,0
P19623,0.0000,0
P19634,0.0000,0
P19643,0.0000,0
P19784,0.9910,0
P19793,0.9580,1
P19801,0.0000,0
P19969,0.7470,0
P20035,0.0000,0
P20042,0.0000,0
P20236,0.7260,0
P20248,0.9520,0
P20272,0.9390,0
P20309,0.9390,0
P20618,0.0000,0
P20648,0.2570,0
P20671,0.0000,0
P20700,0.0000,0
P20794,0.9690,0
P20809,0.0000,0
P20813,0.5190,0
P20815,0.8410,0
P20816,0.2780,0
P20831,0.0000,0
P20848,0.2640,0
P21127,0.8710,0
P21146,0.3560,0
P21333,0.0000,0
P21397,0.1600,0
P21439,0.7320,0
P21453,0.2780,0
P21462,0.9300,0
P21554,0.9400,0
P21589,0.0000,0
P21709,0.9920,0
P21728,0.9530,0
P21731,0.9550,0
P21802,0.9800,0
P21842,0.4070,0
P21860,1.0000,0
P21917,0.8280,0
P21918,0.5670,0
P21964,0.0000,0
P21980,0.0000,0
P22001,0.9490,0
P22002,0.8530,0
P22059,0.0000,0
P22061,0.0000,0
P22079,0.5640,0
P22086,0.5340,0
P22102,0.0000,0
P22303,0.9930,0
P22309,0.0000,0
P22314,0.0000,0
P22413,0.0000,0
P22443,0.1990,0
P22455,0.9670,0
P22460,0.7420,0
P22518,0.8950,0
P22607,0.9730,0
P22612,0.8550,0
P22629,0.0000,0
P22674,0.2840,0
P22681,0.0000,0
P22694,0.9750,0
P22723,0.4600,0
P22734,0.0000,0
P22736,0.3570,0
P22748,0.3310,0
P22756,0.9670,0
P22830,0.0000,0
P22894,0.5550,0
P23141,0.3300,0
P23219,0.7150,0
P23246,0.0000,0
P23280,0.9970,0
P23284,0.9700,0
P23415,0.3850,0
P23416,0.3880,0
P23443,0.9730,0
P23458,0.9840,0
P23467,0.0000,0
P23468,0.0000,0
P23469,0.0000,0
P23526,0.0000,0
P23528,0.0000,0
P23576,0.8120,0
P23743,0.0000,0
P23786,0.0000,0
P23921,0.0000,0
P23944,0.9180,0
P23945,0.0000,0
P23946,0.4060,0
P23975,0.9850,0
P23977,0.9760,0
P23979,0.9040,0
P24008,0.0000,0
P24158,0.5900,0
P24385,0.0000,0
P24462,0.8740,0
P24530,0.7230,0
P24666,0.0000,0
P24723,0.9990,0
P24752,0.0000,0
P24863,0.0000,0
P24864,0.0000,0
P24928,0.0000,0
P24941,0.9770,1
P25021,0.8350,0
P25024,0.4210,0
P25025,0.4030,0
P25084,0.0000,0
P25090,0.6740,0
P25098,0.3520,0
P25100,0.7630,0
P25101,0.9790,0
P25103,0.9530,0
P25106,0.3450,0
P25205,0.0000,0
P25322,0.0000,0
P25440,0.8880,0
P25774,1.0000,0
P25779,0.3300,0
P25786,0.0000,0
P25787,0.0000,0
P25788,0.0000,0
P25789,0.0000,0
P25929,0.9490,0
P26012,0.0000,0
P26358,0.0000,0
P26368,0.0000,0
P26431,0.0000,0
P26447,0.5350,0
P26583,0.7350,0
P26599,0.0000,0
P26640,0.0000,0
P26641,0.0000,0
P26684,0.9790,0
P26927,0.4100,0
P27037,0.9930,0
P27112,0.2590,0
P27338,0.1610,0
P27361,0.9660,0
P27448,0.9300,0
P27487,0.9990,1
P27815,0.6660,0
P27816,0.0000,0
P27986,0.0000,0
P28062,0.0000,0
P28065,0.0000,0
P28066,0.0000,0
P28070,0.0000,0
P28072,0.0000,0
P28074,0.0000,0
P28221,0.9420,0
P28222,0.9390,0
P28223,0.9290,0
P28335,0.5600,0
P28347,0.0000,0
P28472,0.4350,0
P28482,0.9800,1
P28564,0.8850,0
P28566,0.4960,0
P28647,0.7110,0
P28702,0.9510,0
P28838,0.0000,0
P28845,0.0000,0
P28907,0.0000,0
P29034,0.5140,0
P29144,0.0000,0
P29274,0.9480,1
P29275,0.9380,0
P29317,0.9840,0
P29319,0.9450,0
P29320,0.9810,0
P29322,0.9800,0
P29323,0.9780,0
P29350,0.0000,0
P29371,0.9450,0
P29375,0.9530,0
P29376,0.9680,0
P29401,0.9620,0
P29452,0.0000,0
P29466,0.0000,0
P29473,0.2470,0
P29474,0.2450,0
P29475,0.0000,0
P29476,0.0000,0
P29477,0.2910,0
P29590,0.0000,0
P29597,0.9960,0
P29692,0.0000,0
P29972,0.0000,0
P29990,0.0000,0
P30041,0.0000,0
P30044,0.0000,0
P30046,0.0000,0
P30048,0.0000,0
P30101,0.0000,0
P30153,0.0000,0
P30279,0.2710,0
P30281,0.0000,0
P30291,0.9480,1
P30307,0.0000,0
P30405,0.9900,0
P30419,0.0000,0
P30518,0.9550,0
P30530,0.9870,0
P30536,1.0000,0
P30542,0.9320,0
P30550,0.3320,0
P30556,0.9450,0
P30559,0.9250,0
P30561,0.9640,0
P30613,0.0000,0
P30872,0.9250,0
P30874,0.9430,0
P30876,0.0000,0
P30904,0.0000,0
P30926,0.4010,0
P30968,0.9560,0
P30988,0.6760,0
P30989,0.9400,0
P30990,0.0000,0
P31146,0.0000,0
P31152,0.9740,0
P31153,0.0000,0
P31350,0.0000,0
P31390,0.9520,0
P31391,0.6900,0
P31421,0.4560,0
P31422,0.4700,0
P31431,0.0000,0
P31596,0.0000,0
P31639,0.0000,0
P31644,0.7520,0
P31645,0.9830,0
P31648,0.5270,0
P31649,0.5060,0
P31650,0.5090,0
P31651,0.5020,0
P31652,0.9730,0
P31749,0.9830,1
P31751,0.9850,1
P31943,0.0000,0
P31944,0.0000,0
P31946,0.7850,0
P31948,0.0000,0
P32119,0.0000,0
P32198,0.0000,0
P32214,0.6410,0
P32245,0.9280,0
P32246,0.6010,0
P32247,0.3170,0
P32248,0.3900,0
P32297,0.4010,0
P32298,0.9920,0
P32300,0.9270,0
P32745,0.9150,0
P33032,0.6520,0
P33033,0.9300,0
P33072,0.0000,0
P33176,0.0000,0
P33261,0.6380,0
P33274,0.2430,0
P33316,0.0000,0
P33527,0.3400,0
P33533,0.9290,0
P33534,0.9330,0
P33535,0.9590,0
P33763,0.4450,0
P33905,0.0000,0
P33981,0.9490,0
P33992,0.0000,0
P34756,0.0000,0
P34903,0.7270,0
P34913,0.0000,0
P34914,0.0000,0
P34947,0.7120,0
P34968,0.5570,0
P34969,0.9680,0
P34972,0.9570,0
P34975,0.9420,0
P34995,0.9020,0
P35030,0.9030,0
P35080,0.0000,0
P35218,1.0000,0
P35222,0.0000,0
P35228,0.2890,0
P35236,0.3890,0
P35249,0.0000,0
P35250,0.0000,0
P35251,0.0000,0
P35268,0.0000,0
P35269,0.0000,0
P35346,0.9380,0
P35348,0.9660,0
P35354,0.9860,0
P35367,0.9590,0
P35368,0.9000,0
P35372,0.9580,0
P35398,0.4930,0
P35400,0.4360,0
P35408,0.3120,0
P35439,0.9590,0
P35462,0.7670,1
P35463,0.7260,0
P35475,0.0000,0
P35498,0.2020,0
P35579,0.0000,0
P35590,0.9940,0
P35610,0.0000,0
P35626,0.3650,0
P35659,0.0000,0
P35739,0.8490,0
P35813,0.0000,0
P35869,0.7050,0
P35916,0.9790,0
P35917,0.8730,0
P35918,0.8540,0
P35968,0.9670,1
P35969,0.8230,0
P35998,0.0000,0
P36222,0.0000,0
P36507,0.9620,0
P36544,1.0000,0
P36639,0.0000,0
P36776,0.0000,0
P36888,0.9860,0
P36894,0.9900,0
P36896,0.9880,0
P36897,0.9680,1
P36969,0.0000,0
P37023,0.9910,0
P37059,0.0000,0
P37108,0.0000,0
P37136,0.9940,0
P37173,0.9970,0
P37231,0.9600,1
P37288,0.9770,0
P37351,0.0000,0
P37800,0.0000,0
P37840,0.0000,0
P38158,0.0000,0
P38159,0.0000,0
P38417,0.0000,0
P38432,0.0000,0
P38646,0.5350,0
P39019,0.0000,0
P39050,0.0000,0
P39086,0.9500,0
P39748,0.0000,0
P39877,0.3830,0
P39900,0.9980,0
P40145,0.4110,0
P40259,0.0000,0
P40261,0.9700,0
P40306,0.0000,0
P40337,0.9550,0
P40616,0.0000,0
P40692,0.0000,0
P40763,0.9640,0
P40818,0.0000,0
P40879,0.0000,0
P40937,0.0000,0
P40938,0.0000,0
P41001,0.0000,0
P41143,0.9350,0
P41144,0.9400,0
P41145,0.9450,0
P41146,0.9420,0
P41149,0.6420,0
P41180,0.3000,0
P41182,0.0000,0
P41212,0.0000,0
P41229,0.5360,0
P41231,0.3300,0
P41235,0.4460,0
P41240,0.9880,0
P41250,0.0000,0
P41279,0.3620,0
P41594,0.9030,0
P41595,0.7690,0
P41597,0.9640,0
P41743,0.9910,0
P41968,0.9380,0
P41970,0.0000,0
P41985,0.9180,0
P42166,0.0000,0
P42224,0.5510,0
P42226,0.9680,0
P42229,0.3870,0
P42260,0.9680,0
P42264,0.8160,0
P42285,0.0000,0
P42330,0.5370,0
P42336,0.9890,0
P42338,0.9760,0
P42345,0.9560,0
P42356,0.0000,0
P42574,0.0000,1
P42575,0.0000,0
P42677,0.0000,0
P42679,0.9800,0
P42680,0.9950,0
P42681,0.9890,0
P42684,0.9530,0
P42685,0.9960,0
P42695,0.0000,0
P42702,0.0000,0
P42858,0.0000,0
P42866,0.9390,0
P43003,0.0000,0
P43004,0.0000,0
P43005,0.0000,0
P43088,0.3720,0
P43115,0.3370,0
P43116,0.9330,0
P43119,0.4180,0
P43140,0.9730,0
P43143,0.3920,0
P43144,0.9720,0
P43166,1.0000,0
P43220,0.9770,0
P43235,0.6120,0
P43243,0.0000,0
P43246,0.0000,0
P43250,0.6920,0
P43251,0.0000,0
P43307,0.0000,0
P43341,0.0000,0
P43351,0.0000,0
P43354,0.3400,0
P43403,0.9900,0
P43405,0.9920,0
P43487,0.0000,0
P43490,0.9810,0
P43681,0.4810,0
P43686,0.0000,0
P45452,0.5520,1
P45568,0.3780,0
P45983,0.9700,0
P45984,0.9640,0
P45985,0.9740,0
P46013,0.0000,0
P46091,0.3490,0
P46098,0.9590,0
P46531,0.0000,0
P46598,0.6120,0
P46721,0.0000,0
P46734,0.9670,0
P46783,0.0000,0
P46925,0.3450,0
P46940,0.0000,0
P46976,0.0000,0
P47205,0.9390,0
P47746,0.9380,0
P47756,0.0000,0
P47863,0.0000,0
P47869,0.8090,0
P47870,0.3900,0
P47871,0.8110,0
P47898,0.3870,0
P47900,0.3570,0
P47901,0.9670,0
P47936,0.8060,0
P47941,0.2940,0
P47989,0.0000,0
P48025,0.9200,0
P48039,0.6240,0
P48048,0.0000,0
P48050,0.0000,0
P48058,0.7720,0
P48061,0.9600,0
P48147,0.0000,0
P48167,0.3350,0
P48307,0.0000,0
P48426,0.7860,0
P48443,0.9560,0
P48506,0.0000,0
P48547,0.3650,0
P48549,0.0000,0
P48556,0.0000,0
P48595,0.3510,0
P48729,0.9680,0
P48730,0.9630,0
P48735,0.0000,0
P48736,0.9780,0
P48775,0.0000,0
P49005,0.0000,0
P49116,0.2690,0
P49137,0.9550,1
P49238,0.4960,0
P49247,0.0000,0
P49286,0.9600,0
P49321,0.0000,0
P49327,0.0000,0
P49336,0.9870,0
P49458,0.0000,0
P49589,0.0000,0
P49651,0.3630,0
P49653,0.3810,0
P49674,0.9640,0
P49720,0.0000,0
P49721,0.0000,0
P49756,0.0000,0
P49759,0.9890,0
P49760,0.9540,0
P49761,0.9790,0
P49768,0.0000,0
P49840,0.9030,0
P49841,0.9550,0
P49862,0.5040,0
P49863,0.4320,0
P49915,0.0000,0
P49916,0.0000,0
P49959,0.0000,0
P50052,0.9150,0
P50053,0.0000,0
P50281,0.4050,0
P50391,0.5030,0
P50406,0.3360,0
P50416,0.0000,0
P50452,0.3660,0
P50579,0.0000,0
P50613,0.9750,0
P50637,0.8730,0
P50750,0.9660,0
P50991,0.0000,0
P50997,0.2580,0
P51159,0.3120,0
P51160,0.3280,0
P51433,0.3410,0
P51449,0.9670,0
P51450,0.8950,0
P51451,0.9840,0
P51452,0.0000,0
P51531,0.9010,0
P51532,0.9120,0
P51572,0.0000,0
P51575,0.4640,0
P51610,0.0000,0
P51617,0.9620,0
P51635,0.5460,0
P51639,0.0000,0
P51659,0.0000,0
P51665,0.0000,0
P51681,0.9510,0
P51684,0.3990,0
P51686,0.4140,0
P51692,0.3690,0
P51812,0.9730,0
P51813,0.9720,0
P51816,0.0000,0
P51817,0.9900,0
P51825,0.0000,0
P51946,0.0000,0
P51948,0.0000,0
P51955,0.9340,0
